wl,ex,wl,em
350,2.727272727,500,5.727136432
351,2.739182215,501,5.935157421
352,2.772925764,502,6.315592204
353,2.804684399,503,6.817841079
354,2.901945216,504,7.314467766
355,2.987296546,505,7.994752624
356,3.110361254,506,8.667541229
357,3.287018658,507,9.375937031
358,3.443826915,508,10.06184408
359,3.658197697,509,10.80209895
360,3.844779674,510,11.59670165
361,4.110758237,511,12.4344078
362,4.384676459,512,13.24962519
363,4.650655022,513,14.10607196
364,4.94442239,514,14.9850075
365,5.238189758,515,16.05509745
366,5.591504565,516,17.15704648
367,5.936879714,517,18.15967016
368,6.351726876,518,19.30284858
369,6.649464073,519,20.50224888
370,7.121873759,520,21.68290855
371,7.518856689,521,22.9197901
372,7.953552997,522,24.34407796
373,8.42000794,523,25.65592204
374,8.926161175,524,26.94902549
375,9.356887654,525,28.35457271
376,9.878920206,526,29.74137931
377,10.3652243,527,31.24062969
378,10.88328702,528,32.85232384
379,11.32592299,529,34.50149925
380,11.80031759,530,35.982009
381,12.52679635,531,37.74362819
382,13.1302104,532,39.43028486
383,13.78523224,533,41.11694153
384,14.42040492,534,42.89730135
385,15.10917031,535,44.65892054
386,15.76220723,536,46.32683658
387,16.51250496,537,48.21964018
388,17.19730052,538,50.07496252
389,17.84239778,539,51.8928036
390,18.72965462,540,53.65442279
391,19.50774117,541,55.45352324
392,20.28582771,542,57.25262369
393,21.1790393,543,59.07046477
394,22.09210004,544,60.92578711
395,22.96546249,545,62.59370315
396,23.79912664,546,64.35532234
397,24.81143311,547,66.07946027
398,25.78404129,548,67.69115442
399,26.73680032,549,69.34032984
400,27.76895593,550,70.87706147
401,28.80111155,551,72.50749625
402,29.9325129,552,73.96926537
403,31.14331084,553,75.33733133
404,32.37395792,554,76.96776612
405,33.64430329,555,78.37331334
406,34.83525208,556,79.76011994
407,36.02620087,557,81.03448276
408,37.2766971,558,82.14017991
409,38.64628821,559,83.43328336
410,39.85708615,560,84.4077961
411,41.16712981,561,85.56971514
412,42.49702263,562,86.82533733
413,44.02540691,563,87.83733133
414,45.27590314,564,88.75562219
415,46.54624851,565,89.67391304
416,47.95553791,566,90.42353823
417,49.46407304,567,91.30434783
418,50.73441842,568,91.99775112
419,52.08416038,569,92.89730135
420,53.51329893,570,93.62818591
421,54.88289004,571,94.37781109
422,56.03414053,572,95.07121439
423,57.44342993,573,95.48350825
424,59.03136165,574,96.17691154
425,60.36125447,575,96.62668666
426,61.65144899,576,97.47001499
427,63.00119095,577,97.86356822
428,64.47002779,578,98.1071964
429,66.0976578,579,98.53823088
430,67.56649464,580,98.93178411
431,69.27352124,581,99.38155922
432,71.07979357,582,99.77511244
433,72.74712187,583,99.92503748
434,74.67248908,584,99.98125937
435,76.61770544,585,99.96251874
436,78.78126241,586,100
437,80.62723303,587,99.79385307
438,82.59229853,588,99.83133433
439,84.33902342,589,99.8125937
440,86.08574831,590,99.66266867
441,87.65383089,591,99.53148426
442,89.42040492,592,99.21289355
443,90.88924176,593,98.8005997
444,92.33822946,594,98.51949025
445,93.88646288,595,97.93853073
446,95.43469631,596,97.45127436
447,96.64549424,597,96.98275862
448,97.83644303,598,96.32683658
449,98.43191743,599,95.76461769
450,99.08693926,600,95.12743628
451,99.50377134,601,94.62143928
452,99.60301707,602,93.92803598
453,99.76181024,603,93.19715142
454,99.72211195,604,92.39130435
455,99.88090512,605,91.54797601
456,99.88090512,606,90.25487256
457,100,607,89.44902549
458,99.66256451,608,88.73688156
459,99.40452561,609,87.46251874
460,99.18618499,610,86.37556222
461,98.80905121,611,85.4197901
462,98.47161572,612,84.18290855
463,98.05478364,613,83.15217391
464,97.59825328,614,82.06521739
465,97.10202461,615,80.90329835
466,96.66534339,616,79.64767616
467,96.20881302,617,78.33583208
468,95.43469631,618,77.02398801
469,94.18420008,619,75.82458771
470,93.23144105,620,74.58770615
471,92.37792775,621,73.06971514
472,91.70305677,622,71.88905547
473,91.08773323,623,70.74587706
474,90.11512505,624,69.26536732
475,88.94402541,625,67.91604198
476,87.65383089,626,66.52923538
477,86.78046844,627,65.25487256
478,86.1651449,628,63.96176912
479,85.52997221,629,62.48125937
480,84.57721318,630,61.15067466
481,83.88249305,631,59.87631184
482,83.00913061,632,58.5832084
483,82.07622072,633,57.17766117
484,81.10361254,634,55.69715142
485,79.89281461,635,54.55397301
486,78.42397777,636,53.22338831
487,77.13378325,637,51.91154423
488,75.72449385,638,50.61844078
489,74.43429933,639,49.43778111
490,72.72727273,640,48.14467766
491,70.9210004,641,46.94527736
492,69.33306868,642,45.74587706
493,67.30845574,643,44.49025487
494,65.20444621,644,43.29085457
495,62.90194522,645,42.16641679
496,60.87733227,646,40.92953523
497,58.63437872,647,39.93628186
498,56.58991663,648,38.94302849
499,54.46605796,649,37.96851574
500,52.63993648,650,36.86281859
501,50.79396586,651,35.90704648
502,49.10678841,652,34.80134933
503,47.28066693,653,33.7143928
504,45.65303692,654,32.68365817
505,44.02540691,655,31.93403298
506,42.45732434,656,30.9970015
507,40.78999603,657,29.9850075
508,39.12266773,658,29.14167916
509,37.67368003,659,28.24212894
510,36.38348551,660,27.36131934
511,35.03374355,661,26.66791604
512,33.82294561,662,25.86206897
513,32.4930528,663,25.03748126
514,31.32195316,664,24.26911544
515,29.91266376,665,23.53823088
516,28.92020643,666,22.80734633
517,27.88805081,667,22.20764618
518,26.75664946,668,21.55172414
519,25.76419214,669,20.91454273
520,24.79158396,670,20.31484258
521,23.97776896,671,19.6964018
522,22.94561334,672,19.11544228
523,22.21119492,673,18.55322339
524,21.1790393,674,18.07346327
525,20.48431917,675,17.33508246
526,19.69035331,676,16.93403298
527,18.89241763,677,16.36994003
528,18.01508535,678,15.79835082
529,17.31044065,679,15.34482759
530,16.56609766,680,14.83508246
531,15.86343787,681,14.22413793
532,15.18658198,682,13.80247376
533,14.45414847,683,13.40892054
534,13.83088527,684,13.10907046
535,13.17387852,685,12.74362819
536,12.57641921,686,12.28823088
537,12.05240175,687,11.94715142
538,11.36760619,688,11.66791604
539,10.73640333,689,11.39055472
540,10.15879317,690,10.99887556
541,9.587137753,691,10.69527736
542,9.078999603,692,10.4404048
543,8.515283843,693,10.15742129
544,8.088527193,694,9.960644678
545,7.554585153,695,9.664542729
546,7.169511711,696,9.383433283
547,6.649464073,697,9.16041979
548,6.248511314,698,8.929910045
549,5.831679238,699,8.667541229
550,5.410877332,700,8.367691154
551,5.017864232,701,8.176536732
552,4.680428742,702,7.951649175
553,4.342993251,703,7.73988006
554,4.067090115,704,7.451274363
555,3.816990869,705,7.29197901
556,3.564906709,706,7.003373313
557,3.289003573,707,6.819715142
558,3.106391425,708,6.720389805
559,2.868201667,709,6.480509745
560,2.71139341,710,6.238755622
561,2.506947201,711,6.105697151
562,2.336244541,712,5.931409295
563,2.179436284,713,5.73838081
564,2.034537515,714,5.590329835
565,1.881897578,715,5.487256372
566,1.723104407,716,5.281109445
567,1.625049623,717,5.204272864
