wl,abs (10460/MeOH),wl,em (10460/MeOH))
250,41.41053,400,0.200827
251,42.1015,401,0.23799
252,42.98308,402,0.2579362
253,44.29354,403,0.2651799
254,45.34191,404,0.2726334
255,46.43793,405,0.2639201
256,48.03431,406,0.2678044
257,49.24946,407,0.3132608
258,50.51227,408,0.3072769
259,52.25161,409,0.3087466
260,53.51442,410,0.327748
261,54.82487,411,0.3324721
262,56.61187,412,0.3251235
263,57.96998,413,0.3418154
264,59.25661,414,0.3127359
265,61.06743,415,0.3504238
266,62.37789,416,0.3826527
267,63.6407,417,0.375724
268,65.30856,418,0.3627064
269,66.49988,419,0.3642811
270,67.64355,420,0.3629164
271,69.1208,421,0.3721547
272,70.21682,422,0.3733094
273,71.24136,423,0.3664857
274,72.50417,424,0.3607118
275,73.38575,425,0.3643861
276,74.1482,426,0.3869569
277,75.02979,427,0.3889515
278,75.55396,428,0.4063782
279,75.88754,429,0.4051184
280,76.07815,430,0.4014441
281,76.03049,431,0.3943055
282,75.74458,432,0.412362
283,75.02979,433,0.4055383
284,74.26733,434,0.4108923
285,73.29044,435,0.4375573
286,71.62259,436,0.4623326
287,70.26447,437,0.4930918
288,68.81106,438,0.5361336
289,66.64285,439,0.5787556
290,65.02263,440,0.6223223
291,63.42626,441,0.6439483
292,61.0436,442,0.6945487
293,59.28044,443,0.6676738
294,57.44579,444,0.6697734
295,54.99166,445,0.6624247
296,53.18084,446,0.6494072
297,51.37003,447,0.6175982
298,49.0112,448,0.6356548
299,47.391,449,0.629356
300,45.86609,450,0.6658891
301,43.95997,451,0.6926591
302,42.8163,452,0.7464089
303,41.76793,453,0.8237793
304,40.5766,454,0.8223096
305,39.88563,455,0.8990501
306,39.3138,456,0.9265549
307,38.67048,457,1.054211
308,38.31308,458,1.070378
309,38.09864,459,1.155411
310,37.90803,460,1.273199
311,37.93185,461,1.326739
312,38.02716,462,1.444002
313,38.19395,463,1.598743
314,38.45604,464,1.716215
315,38.76579,465,1.870746
316,39.24232,466,2.0363
317,39.62354,467,2.129627
318,40.07624,468,2.278594
319,40.81487,469,2.526137
320,41.41053,470,2.789953
321,42.03002,471,3.024163
322,42.93543,472,3.237378
323,43.72171,473,3.579298
324,44.50798,474,3.88836
325,45.55635,475,4.118792
326,46.36645,476,4.442865
327,47.27186,477,4.76253
328,48.41553,478,5.172687
329,49.34477,479,5.485108
330,50.39314,480,5.92403
331,51.63212,481,6.282852
332,52.5137,482,6.761772
333,53.51442,483,7.169305
334,54.8487,484,7.478471
335,55.89707,485,8.32734
336,57.01692,486,9.042676
337,58.49416,487,9.605789
338,59.63783,488,10.29908
339,60.92447,489,10.98733
340,62.52085,490,11.62193
341,63.75983,491,12.36509
342,65.09412,492,13.28398
343,66.92876,493,14.03427
344,68.3107,494,14.78163
345,69.78794,495,15.41686
346,71.64642,496,16.49343
347,73.076,497,17.42702
348,74.5056,498,18.76814
349,76.41172,499,19.49314
350,77.84132,500,20.42819
351,79.27091,501,21.59316
352,81.0579,502,22.58869
353,82.48749,503,23.65581
354,83.89326,504,24.74214
355,85.58494,505,25.58072
356,86.84775,506,26.83492
357,88.11056,507,28.07106
358,89.65928,508,29.11992
359,90.85061,509,30.23659
360,91.97046,510,31.49751
361,93.28091,511,32.55823
362,94.18633,512,33.84413
363,95.0679,513,34.91251
364,96.06862,514,36.22739
365,96.78342,515,37.18901
366,97.45056,516,38.51102
367,98.21301,517,40.14567
368,98.68954,518,41.22266
369,99.09459,519,42.44883
370,99.54729,520,43.91278
371,99.80939,521,45.41273
372,99.92852,522,46.81664
373,100,523,48.10453
374,100,524,49.33773
375,99.85704,525,50.86068
376,99.54729,526,52.25492
377,99.26138,527,53.75467
378,98.88015,528,54.70925
379,98.30832,529,56.18727
380,97.80795,530,57.28368
381,97.16464,531,58.5489
382,96.25924,532,59.91186
383,95.52061,533,61.10863
384,94.73433,534,62.72291
385,93.56683,535,64.0191
386,92.6376,536,65.46919
387,91.63689,537,65.98391
388,90.18346,538,67.74002
389,88.99213,539,68.9791
390,87.77699,540,70.29114
391,86.01382,541,71.30735
392,84.63188,542,72.48953
393,83.17846,543,74.15567
394,81.20085,544,75.19749
395,79.6283,545,76.82532
396,78.0081,546,77.74957
397,75.91136,547,78.94381
398,74.29116,548,80.06081
399,72.62331,549,81.79665
400,70.35978,550,82.17752
401,68.64427,551,83.28968
402,66.85728,552,84.31039
403,64.42697,553,85.17995
404,62.54467,554,86.27353
405,60.5909,555,87.48899
406,58.01763,556,88.49113
407,56.06386,557,88.90475
408,54.06242,558,89.81713
409,51.51299,559,90.59966
410,49.63069,560,91.6629
411,47.65309,561,91.82194
412,45.2466,562,92.94439
413,43.48344,563,93.03645
414,41.67262,564,93.85247
415,39.36145,565,94.44319
416,37.69359,566,95.45593
417,36.04956,567,95.7863
418,33.929,568,96.40391
419,32.38027,569,96.47057
420,30.83155,570,96.85049
421,28.85394,571,97.22475
422,27.42435,572,98.05062
423,25.99476,573,98.17765
424,24.18394,574,98.04454
425,22.89731,575,98.64555
426,21.58685,576,98.84133
427,19.99047,577,99.30524
428,18.82297,578,99.3255
429,17.65547,579,100
430,16.17822,580,99.13622
431,15.15368,581,99.35269
432,14.12914,582,99.44183
433,12.86633,583,99.29947
434,12.00858,584,98.925
435,11.19847,585,98.98956
436,10.17393,586,98.86926
437,9.459138,587,98.66791
438,8.744341,588,98.55002
439,7.886586,589,98.14406
440,7.290922,590,97.71133
441,6.695259,591,97.28868
442,5.980462,592,96.22597
443,5.503932,593,96.49881
444,5.051227,594,96.17599
445,4.47939,595,95.74064
446,4.098166,596,94.92841
447,3.740767,597,94.75666
448,3.335716,598,94.34525
449,3.073624,599,93.05399
450,2.811532,600,92.37046
451,2.525614,601,92.32028
452,2.311175,602,92.08092
453,2.120562,603,91.47866
454,1.85847,604,90.49059
455,1.715511,605,90.05103
456,1.572552,606,89.52771
457,1.405766,607,88.56683
458,1.286633,608,87.4639
459,1.191327,609,87.15568
460,1.024541,610,86.68221
461,0.9530618,611,85.92174
462,0.833929,612,85.28976
463,0.7386228,613,85.02154
464,0.6671432,614,83.94444
465,0.5956635,615,83.11625
466,0.5003574,616,82.68615
467,0.4050512,617,82.62935
468,0.3812247,618,80.84427
469,0.3335716,619,80.07162
470,0.2859185,620,79.40489
471,0.262092,621,79.05583
472,0.2144389,622,77.85559
473,0.1667858,623,77.26949
474,0.1429593,624,76.47658
475,9.53E-02,625,75.93267
476,9.53E-02,626,74.92948
477,7.15E-02,627,74.29949
