wl,abs,wl,em
496,8.4041411,626,7.1956922
497,7.4888453,627,7.0261138
498,6.6953193,628,6.8615975
499,5.9887397,629,6.7021431
500,5.4102206,630,6.5401578
501,4.871243,631,6.3990534
502,4.4225818,632,6.2699713
503,4.0130127,633,6.1250704
504,3.6726413,634,5.9833332
505,3.3695647,635,5.8618442
506,3.125351,636,5.7479483
507,2.9060755,637,5.6283576
508,2.7229714,638,5.4948462
509,2.5621094,639,5.3638659
510,2.4234894,640,5.2518682
511,2.2949796,641,5.1379723
512,2.1613024,642,5.0183815
513,2.0379598,643,4.9082821
514,1.9447228,644,4.7956517
515,1.8503624,645,4.6925126
516,1.7636407,646,4.5900063
517,1.6757957,647,4.502686
518,1.6303379,648,4.409671
519,1.601925,649,4.3071647
520,1.5840751,650,4.2027601
,,651,4.1217674
,,652,4.0369782
,,653,3.9464942
,,654,3.8509482
,,655,3.7775486
,,656,3.7104765
,,657,3.6351787
,,658,3.5548187
,,659,3.4757243
,,660,3.4010592
,,661,3.3276596
,,662,3.2548928
,,663,3.1764311
,,664,3.1125229
,,665,3.0391233
,,666,2.9764805
,,667,2.918267
,,668,2.8556242
,,669,2.7904505
,,670,2.734768
,,671,2.6689615
,,672,2.6164428
,,673,2.5582293
,,674,2.4879935
,,675,2.4240852
,,676,2.3772613
,,677,2.3222116
,,678,2.2715912
,,679,2.212745
,,680,2.1652883
,,681,2.1266902
,,682,2.0754371
,,683,2.0191219
,,684,1.9710325
,,685,1.9273724
,,686,1.8862433
,,687,1.8413176
,,688,1.8008213
,,689,1.7742456
,,690,1.7324838
,,691,1.6926202
,,692,1.6508583
,,693,1.610362
,,694,1.5787242
,,695,1.5394934
,,696,1.4989971
,,697,1.4686248
,,698,1.4535442
,,699,1.4395181
,,700,1.4273376
