Wavelength,mCherry (EX),mCherry (EM),mOrange (EX),mOrange (EM),DsRed2 (EX),DsRed2 (EM),iRFP713 (EX),iRFP713 (EM),Sirius (EX),Sirius (EM),Cerulean (EX),Cerulean (EM),KO (EX),KO (EM),mPlum (EX),mPlum (EM),TagRFP (EX),TagRFP (EM),tdTomato (EX),tdTomato (EM),iRFP720 (EX),iRFP720 (EM),mScarlet (EX),mScarlet (EM)
352,0.1503,,0.0429,,0.0661,,,,0.9844,,0.0652,,0.0446,,,,0.0499,,0.0809,,,,,
353,0.1413,,0.0406,,0.0614,,,,0.9951,,0.0706,,0.0424,,,,0.05,,0.0783,,,,,
354,0.136,,0.0385,,0.0585,,,,1,,0.0681,,0.04,,,,0.0513,,0.0749,,,,,
355,0.1317,,0.0365,,0.057,,,,0.9966,,0.0685,,0.0378,,,,0.0522,,0.0727,,,,,
356,0.1287,,0.0341,,0.0555,,,,0.9932,,0.071,,0.0357,,,,0.0533,,0.0701,,,,,
357,0.1265,,0.0319,,0.0543,,,,0.9905,,0.074,,0.0331,,,,0.0533,,0.0677,,,,,
358,0.125,,0.0296,,0.0543,,,,0.9884,,0.0759,,0.0305,,,,0.0549,,0.0651,,,,,
359,0.1236,,0.0276,,0.0536,,,,0.9864,,0.0778,,0.029,,,,0.0544,,0.0632,,,,,
360,0.1234,,0.0255,,0.0526,,,,0.9835,,0.0785,,0.0275,,,,0.0542,,0.0608,,,,,
361,0.1226,,0.0236,,0.051,,,,0.9797,,0.082,,0.0256,,,,0.0549,,0.0575,,,,,
362,0.1223,,0.022,,0.0495,,,,0.9759,,0.0828,,0.024,,,,0.0557,,0.0552,,,,,
363,0.122,,0.0204,,0.0481,,,,0.972,,0.0852,,0.0214,,,,0.0555,,0.0523,,,,,
364,0.1214,,0.0189,,0.0467,,,,0.9681,,0.0894,,0.0202,,,,0.0543,,0.0495,,,,,
365,0.1199,,0.0179,,0.0453,,,,0.9639,,0.092,,0.0185,,,,0.057,,0.0467,,,,,
366,0.12,,0.0169,,0.044,,,,0.9597,,0.095,,0.0183,,,,0.0567,,0.0442,,,,,
367,0.1186,,0.016,,0.0439,,,,0.9554,,0.0994,,0.0168,,,,0.0568,,0.0415,,,,,
368,0.1179,,0.0152,,0.0422,,,,0.9471,,0.101,,0.0156,,,,0.0572,,0.0388,,,,,
369,0.1156,,0.0145,,0.0406,,,,0.9299,,0.1063,,0.0144,,,,0.057,,0.0369,,,,,
370,0.1148,,0.0138,,0.0397,,,,0.9127,,0.1103,,0.0137,,,,0.0581,,0.0352,,,,,
371,0.1141,,0.0131,,0.0382,,,,0.8954,,0.1156,,0.0126,,,,0.0581,,0.0334,,,,,
372,0.1121,,0.0125,,0.0355,,,,0.8905,,0.1198,,0.0115,,,,0.0585,,0.0319,,,,,
373,0.1109,,0.0116,,0.0338,,,,0.8473,,0.1248,,0.0114,,,,0.0584,,0.0303,,,,,
374,0.1087,,0.0106,,0.0325,,,,0.8129,,0.1306,,0.0102,,,,0.0572,,0.0292,,,,,
375,0.1052,,0.0097,,0.0296,,,,0.7864,,0.1374,,0.0092,,,,0.0571,,0.0279,,,,,
376,0.1029,,0.0087,,0.0284,,,,0.7477,,0.1431,,0.0087,,,,0.0545,,0.0266,,,,,
377,0.1004,,0.0077,,0.0285,,,,0.7029,,0.1512,,0.0078,,,,0.0534,,0.0257,,,,,
378,0.0975,,0.0067,,0.0285,,,,0.671,,0.1576,,0.0071,,,,0.0514,,0.0247,,,,,
379,0.0941,,0.0058,,0.0285,,,,0.6406,,0.1666,,0.0067,,,,0.0487,,0.0233,,,,,
380,0.0904,,0.005,,0.0285,,,,0.6164,,0.1741,,0.0061,,,,0.0461,,0.0222,,,,,
381,0.0868,,0.0043,,0.0285,,,,0.5923,0.0264,0.1823,,0.0054,,,,0.0439,,0.0209,,,,,
382,0.0824,,0.0036,,0.0285,,,,0.5693,0.0374,0.1912,,0.0049,,,,0.0411,,0.0194,,,,,
383,0.0789,,0.003,,0.0285,,,,0.5491,0.0485,0.2008,,0.0047,,,,0.0365,,0.0183,,,,,
384,0.076,,0.0026,,0.0285,,,,0.5288,0.0595,0.2098,,0.0044,,,,0.0341,,0.017,,,,0.0123,
385,0.0714,,0.0023,,0.0285,,,,0.5083,0.0781,0.2192,,0.0042,,,,0.0307,,0.016,,,,0.0125,
386,0.0672,,0.002,,0.0283,,,,0.4875,0.102,0.2304,,0.0038,,,,0.0277,,0.0147,,,,0.0127,
387,0.0644,,0.0018,,0.0269,,,,0.4667,0.1278,0.2412,,0.0036,,,,0.0254,,0.0136,,,,0.0129,
388,0.0604,,0.0017,,0.0259,,,,0.4375,0.1584,0.2506,,0.0035,,,,0.0225,,0.0127,,,,0.013,
389,0.0571,,0.0016,,0.0259,,,,0.4031,0.1986,0.262,,0.0033,,,,0.0198,,0.012,,,,0.0132,
390,0.0551,,0.0015,,0.0259,,,,0.3906,0.2439,0.273,,0.0033,,,,0.018,,0.0113,,,,0.0134,
391,0.0525,,0.0014,,0.0259,,,,0.3781,0.2792,0.2857,,0.0032,,,,0.0161,,0.0108,,,,0.0135,
392,0.0498,,0.0014,,0.026,,,,0.3656,0.3137,0.2984,,0.0032,,,,0.0139,,0.0104,,,,0.0136,
393,0.0464,,0.0015,,0.0247,,,,0.3531,0.3552,0.311,,0.0032,,,,0.0128,,0.0104,,,,0.0138,
394,0.0449,,0.0014,,0.0233,,,,0.2886,0.3875,0.3248,,0.0034,,,,0.0111,,0.01,,,,0.0139,
395,0.0424,,0.0015,,0.0233,,,,0.2517,0.4203,0.3392,,0.0032,,,,0.0102,,0.01,,,,0.014,
396,0.0403,,0.0015,,0.0233,,,,0.2148,0.4577,0.3535,,0.0033,,,,0.0091,,0.0101,,,,0.014,
397,0.0386,,0.0016,,0.0233,,,,0.1819,0.4892,0.3695,,0.0033,,,,0.0081,,0.01,,,,0.0141,
398,0.036,,0.0016,,0.0233,,,,0.1562,0.5189,0.3853,,0.0033,,,,0.0076,,0.0102,,,,0.0142,
399,0.0334,,0.0018,,0.0233,,,,0.1314,0.5446,0.402,,0.0034,,,,0.0074,,0.0103,,,,0.0143,
400,0.0313,,0.0018,,0.0233,,,,0.1079,0.5703,0.4191,,0.0036,,,,0.0064,,0.0106,,,,0.0144,
401,0.029,,0.002,,0.0233,,,,0.09,0.5911,0.4362,,0.0036,,,,0.006,,0.0111,,,,0.0144,
402,0.0267,,0.0021,,0.0233,,,,0.0789,0.6105,0.4549,,0.0036,,,,0.0058,,0.0114,,,,0.0145,
403,0.0245,,0.0022,,0.0233,,,,0.0677,0.6299,0.4727,,0.0037,,,,0.0051,,0.0117,,,,0.0145,
404,0.0216,,0.0023,,0.0247,,,,0.0566,0.648,0.4903,,0.0038,,,,0.0051,,0.0122,,,,0.0146,
405,0.0198,,0.0024,,0.026,,,,0.0454,0.6657,0.509,,0.0038,,,,0.005,,0.0127,,,,0.0147,
406,0.0174,,0.0025,,0.0258,,,,0.0343,0.6835,0.5266,,0.0041,,,,0.0049,,0.0135,,,,0.0147,
407,0.0156,,0.0027,,0.0261,,,,0.029,0.7015,0.5446,,0.0039,,,,0.0048,,0.0139,,,,0.0148,
408,0.0132,,0.0029,,0.0267,,,,0.0259,0.7195,0.5625,,0.0042,,,,0.0045,,0.0147,,,,0.0149,
409,0.0119,,0.003,,0.0277,,,,0.0227,0.7385,0.5797,,0.0044,,,,0.0046,,0.0154,,,,0.0149,
410,0.01,,0.0032,,0.0284,,,,0.0195,0.7575,0.5965,,0.0045,,,,0.0046,,0.0162,,,,0.015,
411,0.0086,,0.0034,,0.0285,,,,0.0163,0.7762,0.6136,,0.0046,,,,0.0047,,0.017,,,,0.0151,
412,0.0074,,0.0036,,0.0285,,,,0.0132,0.7949,0.6297,,0.0046,,,,0.0046,,0.0177,,,,0.0152,
413,0.0065,,0.0039,,0.0285,,,,0.01,0.8135,0.6475,,0.0048,,,,0.0045,,0.0187,,,,0.0153,
414,0.0057,,0.0041,,0.0285,,,,0.0068,0.8358,0.6633,,0.0051,,,,0.0047,,0.0196,,,,0.0154,
415,0.0049,,0.0044,,0.0285,,,,0.0056,0.8585,0.6803,,0.0054,,,,0.0048,,0.0208,,,,0.0155,
416,0.0043,,0.0046,,0.0284,,,,0.0057,0.8797,0.6976,,0.0055,,,,0.0045,,0.0216,,,,0.0156,
417,0.0037,,0.0049,,0.029,,,,0.0058,0.9007,0.7161,,0.0058,,,,0.0049,,0.0229,,,,0.0158,
