Wavelength,mCherry (EX),mCherry (EM),mOrange (EX),mOrange (EM),DsRed2 (EX),DsRed2 (EM),iRFP713 (EX),iRFP713 (EM),Sirius (EX),Sirius (EM),Cerulean (EX),Cerulean (EM),KO (EX),KO (EM),mPlum (EX),mPlum (EM),TagRFP (EX),TagRFP (EM),tdTomato (EX),tdTomato (EM),iRFP720 (EX),iRFP720 (EM),mScarlet (EX),mScarlet (EM)
513,0.2036,,0.5032,,0.3125,,,,,0.1403,0.0061,0.7653,0.5199,,0.195,,0.3356,,0.5339,,,,0.2682,
514,0.2089,,0.5057,,0.3141,,,,,0.134,0.0051,0.743,0.5216,,0.2039,,0.3485,,0.5461,,,,0.2772,
515,0.2168,,0.5066,,0.3168,,,,,0.1288,0.0053,0.7193,0.5196,,0.2106,,0.3572,,0.557,,,,0.2871,
516,0.2247,,0.5078,,0.3214,,,,,0.1236,0.005,0.695,0.5172,,0.2199,,0.3698,,0.5678,,,,0.2981,
517,0.2324,,0.5075,,0.3281,,,,,0.1184,0.0051,0.672,0.5144,,0.2287,,0.3796,,0.5759,,,,0.31,
518,0.2392,,0.5058,,0.3363,,,,,0.1132,0.0048,0.6529,0.5108,,0.238,,0.3868,,0.5826,,,,0.3229,
519,0.248,,0.5054,,0.3436,,,,,0.108,0.0044,0.6317,0.5071,,0.2487,,0.3953,,0.5878,,,,0.3366,
520,0.257,,0.505,,0.3507,,,,,0.1031,0.0044,0.6111,0.5016,0.0398,0.256,,0.4015,,0.5932,,,,0.3509,
521,0.2662,,0.5055,,0.3606,,,,,0.0986,0.0043,0.5935,0.5013,0.0382,0.2663,,0.4077,,0.5989,,,,0.3656,
522,0.2754,,0.5077,,0.3707,,,,,0.0942,0.0049,0.5738,0.4991,0.0374,0.2752,,0.4151,,0.6007,,,,0.3805,
523,0.2838,,0.5094,,0.3803,,,,,0.0897,0.005,0.5558,0.4943,0.0361,0.2873,,0.4185,,0.605,,,,0.3954,
524,0.2957,,0.5153,,0.3906,,,,,0.0853,0.0049,0.5412,0.4985,0.0348,0.2982,,0.4255,,0.6064,,,,0.4098,
525,0.3065,,0.5222,,0.4013,,,,,0.0808,0.0048,0.5288,0.4987,0.0345,0.3099,,0.4306,,0.6096,,,,0.4234,
526,0.3204,,0.53,,0.4125,,,,,0.0771,0.0051,0.5132,0.5009,0.034,0.3198,,0.4399,,0.6114,,,,0.4361,
527,0.3308,,0.54,,0.4242,,,,,0.0738,0.0054,0.502,0.5073,0.0344,0.3317,,0.4414,,0.6132,,,,0.4478,
528,0.3455,,0.5519,,0.4358,,,,,0.0705,0.0048,0.4866,0.5143,0.035,0.3468,,0.4517,,0.6188,,,,0.4583,
529,0.3558,,0.566,,0.4458,,,,,0.0671,0.0048,0.4751,0.5276,0.0364,0.3578,,0.4597,,0.624,,,,0.4675,
530,0.3726,,0.5821,0.0204,0.4558,,,,,0.0638,0.0046,0.4653,0.5371,0.0381,0.3714,,0.4694,,0.6288,0.0025,,,0.4753,
531,0.3834,,0.5987,0.0248,0.4671,,,,,0.0605,0.0037,0.4559,0.5522,0.0403,0.3824,,0.4792,,0.6345,0.003,,,0.4815,
532,0.4003,,0.6174,0.0301,0.477,,,,,0.0577,0.0029,0.4486,0.5698,0.0435,0.3966,,0.4881,,0.6441,0.0037,,,0.4864,
533,0.4139,,0.64,0.0369,0.4872,,,,,0.055,0.0032,0.4333,0.5894,0.0472,0.4114,,0.5029,,0.6534,0.0046,,,0.4899,
534,0.4289,,0.6638,0.045,0.4981,,,,,0.0522,0.0026,0.4286,0.6108,0.0526,0.4234,,0.5178,,0.6641,0.0053,,,0.4925,
535,0.4424,,0.6888,0.0556,0.5069,,0.0074,,,0.0495,0.0026,0.4227,0.636,0.0594,0.4383,,0.5323,0.0082,0.6762,0.0065,0.0007,,0.4943,
536,0.4568,,0.7141,0.0662,0.5144,,0.008,,,0.0467,0.0029,0.4099,0.6651,0.0681,0.4533,,0.548,0.0097,0.6904,0.0078,0.0008,,0.4955,
537,0.4722,,0.7443,0.0831,0.5225,,0.0086,,,0.0439,0.0028,0.4019,0.6955,0.0787,0.4657,,0.5686,0.0106,0.7069,0.0108,0.0011,,0.4963,
538,0.4847,,0.7737,0.1049,0.531,,0.01,,,0.0408,0.0029,0.3952,0.7226,0.0913,0.4796,,0.5913,0.0137,0.721,0.0161,0.0016,,0.4968,0.0018
539,0.496,,0.8075,0.1309,0.5394,,0.0117,,,0.0377,0.003,0.3846,0.758,0.108,0.4936,,0.6105,0.0159,0.7424,0.0205,0.0024,,0.4973,0.0017
540,0.507,,0.8383,0.155,0.548,,0.0138,,,0.0345,0.0036,0.3783,0.7962,0.1269,0.5041,,0.6347,0.0186,0.7607,0.0219,0.0033,,0.4982,0.0019
541,0.5191,,0.866,0.1776,0.5536,,0.0161,,,0.0314,0.0036,0.3723,0.8275,0.1493,0.5183,,0.656,0.0229,0.7787,0.0218,0.0045,,0.5,0.0024
542,0.5262,,0.8966,0.202,0.5576,,0.0185,,,0.0283,0.0047,0.3622,0.8637,0.1768,0.5286,,0.6895,0.0275,0.799,0.0236,0.0059,,0.5028,0.003
543,0.5352,,0.9252,0.236,0.56,,0.0211,,,0.0255,0.0042,0.354,0.8972,0.2088,0.5397,,0.7222,0.0321,0.8216,0.0267,0.0074,,0.5067,0.004
544,0.5462,,0.9502,0.2761,0.5612,,0.0237,,,0.0234,0.0046,0.346,0.9286,0.2424,0.5513,,0.7458,0.0387,0.8413,0.0323,0.0092,,0.5116,0.0052
545,0.5528,,0.971,0.3215,0.5621,,0.0266,,,0.0212,0.0046,0.339,0.9585,0.2846,0.563,,0.781,0.0473,0.8633,0.0383,0.011,,0.5173,0.0066
546,0.5555,,0.9869,0.3671,0.5621,,0.0295,,,0.019,0.0047,0.3308,0.9756,0.3317,0.5697,,0.8134,0.0565,0.8847,0.0452,0.013,,0.5239,0.0084
547,0.5656,,0.9959,0.416,0.5629,,0.0327,,,0.0168,0.0053,0.3161,0.9909,0.3825,0.581,,0.8449,0.0689,0.9061,0.0536,0.015,,0.5318,0.0104
548,0.5695,,1,0.4729,0.5656,,0.036,,,0.0146,0.0048,0.3106,0.9998,0.4386,0.5888,,0.8749,0.0802,0.9244,0.0638,0.0171,,0.5414,0.0125
549,0.5751,,0.9954,0.5312,0.5684,,0.0394,,,0.0127,0.0055,0.3004,1,0.5012,0.597,,0.903,0.0967,0.9446,0.0761,0.0191,,0.553,0.0148
550,0.5784,0.0012,0.9844,0.5866,0.574,,0.0428,,,0.011,0.0046,0.2942,0.9913,0.5613,0.602,,0.9323,0.1163,0.9606,0.0882,0.021,,0.567,0.0172
551,0.583,0.0014,0.963,0.6454,0.5829,,0.0463,,,0.0092,0.0042,0.2808,0.9749,0.6234,0.6104,,0.9507,0.1347,0.9733,0.1043,0.0229,,0.5835,0.0199
552,0.5866,0.0015,0.9359,0.6974,0.5924,,0.0498,,,,0.0036,0.2724,0.9488,0.6831,0.6136,,0.9728,0.1534,0.9841,0.1209,0.0248,,0.6022,0.0227
553,0.5879,0.0019,0.8988,0.7509,0.6012,,0.0532,,,,0.003,0.2674,0.9102,0.7441,0.6212,,0.9811,0.1816,0.9958,0.1414,0.0267,,0.6225,0.0258
554,0.5941,0.0023,0.856,0.803,0.611,,0.0565,,,,0.0026,0.2583,0.8707,0.8046,0.6274,,1,0.2101,1,0.1638,0.0286,,0.6441,0.0292
555,0.5994,0.0026,0.8061,0.8469,0.6213,,0.0597,,,,0.0029,0.2449,0.8207,0.8563,0.6328,,0.9975,0.2395,0.9993,0.188,0.0307,,0.6666,0.033
556,0.6041,0.0033,0.7546,0.8903,0.6315,,0.0627,,,,0.0025,0.2405,0.7687,0.9016,0.6385,,0.9953,0.279,0.9952,0.2171,0.0327,,0.69,0.0374
557,0.6094,0.0039,0.6988,0.9231,0.6428,,0.0657,,,,0.0031,0.2308,0.7155,0.9393,0.6467,,0.9859,0.3156,0.9885,0.2469,0.0348,,0.7146,0.0427
558,0.6154,0.0045,0.6391,0.952,0.6538,,0.0687,,,,0.0032,0.2237,0.6572,0.9696,0.655,,0.9674,0.3558,0.9749,0.2809,0.0368,,0.7403,0.049
559,0.6225,0.0052,0.5803,0.9751,0.6678,,0.0716,,,,0.0028,0.2166,0.5969,0.9885,0.6601,,0.9448,0.3943,0.9578,0.3176,0.0387,,0.7662,0.0569
560,0.6293,0.0063,0.5269,0.9896,0.6835,,0.0746,,,,0.0035,0.207,0.5371,0.9963,0.6658,,0.9159,0.4402,0.9388,0.3562,0.0404,,0.7914,0.0666
561,0.6394,0.0087,0.4712,0.9957,0.6993,,0.0775,,,,0.0032,0.2022,0.4821,1,0.6754,,0.8712,0.48,0.9119,0.3975,0.0421,,0.8175,0.0787
562,0.6473,0.0157,0.4179,1,0.7146,0.1595,0.0804,,,,0.0027,0.1898,0.4311,0.9932,0.6845,,0.8321,0.5208,0.879,0.4412,0.0438,,0.8447,0.0932
563,0.6545,0.0253,0.3685,0.996,0.7354,0.1681,0.0832,,,,0.0026,0.1886,0.3792,0.98,0.693,,0.7858,0.5672,0.8451,0.4854,0.0455,,0.8726,0.1104
564,0.6693,0.0291,0.3223,0.9869,0.7595,0.1793,0.0861,,,,0.0032,0.1823,0.333,0.9607,0.698,,0.7417,0.6088,0.806,0.5315,0.0474,,0.9006,0.1305
565,0.6807,0.0258,0.2823,0.9765,0.7829,0.1936,0.0889,,,,0.0034,0.176,0.2883,0.9328,0.7127,,0.6845,0.6557,0.7646,0.5778,0.0495,,0.9277,0.1534
566,0.6918,0.0201,0.2444,0.9579,0.808,0.2102,0.0918,,,,0.0041,0.1676,0.2524,0.9046,0.7222,,0.631,0.6914,0.7234,0.6254,0.0518,,0.9519,0.1792
567,0.703,0.0193,0.2126,0.9403,0.8317,0.2295,0.0948,,,,0.0033,0.1621,0.2183,0.8667,0.7353,,0.5805,0.7299,0.6764,0.6691,0.0544,,0.9721,0.208
568,0.7201,0.0225,0.1828,0.9179,0.8526,0.2503,0.0979,,,,0.003,0.1564,0.1875,0.8314,0.742,,0.5343,0.7612,0.6323,0.7156,0.0573,,0.9871,0.24
569,0.733,0.0256,0.1571,0.8959,0.8741,0.2742,0.1013,,,,0.0025,0.1516,0.1614,0.794,0.759,,0.4899,0.7942,0.5865,0.7557,0.0604,,0.9965,0.2753
570,0.7505,0.0298,0.1328,0.8716,0.8942,0.2999,0.1048,,,,0.003,0.1482,0.1377,0.7551,0.771,,0.4452,0.8243,0.5414,0.7965,0.0637,,1,0.3132
571,0.77,0.0345,0.1135,0.8451,0.9152,0.3279,0.1084,,,,0.0029,0.1433,,0.7157,0.7853,,0.4032,0.8521,0.4953,0.8326,0.0673,,0.9971,0.353
572,0.7918,0.0416,0.0961,0.8184,0.935,0.3569,0.1121,,,,0.0036,0.1401,,0.6792,0.799,,0.3584,0.8764,0.4523,0.8681,0.071,,0.9869,0.3944
573,0.8068,0.0479,0.0814,0.7927,0.9544,0.3905,0.1159,,,,0.0028,0.1355,,0.6402,0.8197,,0.322,0.9057,0.4105,0.8959,0.0748,,0.9689,0.4375
574,0.8215,0.0552,0.0688,0.7663,0.9715,0.4266,0.1196,,,,0.003,0.1322,,0.6052,0.8282,,0.2917,0.9222,0.3704,0.9247,0.0785,,0.9439,0.4821
575,0.8447,0.0654,0.0582,0.7397,0.9854,0.4657,0.1231,,,,0.0032,0.1264,,0.5704,0.8441,,0.2555,0.9403,0.3316,0.9438,0.082,,0.915,0.5279
576,0.8588,0.0752,0.0494,0.7141,0.9951,0.5048,0.1265,,,,0.0034,0.1242,,0.5393,0.8615,,0.2315,0.9572,0.2973,0.9648,0.0854,,0.8843,0.5741
577,0.8829,0.0894,0.0415,0.6914,0.9982,0.5449,0.1297,,,,0.0039,0.1187,,0.5077,0.8763,,0.2035,0.9614,0.2645,0.9767,0.0885,,0.8503,0.6198
578,0.9037,0.1022,0.0355,0.6677,1,0.5847,0.1327,,,,0.0032,0.1177,,0.4792,0.8968,,0.1795,0.9729,0.2352,0.9864,0.0914,,0.8111,0.6644
579,0.9207,0.1189,0.0297,0.647,1,0.6256,0.1357,,,,0.0035,0.1122,,0.4531,0.9146,,0.1586,0.9835,0.2086,0.9959,0.0942,,0.7673,0.7073
580,0.9414,0.1376,0.0251,0.6252,0.9983,0.668,0.1386,,,,0.0028,0.1102,,0.4267,0.9253,,0.1411,0.9933,0.1857,0.9957,0.0968,,0.721,0.7483
581,0.9552,0.1595,0.0213,0.6062,0.9936,0.7117,0.1414,,,,0.0032,0.1065,,0.4031,0.94,,0.1244,0.9977,0.1636,1,0.0994,,0.6738,0.7869
582,0.9673,0.1831,0.0179,0.59,0.9815,0.7541,0.1443,,,,0.0036,0.1029,,0.3834,0.9546,,0.1086,0.9966,0.1444,0.9983,0.1022,,0.6266,0.8233
583,0.9837,0.2111,0.0153,0.5717,0.9654,0.7943,0.1473,,,,0.0035,0.101,,0.3637,0.9643,,0.097,0.9999,0.1258,0.9957,0.105,,0.5797,0.8567
584,0.9925,0.2366,0.0131,0.5567,0.9458,0.8315,0.1503,,,,0.0029,0.0979,,0.3466,0.9725,0.0523,0.0862,1,0.1085,0.9882,0.1077,,0.5332,0.8863
585,0.9954,0.2654,0.011,0.5451,0.9203,0.8656,0.1534,,,,0.0036,0.0945,,0.3305,0.9881,0.0588,0.0765,0.9956,0.0957,0.9788,0.1105,,0.487,0.9117
586,0.9964,0.2974,0.0095,0.5293,0.8922,0.8975,0.1568,,,,0.0032,0.0945,,0.3154,0.9932,0.0665,0.066,0.9927,0.0837,0.9698,0.1133,,0.4415,0.9333
587,1,0.3349,0.0079,0.519,0.8633,0.9262,0.1603,,,,0.0033,0.0916,,0.3004,1,0.0739,0.0587,0.9882,0.0722,0.96,0.1159,,0.3976,0.9518
588,0.9922,0.3687,0.0069,0.5087,0.8319,0.9515,0.1642,,,,0.0042,0.0881,,0.2873,0.9986,0.0852,0.0514,0.9803,0.0621,0.9457,0.1187,,0.3567,0.9673
589,0.9835,0.4057,0.0059,0.4986,0.7991,0.9721,0.1684,,,,0.0037,0.0858,,0.2767,0.9979,0.0951,0.0455,0.9732,0.0548,0.9338,0.1215,,0.3204,0.9797
590,0.9711,0.447,0.005,0.4921,0.7647,0.9869,0.1729,,,,0.0032,0.083,,0.2671,0.9986,0.1054,0.041,0.967,0.0477,0.9249,0.1245,,0.2889,0.9892
591,0.9455,0.488,0.0044,0.4832,0.7331,0.9952,0.1778,,,,0.003,0.0814,,0.2582,0.9909,0.1168,0.0358,0.9661,0.041,0.9095,0.1278,,0.2591,0.9955
592,0.925,0.5307,0.0039,0.4766,0.704,0.9994,0.1831,,,,0.0031,0.0792,,0.2516,0.9854,0.1288,0.0315,0.9539,0.0357,0.8958,0.1314,,0.2299,0.9991
593,0.9009,0.5715,0.0032,0.4718,0.6778,1,0.1886,,,,0.0031,0.0775,,0.2431,0.9735,0.1447,0.0278,0.9451,0.0309,0.8823,0.1353,,0.2031,1
594,0.8668,0.6128,0.0028,0.466,0.6572,1,0.1945,,,,0.0031,0.0753,,0.2363,0.9612,0.1583,0.0234,0.9323,0.0272,0.8693,0.1393,,0.1795,0.9986
595,0.8361,0.655,0.0025,0.4605,0.6416,0.9991,0.2006,,,,0.0032,0.0724,,0.2297,0.9481,0.1726,0.0209,0.9269,0.0234,0.8562,0.1436,,0.1588,0.9951
596,0.799,0.6917,0.0021,0.4556,0.6298,0.9921,0.207,,,,0.0026,0.0713,,0.2229,0.9293,0.1898,0.0187,0.92,0.0206,0.8431,0.148,,0.1404,0.9897
597,0.7629,0.7327,0.0018,0.4489,,0.9822,0.2136,,,,0.0029,0.0686,,0.2173,0.9091,0.2054,0.016,0.9025,0.0179,0.8278,0.1525,,0.1242,0.9826
598,0.7237,0.7667,0.0016,0.4441,,0.9682,0.2204,,,,0.0029,0.0663,,0.2136,0.8819,0.2236,0.0141,0.8911,0.0158,0.8159,0.1571,,0.1097,0.974
599,0.6819,0.8078,0.0015,0.4418,,0.9504,0.2273,,,,0.0024,0.0652,,0.208,0.8602,0.2413,0.0124,0.8806,0.0133,0.8024,0.1618,,0.0965,0.9641
600,0.6389,0.8388,0.0012,0.4354,,0.9296,0.2344,,,,0.0031,0.0623,,0.2018,0.8288,0.2579,0.011,0.8689,0.0117,0.7926,0.1664,,0.0847,0.9533
601,0.6011,0.8688,,0.4289,,0.9063,0.2415,,,,0.0023,0.0609,,0.1963,0.8053,0.2789,,0.8603,0.01,0.7804,0.1711,,0.0742,0.942
602,0.5572,0.8957,,0.4235,,0.8808,0.2487,,,,0.002,0.0593,,0.1921,0.771,0.2976,,0.8511,0.0086,0.7702,0.1758,,0.0652,0.9304
603,0.5117,0.9197,,0.4148,,0.8542,0.256,,,,0.0023,0.0569,,0.1869,0.7427,0.3181,,0.8309,0.0076,0.7563,0.1804,,0.0577,0.9186
604,0.4703,0.9368,,0.41,,0.8266,0.2632,,,,0.0026,0.055,,0.1819,0.7064,0.3389,,0.8238,0.0067,0.7467,0.1852,,0.0516,0.9065
605,0.4303,0.9605,,0.4042,,0.799,0.2706,,,,0.0021,0.0534,,0.1759,0.6756,0.3573,,0.8147,0.0058,0.7372,0.1903,,0.0466,0.8941
606,0.3928,0.9738,,0.3975,,0.7714,0.278,,,,0.003,0.0521,,0.17,0.6439,0.3772,,0.7974,0.005,0.7291,0.1957,,0.0422,0.8812
607,0.3558,0.9799,,0.3911,,0.7438,0.2855,,,,0.003,0.0505,,0.1652,0.6129,0.3934,,0.7849,0.0045,0.716,0.2015,,0.0382,0.868
608,0.3193,0.9889,,0.3827,,0.7161,0.2932,,,,0.0031,0.0474,,0.1579,0.5748,0.4181,,0.7737,0.0039,0.7059,0.2077,,0.0344,0.8542
609,0.2877,0.9956,,0.3747,,0.6896,0.3011,,,,0.0025,0.047,,0.1529,0.5414,0.4366,,0.7596,0.0033,0.6961,0.2144,,0.0309,0.84
610,0.2586,1,,0.3662,,0.6638,0.3092,,,,0.004,0.0467,,0.1465,0.5154,0.4533,,0.7472,0.003,0.6892,0.2213,,0.0277,0.8254
611,0.2338,0.9905,,0.3605,,0.6396,0.3175,,,,0.0027,0.0449,,0.1402,0.4814,0.4766,,0.7291,0.0025,0.6792,0.2285,,0.0249,0.8106
612,0.2094,0.9909,,0.3501,,0.615,0.3263,,,,0.0032,0.0439,,0.1346,0.4539,0.4976,,0.7211,0.0022,0.6728,0.236,,0.0223,0.7959
613,0.1834,0.9757,,0.3419,,0.5912,0.3354,,,,0.003,0.0432,,0.1281,0.4234,0.5158,,0.7123,0.0019,0.6613,0.2439,,0.0202,0.7814
614,0.1619,0.968,,0.3318,,0.5675,0.3452,,,,0.0035,0.0411,,0.1227,0.3954,0.5342,,0.6965,0.0016,0.652,0.2524,,0.0182,0.7674
615,0.1401,0.9553,,0.3218,,0.5467,0.3557,,,,0.0032,0.0382,,0.1173,0.3721,0.555,,0.6856,0.0015,0.6423,0.2614,,0.0166,0.754
616,0.1215,0.9425,,0.3156,,0.526,0.367,,,,0.0032,0.0374,,0.1118,0.3469,0.5758,,0.6705,0.0013,0.632,0.2711,,0.0151,0.7413
617,0.1066,0.931,,0.3035,,0.5057,0.379,,,,0.0033,0.0377,,0.1066,0.3217,0.5963,,0.6579,0.0011,0.6239,0.2815,,0.0138,0.7293
618,0.0921,0.9031,,0.294,,0.485,0.3916,,,,0.003,0.0372,,0.1011,0.2965,0.6189,,0.6441,0.001,0.6157,0.2924,,0.0126,0.718
619,0.0798,0.8924,,0.2861,,0.4656,0.4042,,,,0.0035,0.0359,,0.0954,0.278,0.6354,,0.628,0.0008,0.6022,0.3037,,0.0116,0.7071
620,0.0701,0.8709,,0.2767,,0.4473,0.4167,,,,0.0029,0.0352,,0.0901,0.2549,0.6545,,0.6192,0.0007,0.5917,0.3153,,0.0107,0.6965
621,0.0611,0.8518,,0.2673,,0.4293,0.4286,,,,0.0033,0.0336,,0.0861,0.2376,0.673,,0.6043,0.0006,0.5842,0.3269,,0.0098,0.686
622,0.0521,0.8305,,0.2577,,0.4111,0.4395,,,,0.0019,0.0325,,0.0817,0.2198,0.6962,,0.5918,0.0006,0.5758,0.3382,,0.009,0.6755
623,0.0455,0.8119,,0.2512,,0.3949,0.4494,,,,0.0026,0.0317,,0.0774,0.2021,0.7151,,0.575,0.0005,0.5618,0.3491,,0.0083,0.665
624,0.0407,0.795,,0.2423,,0.3797,0.4582,,,,0.0016,0.0321,,0.0729,0.1877,0.7329,,0.5686,0.0004,0.5521,0.3593,,0.0077,0.6545
625,0.0347,0.7723,,0.234,,0.3641,0.4659,,,,0.0023,0.0299,,0.0699,0.1713,0.7426,,0.552,0.0004,0.5409,0.3689,,0.0071,0.6441
626,0.0311,0.7536,,0.2255,,0.3473,0.4729,,,,0.0021,0.0287,,0.0659,0.1607,0.766,,0.5434,0.0003,0.5334,0.378,,0.0067,0.6338
627,0.0263,0.7389,,0.2158,,0.3324,0.4794,,,,0.0024,0.0285,,0.0624,0.146,0.7856,,0.5263,0.0003,0.5216,0.3868,,0.0063,0.6237
628,0.0229,0.7192,,0.2095,,0.3197,0.4855,,,,0.0026,0.0286,,0.0591,0.1339,0.8069,,0.5139,0.0003,0.5075,0.3954,,0.0061,0.6139
629,0.0201,0.7064,,0.2023,,0.3079,0.4917,,,,0.0028,0.0266,,0.0558,0.1234,0.8171,,0.5009,0.0002,0.4987,0.4041,,0.0059,0.6045
630,0.0172,0.6904,,0.1957,,0.2954,0.4981,,,,0.0028,0.0264,,0.0526,0.1131,0.833,,0.4912,0.0002,0.4907,0.4129,,0.0059,0.5955
631,0.015,0.6737,,0.1897,,0.283,0.5046,,,,0.0028,0.0271,,0.0499,,0.8506,,0.478,,0.4775,0.422,,0.0059,0.5869
632,0.0138,0.662,,0.1815,,0.2715,0.5113,,,,0.0031,0.0263,,0.0471,,0.8639,,0.4725,,0.4655,0.4312,,0.0059,0.5786
633,0.0117,0.65,,0.1756,,0.261,0.5181,,,,0.0024,0.0254,,0.0444,,0.8784,,0.4544,,0.4558,0.4404,,0.006,0.5704
634,0.0099,0.6335,,0.1692,,0.2504,0.5247,,,,0.0023,0.0251,,0.0424,,0.8917,,0.4455,,0.4429,0.4496,,0.0061,0.5623
635,0.0086,0.6157,,0.1633,,0.2389,0.531,,,,0.0025,0.0247,,0.0406,,0.9045,,0.4321,,0.4344,0.4586,,0.0062,0.5539
636,0.0078,0.6053,,0.1575,,0.2277,0.537,,,,0.0023,0.0243,,0.0377,,0.9128,,0.4225,,0.424,0.4673,,0.0062,0.5451
637,0.0067,0.5957,,0.1527,,0.2176,0.5426,,,,0.0014,0.024,,0.0359,,0.929,,0.4096,,0.4122,0.4756,,0.0062,0.5359
638,0.0061,0.5824,,0.1479,,0.2088,0.5477,,,,0.0013,0.0231,,0.0341,,0.9359,,0.4013,,0.4021,0.4835,,0.0061,0.5262
639,0.0051,0.5763,,0.1439,,0.1996,0.5525,,,,0.0011,0.0231,,0.0322,,0.9465,,0.3924,,0.3934,0.4909,,0.0058,0.5162
640,0.0043,0.5621,,0.1387,,0.1907,0.5569,,,,0.0025,0.0216,,0.0308,,0.961,,0.3805,,0.3824,0.4979,,0.0055,0.506
641,0.0036,0.554,,0.1341,,0.1821,0.5609,,,,0.0014,0.0212,,0.0292,,0.965,,0.3712,,0.3733,0.5042,,0.0052,0.4955
642,0.0035,0.5428,,0.1299,,0.1745,0.5647,,,,0.0024,0.022,,0.0277,,0.9749,,0.3625,,0.3622,0.5098,,0.0047,0.485
643,0.0032,0.538,,0.1275,,0.1669,0.5685,,,,0.0016,0.0216,,0.0266,,0.9844,,0.3586,,0.3549,0.5149,,0.0042,0.4746
644,0.0028,0.5349,,0.1236,,0.1601,0.5723,,,,0.0019,0.0207,,0.025,,0.9882,,0.3455,,0.3475,0.5193,,0.0036,0.4642
645,0.0024,0.5214,,0.1188,,0.1527,0.5764,,,,0.0016,0.0197,,0.0239,,0.9946,,0.3361,,0.3362,0.5233,,,0.4539
646,0.002,0.514,,0.1159,,0.1457,0.581,,,,0.0019,0.02,,0.0229,,0.9962,,0.3268,,0.3268,0.5269,,,0.4437
647,0.0018,0.5032,,0.1113,,0.1388,0.586,,,,0.0018,0.0193,,0.0214,,0.9961,,0.3181,,0.317,0.5304,,,0.4336
648,0.0018,0.4991,,0.1085,,0.1332,0.5917,,,,0.0018,0.019,,0.0207,,0.9901,,0.3104,,0.3079,0.5338,,,0.4235
649,0.0015,0.4887,,0.1059,,0.1281,0.598,,,,0.0022,0.0186,,0.0197,,0.996,,0.3056,,0.2996,0.537,,,0.4133
650,0.0012,0.4834,,0.1026,,0.1234,0.6048,0.0188,,,0.0027,0.0176,,0.0188,,1,,0.2976,,0.2906,0.5401,0.0118,,0.4032
651,,0.4766,,0.0996,,0.1186,0.612,0.0193,,,0.0019,0.0184,,0.0182,,0.9943,,0.2926,,0.2856,0.543,0.0122,,0.3931
652,,0.4707,,0.0975,,0.1139,0.6197,0.02,,,0.0029,0.0175,,0.0176,,0.9976,,0.2804,,0.2737,0.5459,0.0127,,0.3831
653,,0.4618,,0.0953,,0.1081,0.6279,0.0213,,,0.002,0.0172,,0.0165,,0.9937,,0.2708,,0.2678,0.5488,0.0137,,0.3733
654,,0.4554,,0.0909,,0.1027,0.6365,0.0227,,,0.0029,0.017,,0.0163,,0.9884,,0.2622,,0.2601,0.5518,0.0148,,0.3636
655,,0.4517,,0.0896,,0.099,0.6459,0.0245,,,0.0022,0.0175,,0.0152,,0.9861,,0.2574,,0.2518,0.5553,0.0162,,0.3541
656,,0.4402,,0.0856,,0.0953,0.6559,0.0262,,,0.0022,0.0166,,0.0148,,0.9718,,0.2498,,0.2431,0.5593,0.0177,,0.3448
657,,0.4328,,0.083,,0.091,0.6667,0.0281,,,0.0023,0.0157,,0.014,,0.9626,,0.2378,,0.2348,0.564,0.0194,,0.3358
658,,0.4226,,0.0797,,0.0867,0.6784,0.03,,,0.0027,0.0175,,0.0133,,0.9485,,0.2357,,0.2272,0.5696,0.0211,,0.3268
659,,0.416,,0.0784,,0.0829,0.6908,0.0321,,,0.0026,0.0165,,0.0129,,0.9478,,0.2267,,0.2227,0.5761,0.0231,,0.3181
660,,0.4128,,0.0767,,0.0791,0.704,0.0343,,,0.0022,0.0169,,0.0125,,0.9404,,0.2229,,0.2166,0.5836,0.0251,,0.3094
661,,0.4062,,0.0739,,0.0753,0.7179,0.0368,,,0.002,0.0148,,0.012,,0.9259,,0.2185,,0.2097,0.5919,0.0273,,0.301
662,,0.4,,0.0721,,0.0724,0.7325,0.0395,,,0.0025,0.0148,,0.0114,,0.9193,,0.2123,,0.2041,0.6011,0.0297,,0.2927
663,,0.3916,,0.07,,0.0695,0.7477,0.0423,,,0.0023,0.0155,,0.0108,,0.9061,,0.2027,,0.1992,0.611,0.0323,,0.2846
664,,0.3858,,0.0686,,0.0667,0.7634,0.0454,,,0.0024,0.0155,,0.0107,,0.897,,0.2003,,0.1941,0.6214,0.035,,0.2767
665,,0.3782,,0.0663,,0.0638,0.7793,0.0484,,,0.0022,0.0158,,0.0098,,0.8855,,0.1936,,0.188,0.6321,0.0379,,0.2691
666,,0.3705,,0.0632,,0.0613,0.7952,0.0518,,,0.0022,0.0138,,0.0096,,0.8767,,0.1898,,0.1834,0.6429,0.0409,,0.2617
667,,0.3646,,0.0623,,0.0594,0.8108,0.0553,,,0.0009,0.0134,,0.0092,,0.8639,,0.184,,0.1784,0.6534,0.044,,0.2547
668,,0.359,,0.0614,,0.0582,0.8257,0.0591,,,0.002,0.0148,,0.009,,0.8532,,0.1768,,0.1709,0.6637,0.0473,,0.2479
669,,0.354,,0.0586,,0.0565,0.8398,0.0632,,,0.0016,0.0139,,0.0087,,0.8419,,0.1764,,0.1676,0.6737,0.0507,,0.2414
