Wavelength,mCherry (AB),mCherry (EM),mOrange (AB),mOrange (EM),DsRed (EX),DsRed (EM),iRFP670 (EX),iRFP670 (EM),iRFP713 (EX),iRFP713 (EM),mScarlet (EX),mScarlet (EM),mApple (EX),mApple (EM),Sirius (EX),Sirius (EM),Cerulean (EM),Cerulean (EX),ECFP (EM),ECFP (EX),mKO (EM),mKO (EX),mPlum (EM),mPlum (EX),TagRFP (EM),TagRFP (EX),tdTomato (EM),tdTomato (EX),iRFP720 (EX),iRFP720 (EM),EBFP2 (EX),EBFP2 (EM),EYFP (EX),EYFP (EM),T-Sapphire (EX),T-Sapphire (EM),mCitrine (AB),mCitrine (EM),EGFPm (AB),EGFPm (EM),E2-Crimson (EX),E2-Crimson (EM),NirFP (AB),NirFP (EM),mAmetrine (EX),mAmetrine (EM),iRFP682 (EX),iRFP682 (EM),iRFP702 (EX),iRFP702 (EM),Jred (EX),Jred (EM),TagCFP (EX),TagCFP (EM),TagGFP2 (EX),TagGFP2 (EM),TagYFP (EX),TagYFP (EM),CopGFP (EX),CopGFP (EM),mRuby2 (EX),mRuby2 (EM),TagRFP-T (EX),TagRFP-T (EM)
359,0.124,,0.028,,,,,,,,0.0996169,,0.139503,,0.991928729,,,0.077827103435993,0.0742,,,0.023040434345603,,,,,,,,,0.53292,,0.0514,,0.473208507,,0.019,,0.066,,0.117508974,,,,0.27189,,,,,,0.05636731,,0.075645793,,0.0108632,,0.0097,,0.011323375,,0.0679245,,0.0729167,
360,0.123,,0.026,,,,,,,,0.0983397,,0.139503,,0.988673714,,,0.078465603291988,0.0748,,,0.021306376904249,,,,,,,,,0.56958,,0.0514,,0.486765649,,0.022,,0.068,,0.118292321,,,,0.29247,,,,,,0.055240731,,0.076565246,,0.0113338,,0.0091,,0.011712063,,0.0679245,,0.0758929,
361,0.123,,0.024,,,,,,,,0.0945083,,0.13674,,0.985514123,,,0.081956498324871,0.0781,,,0.01980559900403,,,,,,,,,0.60956,,0.0514,,0.499031626,,0.02,,0.072,,0.118820945,,,,0.31064,,,,,,0.052817345,,0.076565246,,0.011849,,0.0093,,0.011712063,,0.0666667,,0.0758929,
362,0.122,,0.022,,,,,,,,0.0932312,,0.133978,,0.982701769,,,0.082751698791981,0.0789,,,0.018335925415158,,,,,,,,,0.65104,,0.0514,,0.51969008,,0.019,,0.073,,0.118671519,,,,0.32834,,,,,,0.053280135,,0.076013048,,0.0123886,,0.0092,,0.011807816,,0.0691824,,0.0758929,
363,0.122,,0.02,,,,,,,,0.0906769,,0.132597,,0.980366534,,,0.085198201239109,0.0812,,,0.016881804913282,,,,,,,,,0.69161,,0.0514,,0.533247222,,0.019,,0.076,,0.115085491,,,,0.34752,,,,,,0.052128734,,0.076013048,,0.0129567,,0.0082,,0.011807816,,0.0691824,,0.0758929,
364,0.121,,0.019,,,,,,,,0.0868455,,0.132597,,0.978487213,,,0.089374899864197,0.0852,,,0.015816485509276,,,,,,,,,0.72892,,0.0514,,0.553260194,,0.019,,0.08,,0.11767281,,,,0.36575,,,,,,0.05145113,,0.07825721,,0.0135319,,0.0079,,0.012169763,,0.0691824,,0.0758929,
365,0.12,,0.018,,,,,,,,0.0868455,,0.132597,,0.977002842,,,0.091982401907444,0.0877,,,0.014370139688253,,,,,,,,,0.76129,,0.0514,,0.572627583,,0.019,,0.081,,0.117603823,,,,0.38242,,,,,,0.051999799,,0.07825721,,0.0141582,,0.0074,,0.012169763,,0.0691824,,0.0758929,
366,0.12,,0.017,,,,,,,,0.0868455,,0.131215,,0.97527991,,,0.094973802566528,0.0905,,,0.013880249112844,,,,,,,,,0.78806,,0.0514,,0.595222686,,0.017,,0.084,,0.118321527,,,,0.39746,,,,,,0.054615823,,0.087465554,,0.0147898,,0.0075,,0.014207484,,0.0691824,,0.0758929,
367,0.119,,0.016,,,,,,,,0.083014,,0.131215,,0.973013593,,,0.099439598619938,0.0948,,,0.012830481864512,,,,,,,,,0.80957,,0.0514,,0.610716577,,0.016,,0.088,,0.117588914,,,,0.41381,,,,,,0.05545952,,0.087465554,,0.0154391,,0.0083,,0.014207484,,0.0691824,,0.077381,
368,0.118,,0.015,,,,,,,,0.0791826,,0.128453,,0.970243649,,,0.10097700357437,0.0962,,,0.012115086428821,,,,,,,,,0.82673,,0.05191,,0.626856051,,0.017,,0.091,,0.119064384,,,,0.42961,,,,,,0.059525442,,0.098616781,,0.0160793,,0.0081,,0.015562982,,0.0691824,,0.0758929,
369,0.116,,0.015,,,,,,,,0.0791826,,0.127072,,0.965891259,,,0.10626900196075,0.1013,,,0.011461896821856,,,,,,,,,0.84059,,0.05322,,0.649451254,,0.016,,0.092,,0.116919363,,,,0.44644,,,,,,0.059166875,,0.098616781,,0.0167589,,0.0079,,0.015562982,,0.0691824,,0.0758929,
370,0.115,,0.014,,,,,,,,0.0766284,,0.124309,,0.958951822,,,0.11031799763441,0.1051,,,0.010692068375647,,,,,,,,,0.85196,,0.0534,,0.680439036,,0.015,,0.096,,0.118373277,,,,0.46251,,,,,,0.059312732,,0.100494226,,0.0174306,,0.0097,,0.019431589,,0.0691824,,0.0758929,
371,0.114,,0.013,,,,,,,,0.0727969,,0.122928,,0.939130158,,,0.11556799709797,0.1101,,,0.009626749902964,,,,,,,,,0.86148,,0.05341,,0.710135652,,0.016,,0.098,,0.114897104,,,,0.4795,,,,,,0.06128669,,0.100494226,,0.0181307,,0.0091,,0.019431589,,0.0691824,,0.0758929,
372,0.112,,0.012,,,,,,,,0.0715198,,0.122928,,0.920257432,,,0.11976499855518,0.1141,,,0.009020217694342,,,,,,,,,0.86977,,0.05344,,0.726920609,,0.015,,0.1,,0.115281359,,,,0.49809,,,,,,0.062630458,,0.112400807,,0.018842,,0.0095,,0.02077829,,0.0691824,,0.0758929,
373,0.111,,0.012,,,,,,,,0.0676884,,0.120166,,0.895622164,,,0.12482599914074,0.119,,,0.008662519045174,,,,,,,,,0.87768,,0.05363,,0.736604254,,0.014,,0.101,,0.11370325,,,,0.51903,,,,,,0.064138115,,0.112400807,,0.0195828,,0.0092,,0.02077829,,0.0704403,,0.077381,
374,0.109,,0.011,,,,,,,,0.063857,,0.118785,,0.865865813,,,0.13058899343014,0.1244,,,0.007626750040799,,,,,,,,,0.88633,,0.05409,,0.750161396,,0.014,,0.108,,0.116391179,,,,0.54157,,,,,,0.063974485,,0.127159721,,0.0203334,,0.01,,0.023889585,,0.0704403,,0.077381,
375,0.105,,0.01,,,,,,,,0.0613027,,0.116022,,0.832279253,,,0.13741500675678,0.131,,,0.007167185191065,,,,,,,,,0.89683,,0.05471,,0.76630087,,0.014,,0.11,,0.113024841,,,,0.5637,,,,,,0.064916198,,0.127159721,,0.0211155,,0.0099,,0.023889585,,0.0704403,,0.077381,
376,0.103,,0.009,,,,,,,,0.0600255,,0.114641,,0.796572162,,,0.14314399659634,0.1364,,,0.006581649184227,,,,,,,,,0.90982,,0.05459,,0.790832822,,0.014,,0.112,,0.114915676,,,,0.58435,,,,,,0.066753895,,0.137149232,,0.0219044,,0.0095,,0.025295707,,0.0716981,,0.077381,
377,0.1,,0.008,,,,,,,,0.0561941,,0.114641,,0.760475423,,,0.15119099617004,0.1441,,,0.0060552097857,,,,,,,,,0.92511,,0.05506,,0.808263462,,0.015,,0.116,,0.114591025,,,,0.60598,,,,,,0.063340099,,0.137149232,,0.0227603,,0.009,,0.025295707,,0.0716981,,0.077381,
378,0.098,,0.007,,,,,,,,0.054917,,0.111878,,0.725481361,,,0.15755499899387,0.1502,,,0.005583203863353,,,,,,,,,0.94159,,0.05605,,0.824402836,,0.014,,0.117,,0.115153927,,,,0.62515,,,,,,0.062319886,,0.14538294,,0.0236485,,0.009,,0.025317367,,0.0716981,,0.078869,
379,0.094,,0.006,,,,,,,,0.0523627,,0.110497,,0.692777471,,,0.16659100353718,0.1588,,,0.004883359186351,,,,,,,,,0.95762,,0.05557,,0.846998139,,0.015,,0.122,,0.111939191,,,,0.64081,,,,,,0.059248679,,0.14538294,,0.0245576,,0.0093,,0.025317367,,0.0716981,,0.078869,
380,0.09,,0.005,,,,,,,,0.0510856,,0.110497,,0.66285943,,,0.17413599789143,0.166,,,0.004502332769334,,,,,,,,,0.97156,,0.05573,,0.864428679,,0.014,,0.125,,0.109557424,,,,0.65788,,,,,,0.061756148,,0.158400939,,0.0255026,,0.0097,,0.027900765,,0.0716981,,0.077381,
381,0.087,,0.004,,,,,,,,0.0485313,,0.110497,,0.635875673,,,0.18234600126743,0.1738,,,0.004200621973723,,,,,,,,,0.98247,,0.05658,,0.881859219,,0.014,,0.127,,0.113446942,,,,0.67334,,,,,,0.062047312,,0.158400939,,0.0265001,,0.0093,,0.027900765,,0.0704403,,0.0758929,
382,0.082,,0.004,,,,,,,,0.0472541,,0.107735,,0.611439204,,,0.19116500020027,0.1822,,,0.003678848966956,,,,,,,,,0.99021,,0.05719,,0.892188546,,0.014,,0.13,,0.106860609,,,,0.68794,,,,,,0.063698833,,0.181839176,,0.027536,,0.0098,,0.032374627,,0.0691824,,0.0758929,
383,0.079,,0.003,,,,,,,,0.0446999,,0.107735,,0.589001336,,,0.2007610052824,0.1913,,,0.003281492972747,,,,,,,,,0.99536,,0.05719,,0.903163356,,0.014,,0.132,,0.106599759,,,,0.70142,,,,,,0.062090588,,0.181839176,,0.0286219,,0.01,,0.032374627,,0.0691824,,0.0758929,
384,0.076,,0.003,,,,,,,,0.0434227,,0.106354,,0.568246639,,,0.20981499552727,0.2,,,0.003342923941091,,,,,,,,,0.99855,,0.05861,,0.905100105,,0.014,,0.135,,0.106405498,,,,0.71602,,,,,,0.063164684,,0.202283218,,0.0298014,,0.0098,,0.036092952,,0.0679245,,0.0758929,
385,0.071,,0.002,,,,,,,,0.0421456,,0.106354,,0.548976314,,,0.21920199692249,0.2089,,,0.003355365013704,,,,,,,,,1,,0.05818,,0.905100105,,0.014,,0.136,,0.106352432,,,,0.72995,,,,,,0.060519323,,0.202283218,,0.0310914,,0.0101,,0.036092952,,0.0654088,,0.0758929,
386,0.067,,0.002,,,,,,,,0.0395913,,0.104972,,0.531002163,,,0.23038899898529,0.2196,,,0.002948678098619,,,,,,,,,0.99918,,0.05913,,0.922530645,,0.014,,0.139,,0.100386943,,,,0.74621,,,,,,0.060241884,,0.220535208,,0.032472,,0.01,,0.037271729,,0.0654088,,0.0729167,
387,0.064,,0.002,,,,,,,,0.037037,,0.103591,,0.513894779,,,0.24120700359344,0.2299,,,0.00290202209726,,,,,,,,,0.99512,,0.06025,,0.939961285,,0.015,,0.143,,0.095430348,,,,0.75986,,,,,,0.057915474,,0.220535208,,0.0339456,,0.0099,,0.037271729,,0.0616352,,0.0729167,
388,0.06,,0.002,,,,,,,,0.037037,,0.103591,,0.497025955,,,0.25057101249695,0.2388,,,0.002681181998923,,,,,,,,,0.987,,0.0603,,0.947708181,,0.015,,0.144,,0.095819032,,,,0.77784,,,,,,0.057447657,,0.242567659,,0.0355729,,0.01,,0.041896664,,0.0616352,,0.0714286,
389,0.057,,0.002,,,,,,,,0.0344828,,0.10221,,0.479907969,,,0.26198101043701,0.2497,,,0.002640746999532,,,,,,,,,0.97473,,0.05943,,0.95416401,,0.015,,0.147,,0.091949771,,,,0.79634,,,,,,0.056357774,,0.242567659,,0.0373176,,0.0103,,0.041896664,,0.0603774,,0.0714286,
390,0.055,,0.001,,,,,,,,0.0319285,,0.0994475,,0.461777429,0.205912477,,0.27299499511719,0.2602,,,0.002978227101266,,,,,,,,,0.9593,,0.05954,,0.957391925,,0.015,,0.148,,0.087197785,,,,0.81481,,,,,,0.055158805,,0.269162012,,0.0391448,,0.0107,,0.044954143,,0.0591195,,0.0714286,
391,0.052,,0.001,,,,,,,,0.0293742,,0.0994475,,0.441001527,0.243296089,,0.28566500544548,0.2722,,,0.002605753950775,,,,,,,,,0.94246,,0.06146,,0.959328674,,0.014,,0.151,,0.086003105,,,,0.83289,,,,,,0.0546098,,0.269162012,,0.0410705,,0.0107,,0.044954143,,0.0553459,,0.0684524,
392,0.05,,0.001,,,,,,,,0.0280971,,0.0966851,,0.416657831,0.284590317,,0.2984139919281,0.2844,,,0.002664075000212,,,,,,,,,0.92595,,0.06196,,0.97159465,,0.015,,0.154,,0.079754865,,,,0.85371,,,,,,0.053853718,,0.286271499,,0.0431248,,0.0108,,0.049137198,,0.0553459,,0.0684524,
393,0.046,,0.001,,,,,,,,0.0268199,,0.0953039,,0.388287777,0.327886406,,0.31103399395943,0.2964,,,0.00280248792842,,,,,,,,,0.91075,,0.06039,,0.992253104,,0.015,,0.156,,0.07885602,,,,0.87041,,,,,,0.050932042,,0.286271499,,0.0452348,,0.0113,,0.049137198,,0.0528302,,0.0684524,
394,0.045,,0.001,,,,,,,,0.0242656,,0.0953039,,0.355928474,0.364851024,,0.32480299472809,0.3095,,,0.00271306396462,,,,,,,,,0.89649,,0.0589,,0.996126502,,0.015,,0.158,,0.075925562,,,,0.88588,,,,,,0.050022095,,0.297191967,,0.0474022,,0.0108,,0.050432105,,0.0528302,,0.0684524,
395,0.042,,0.001,,,,,,,,0.0229885,,0.0953039,,0.320507655,0.406657356,,0.33924600481987,0.3233,,,0.002860031090677,,,,,,,,,0.88162,,0.05899,,0.996772085,,0.015,,0.16,,0.072794471,,,,0.89519,,,,,,0.047935645,,0.297191967,,0.0496489,,0.0113,,0.050432105,,0.0528302,,0.0684524,
396,0.04,,0.002,,,,,,,,0.0217114,,0.0925414,,0.28334535,0.445204842,,0.35351100564003,0.3369,,,0.002664075000212,,,,,,,,,0.86415,,0.05971,,0.998063251,,0.015,,0.162,,0.06813063,,,,0.90401,,,,,,0.047305345,,0.321695991,,0.0519909,,0.0112,,0.05446422,,0.0490566,,0.0654762,
397,0.039,,0.002,,,,,,,,0.0204342,,0.0911602,,0.247007401,0.484171322,,0.36945098638535,0.3521,,,0.002524106064811,,,,,,,,,0.84259,,0.06005,,1,,0.016,,0.165,,0.067119187,,,,0.91434,,,,,,0.046985142,,0.321695991,,0.0543477,,0.0114,,0.05446422,,0.0490566,,0.0639881,
398,0.036,,0.002,,,,,,,,0.0204342,,0.089779,,0.213229993,0.516294227,,0.38526299595833,0.3672,,,0.002788491081446,,,,,,,,,0.81685,,0.06047,,1,,0.016,,0.165,,0.06484283,,,,0.92369,,,,,,0.045801651,,0.350295386,,0.0567904,,0.012,,0.060743534,,0.0490566,,0.0639881,
399,0.033,,0.002,,,,,,,,0.0191571,,0.089779,,0.183123754,0.547486034,,0.40201199054718,0.3831,,,0.002719284966588,,,,,,,,,0.78843,,0.05687,,1,,0.016,,0.167,,0.061864963,,,,0.93239,,,,,,0.044928121,,0.350295386,,0.0593703,,0.0121,,0.060743534,,0.0490566,,0.0654762,
400,0.031,,0.002,,,,,,,,0.01788,,0.0883978,,0.15730894,0.581005587,,0.41905999183655,0.3994,,,0.003137635998428,,,,0.002592439996079,,,,,0.75995,0.02508,0.05719,,0.990961939,,0.016,,0.168,,0.05909492,,0.030064541,,0.94616,,,,,,0.044256214,,0.385480254,,0.0621162,,0.0129,,0.066784414,,0.045283,,0.0639881,
401,0.029,,0.002,,,,,,,,0.0166028,,0.0870166,,0.136811358,0.607541899,,0.43625000119209,0.4158,,,0.002895801095292,,,,0.002174010034651,,,,,0.73417,0.02624,0.05748,,0.984506209,,0.017,,0.168,,0.057744473,,0.028350294,,0.95829,,,,,,0.043603993,,0.385480254,,0.065,,0.0136,,0.066784414,,0.045283,,0.0639881,
402,0.027,,0.002,,,,,,,,0.0166028,,0.0856354,,0.120342784,0.618249534,,0.45485201478004,0.4335,,,0.003092535072938,,,,0.001978470012546,,,,,0.71298,0.03451,0.05748,,0.969012318,,0.017,,0.17,,0.054063419,,0.027056172,,0.96831,,,,,,0.042387755,,0.418427158,,0.0681034,,0.014,,0.073764493,,0.045283,,0.0639881,
403,0.025,,0.002,,,,,,,,0.0166028,,0.0856354,,0.107590441,0.636871508,,0.4726519882679,0.4504,,,0.003272162051871,,,,0.002023889916018,,,,,0.69664,0.04244,0.05624,,0.942543617,,0.017,,0.17,,0.055109766,,0.026369963,,0.97945,,,,,,0.040879517,,0.418427158,,0.0714335,,0.0142,,0.073764493,,0.045283,,0.0639881,
404,0.022,,0.002,,,,,,,,0.0153257,,0.0856354,,0.09784395,0.649441341,,0.49032500386238,0.4673,,,0.003465007990599,,,,0.002116960007697,,,,,0.68377,0.05617,0.05742,,0.93221439,,0.017,,0.171,,0.050760279,,0.025419654,,0.98802,,,,,,0.04048023,,0.443111693,,0.0749485,,0.0143,,0.078771264,,0.0440252,,0.0654762,
405,0.02,,0.002,,,,,,,,0.0140485,,0.0842541,,0.090289559,0.661545624,,0.50900000333786,0.4851,,,0.003391912905499,,,,0.001967340009287,,,,,0.67184,0.06825,0.05717,,0.926404143,,0.018,,0.173,,0.048636868,,0.023894081,,0.99026,,,,,,0.036800581,,0.443111693,,0.0786455,,0.0143,,0.078771264,,0.0427673,,0.0639881,
406,0.017,,0.003,,,,,,,,0.0140485,,0.0828729,,0.084460749,0.667132216,,0.52658599615097,0.5018,,,0.003808709094301,,,,0.002008320065215,,,,,0.65791,0.08885,0.05447,,0.91478375,,0.018,,0.173,,0.046299807,,0.023622218,,1,,,,,,0.03574113,,0.463583138,,0.0825886,,0.0143,,0.083858903,,0.0427673,,0.0654762,
407,0.016,,0.003,,,,,,,,0.0153257,,0.0828729,,0.079837991,0.67877095,,0.54459500312805,0.519,,,0.003780714934692,,,,0.001937279943377,,,,,0.63955,0.10863,0.05261,,0.897998693,,0.018,,0.174,,0.044368174,,0.022301643,,0.98511,,,,,,0.03419407,,0.463583138,,0.0867202,,0.0143,,0.083858903,,0.0427673,,0.0654762,
408,0.013,,0.003,,,,,,,,0.0153257,,0.0828729,,0.076291403,0.696927374,,0.56247001886368,0.536,,,0.003734058933333,,,,0.002101759891957,,,,,0.61524,0.13706,0.05515,,0.877985821,,0.019,,0.176,,0.04440089,,0.021113424,,0.97723,,,,,,0.034691341,,0.485811774,,0.0910387,,0.0152,,0.091775825,,0.0427673,,0.0669643,
409,0.012,,0.003,,,,,,,,0.0140485,,0.0828729,,0.073285551,0.720204842,,0.57973599433899,0.5525,,,0.00392690487206,,,,0.002190439961851,,,,,0.58448,0.17296,0.05377,,0.854745035,,0.019,,0.177,,0.040430568,,0.020195238,,0.96609,,,,,,0.033062786,,0.485811774,,0.0955564,,0.0153,,0.091775825,,0.0427673,,0.0654762,
410,0.01,,0.003,,,,,,,,0.0140485,,0.0814917,,0.070902604,0.72858473,,0.59653097391129,0.5685,,,0.003883359022439,,,,0.002070819959045,,,,,0.54767,0.20179,0.05247,,0.822466187,,0.018,,0.178,,0.037228659,,0.019693903,,0.95347,0.000112657,,,,,0.031986563,,0.5102251,,0.1002953,,0.0171,,0.098926311,,0.0427673,,0.0669643,
411,0.009,,0.003,,,,,,,,0.0140485,,0.0814917,,,0.749534451,,0.61359298229218,0.5848,,,0.004431570880115,,,,0.001986169954762,,,,,0.50569,0.24194,0.05172,,0.798579718,,0.018,,0.18,,0.035249867,,0.019026717,,0.94009,0.000168986,,,,,0.030985032,,0.5102251,,0.1052345,,0.0168,,0.098926311,,0.0402516,,0.0684524,
412,0.007,,0.004,,,,,,,,0.0140485,,0.0787293,,,0.764897579,,0.62968897819519,0.6001,,,0.004108087159693,,,,0.001769530004822,,,,,0.45977,0.28845,0.05224,,0.785022575,,0.018,,0.182,,0.032365558,,0.018310982,,0.92868,0.000168986,,,,,0.030388334,,0.538690198,,0.1104136,,0.0174,,0.109596628,,0.0415094,,0.0684524,
413,0.007,,0.004,,,,,,,,0.0140485,,0.0787293,,,0.784450652,,0.64747798442841,0.6171,,,0.004479782190174,,,,0.001925020013005,,,,,0.41136,0.32943,0.05096,,0.773402182,,0.019,,0.184,,0.031081814,,0.017295365,,0.91762,0.000168986,,,,,0.029241431,,0.538690198,,0.1158407,,0.0177,,0.109596628,,0.0402516,,0.0684524,
414,0.006,,0.004,,,,,,,,0.0140485,,0.0787293,,,0.80726257,,0.66334599256516,0.6322,,,0.004937014076859,,,,0.001810380024836,,,,,0.36203,0.37465,0.04784,,0.74887023,,0.018,,0.186,,0.030266464,,0.016537296,,0.90851,0.000168986,,,,,0.029176234,,0.573520522,,0.1214968,,0.0188,,0.122068113,,0.0389937,,0.0684524,
415,0.005,,0.004,,,,,,,,0.0140485,,0.0787293,,,0.831936685,,0.680330991745,0.6484,,,0.004597978200764,,,,0.00202227011323,,,,,0.31355,0.40846,0.04803,,0.728857358,,0.019,,0.188,,0.027215995,,0.016219298,,0.90179,0.000168986,,,,,0.029142252,,0.573520522,,0.1273643,,0.0198,,0.122068113,,0.0389937,,0.0684524,
416,0.004,,0.005,,,,,,,,0.0140485,,0.0787293,,,0.853817505,,0.69762402772903,0.6648,,,0.005042768083513,,,,0.002130859997124,,,,,0.2676,0.44625,0.04715,,0.711426718,,0.019,,0.19,,0.02449974,,0.01537923,,0.89807,0.000168986,,,,,0.029209911,,0.60297284,,0.1334773,,0.0209,,0.142375169,,0.0389937,,0.0699405,
417,0.004,,0.005,,,,,,,,0.0140485,,0.0787293,,,0.875698324,,0.71613401174545,0.6825,,,0.005256609991193,,,,0.001908560050651,,,,,0.22572,0.49021,0.0451,,0.686894766,,0.019,,0.193,,0.022567852,,0.015055764,,0.89572,0.000168986,,,,,0.028874219,,0.60297284,,0.1398486,,0.0215,,0.142375169,,0.0389937,,0.0699405,
418,0.004,,0.005,,,,,,,,0.0140485,,0.0773481,,,0.898510242,,0.73457002639771,0.7001,,,0.005783826112747,,,,0.002133050002158,,,,,0.18892,0.52923,0.0448,,0.666881894,,0.02,,0.197,,0.020923588,,0.015000958,,0.89454,0.000225314,,,,,0.02816512,,0.643838552,,0.1464883,,0.0225,,0.153104122,,0.0389937,,0.0699405,
419,0.003,,0.006,,,,,,,,0.0140485,,0.0759668,,,0.92132216,,0.75408399105072,0.7187,,,0.00586858484894,,,,0.001820689998567,,,,,0.15764,0.56685,0.0435,,0.645577757,,0.02,,0.199,,0.019817479,,0.014523253,,0.89265,0.000281643,,,,,0.028542602,,0.643838552,,0.153356,,0.0231,,0.153104122,,0.0389937,,0.0699405,
420,0.003,,0.006,,,,,,,,0.0153257,,0.0745856,,,0.927374302,,0.77244597673416,0.7362,,,0.005991445854306,,,,0.001887509948574,,,,,0.13165,0.59157,0.04283,,0.624273719,,0.021,,0.203,,0.018534868,,0.014045452,,0.88768,0.000281643,,,,,0.027750061,,0.650695819,,0.1605127,,0.0237,,0.162416117,,0.036478,,0.0699405,
421,0.003,,0.006,,,,,,,,0.0140485,,0.0745856,,,0.959031657,,0.79325997829437,0.756,,,0.006419906858355,,,,0.001883359975182,,,,,0.11029,0.61135,0.04253,,0.591994871,,0.02,,0.205,,0.016608787,,0.014122277,,0.87932,0.000337971,,,,,0.027135271,,0.650695819,,0.1679503,,0.024,,0.162416117,,0.036478,,0.0714286,
422,0.003,,0.007,,,,,,,,0.0140485,,0.0745856,,,0.973929236,,0.81337302923203,0.7752,,,0.006669518072158,,,,0.002015179954469,0.0287,,,,0.09265,0.63587,0.03902,,0.570045251,,0.021,,0.208,,0.015309651,,0.013519099,,0.86502,0.000337971,,,,,0.027006761,,0.663937184,,0.1756478,,0.025,,0.170611647,,0.036478,,0.0714286,
423,0.003,,0.007,,,,,,,,0.0153257,,0.0745856,,,0.982309125,,0.83404397964478,0.7949,,,0.007002333179116,,,,0.002042930107564,0.0301,,,,0.07789,0.64821,0.0368,,0.546804364,,0.021,,0.211,,0.01515493,,0.014012382,,0.84632,0.0003943,,,,,0.026627049,,0.663937184,,0.1835984,,0.0256,,0.170611647,,0.036478,,0.0714286,
424,0.003,,0.008,,,,,,,,0.0166028,,0.0745856,,,0.980912477,,0.85531002283096,0.8151,,,0.007333592977375,,,,0.001937599969097,0.032,,,,0.06529,0.65919,0.03507,,0.502905123,,0.021,,0.215,,0.012225721,,0.013186335,,0.81887,0.000450628,,,,,0.024922885,,0.688109157,,0.1919387,,0.0261,,0.17656822,,0.036478,,0.0714286,
425,0.003,,0.008,,,,,,,,0.0166028,,0.0745856,,,0.993482309,,0.87598502635956,0.8348,,,0.007512441836298,,,,0.001959270099178,0.0335,,,,0.05441,0.66732,0.03558,,0.46933511,,0.022,,0.218,,0.012452768,,0.013315156,,0.78648,0.000450628,,,,,0.025477216,,0.688109157,,0.2006224,,0.0272,,0.17656822,,0.036478,,0.0714286,
426,0.003,,0.008,,,,,,,,0.0166028,,0.0732044,,,1,,0.89565300941467,0.8536,,,0.007908242754638,,,,0.002115729963407,0.0353,,,,0.045,0.69204,0.03502,,0.442220825,,0.022,,0.222,,0.012538933,,0.013568476,,0.7521,0.000450628,,,,,0.025535837,,0.698765375,,0.2097545,,0.0286,,0.187244963,,0.036478,,0.0729167,
427,0.003,,0.009,,,,,,,,0.0166028,,0.0732044,,,0.989757914,,0.91559499502182,0.8726,,,0.008468117564917,,,,0.002289490075782,0.0367,,,,0.03693,0.67528,0.03525,,0.40606848,,0.022,,0.225,,0.011262275,,0.013571896,,0.71734,0.000563285,,,,,0.025127381,,0.698765375,,0.2192027,,0.0288,,0.187244963,,0.036478,,0.0729167,
428,0.003,,0.009,,,,,,,,0.01788,,0.0732044,,,0.981843575,,0.9332720041275,0.8894,,,0.009043546393514,,,,0.002125520026311,0.0389,,,,0.03011,0.70149,0.03326,,0.386701091,,0.023,,0.23,,0.01160437,,0.01342195,,0.68093,0.000619614,,,,,0.025668637,,0.742793299,,0.2290867,,0.0314,,0.201616933,,0.036478,,0.0729167,
429,0.003,,0.01,,,,,,,,0.01788,,0.0732044,,,0.984171322,,0.94913697242737,0.9046,,,0.00984447915107,,,,0.002290630014613,0.0407,,,,0.02448,0.69399,0.03444,,0.366688219,,0.023,,0.235,,0.01076543,,0.013432383,,0.64575,0.000732271,,,,,0.026337735,,0.742793299,,0.2393329,,0.0332,,0.201616933,,0.036478,,0.0744048,
430,0.004,,0.011,,,,,,,,0.01788,,0.0732044,,,0.988826816,,0.96471297740936,0.9194,,,0.010171072557569,,,,0.002560779917985,0.0428,,,,0.01992,0.70096,0.0337,,0.337637186,,0.024,,0.241,,0.009883999,,0.013644048,,0.61299,0.000788599,,,,,0.027203787,,0.790761091,,0.2499451,,0.0356,,0.223703173,,0.036478,,0.0744048,
431,0.004,,0.011,,,,,,,,0.01788,,0.0732044,,,0.986499069,,0.97643601894379,0.9306,,,0.010878694243729,,,,0.002583069959655,0.0447,,,,0.01634,0.70109,0.03044,,0.293737945,,0.024,,0.246,,0.010673048,,0.014237928,,0.58079,0.000901256,,,,,0.027946623,,0.790761091,,0.2609223,,0.0393,,0.223703173,,0.036478,,0.0758929,
432,0.004,,0.012,,,,,,,,0.01788,,0.0732044,,,0.968808194,,0.98645198345184,0.9401,,,0.011384136974812,,,,0.002394089940935,0.0468,,,,0.0136,0.70229,0.03017,,0.267914827,,0.024,,0.252,,0.01168689,,0.014138094,,0.54837,0.000901256,,,,,0.027271157,,0.842222261,,0.2724498,,0.0414,,0.250935379,,0.036478,,0.0758929,
433,0.004,,0.013,,,,,,,,0.01788,,0.0732044,,,0.962290503,,0.9937350153923,0.947,,,0.012091756798327,,,,0.002727200044319,0.0484,,,,0.01156,0.71758,0.03551,,0.244674041,,0.025,,0.258,,0.010999084,,0.014328533,,0.51466,0.00101,,,,,0.028417588,,0.842222261,,0.2842821,,0.0444,,0.250935379,,0.036478,,0.0758929,
434,0.005,,0.014,,,,,,,,0.0191571,,0.0732044,,,0.965549348,,0.99808299541473,0.9512,,,0.01244167983532,,,,0.002982700010762,0.0499,,,,0.01005,0.74542,0.03291,,0.21626859,,0.026,,0.266,,0.010996667,,0.014222181,,0.47977,0.00113,,,,,0.028626547,,0.871761294,,0.2964246,,0.0459,,0.272610244,,0.036478,,0.077381,
