Wavelength,mCherry (AB),mCherry (EM),mOrange (AB),mOrange (EM),DsRed (EX),DsRed (EM),iRFP670 (EX),iRFP670 (EM),iRFP713 (EX),iRFP713 (EM),mScarlet (EX),mScarlet (EM),mApple (EX),mApple (EM),Sirius (EX),Sirius (EM),Cerulean (EM),Cerulean (EX),ECFP (EM),ECFP (EX),mKO (EM),mKO (EX),mPlum (EM),mPlum (EX),TagRFP (EM),TagRFP (EX),tdTomato (EM),tdTomato (EX),iRFP720 (EX),iRFP720 (EM),EBFP2 (EX),EBFP2 (EM),EYFP (EX),EYFP (EM),T-Sapphire (EX),T-Sapphire (EM),mCitrine (AB),mCitrine (EM),EGFPm (AB),EGFPm (EM),E2-Crimson (EX),E2-Crimson (EM),NirFP (AB),NirFP (EM),mAmetrine (EX),mAmetrine (EM),iRFP682 (EX),iRFP682 (EM),iRFP702 (EX),iRFP702 (EM),Jred (EX),Jred (EM),TagCFP (EX),TagCFP (EM),TagGFP2 (EX),TagGFP2 (EM),TagYFP (EX),TagYFP (EM),CopGFP (EX),CopGFP (EM),mRuby2 (EX),mRuby2 (EM),TagRFP-T (EX),TagRFP-T (EM)
282,,,,,,,,,,,0.904215,,0.980663,,,,,,0.9732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.667925,,1.23065,
283,,,,,,,,,,,0.90166,,0.973757,,,,,,0.9509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.657862,,1.2128,
284,,,,,,,,,,,0.900383,,0.970994,,,,,,0.9194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.642767,,1.18899,
285,,,,,,,,,,,0.881226,,0.959945,,,,,,0.8798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.623899,,1.15179,
286,,,,,,,,,,,0.837803,,0.926796,,,,,,0.832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.591195,,1.09226,
287,,,,,,,,,,,0.775223,,0.868785,,,,,,0.7724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54717,,1.01488,
288,,,,,,,,,,,0.711367,,0.798343,,,,,,0.7004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.504403,,0.933036,
289,,,,,,,,,,,0.659004,,0.734807,,,,,,0.6274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.462893,,0.860119,
290,,,,,,,,,,,0.621967,,0.686464,,,,,,0.5641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.428931,,0.796131,
291,,,,,,,,,,,0.601533,,0.662983,,,,,,0.5128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.407547,,0.748512,
292,,,,,,,,,,,0.568327,,0.640884,,,,,,0.4734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.387421,,0.700893,
293,,,,,,,,,,,0.52235,,0.603591,,,,,,0.4378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.357233,,0.647321,
294,,,,,,,,,,,0.46871,,0.549724,,,,,,0.4033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.315723,,0.574405,
295,,,,,,,,,,,0.416347,,0.495856,,,,,,0.3707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.274214,,0.497024,
296,,,,,,,,,,,0.372925,,0.44337,,,,,,0.3427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.236478,,0.427083,
297,,,,,,,,,,,0.335888,,0.400552,,,,,,0.3166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.206289,,0.370536,
298,,,,,,,,,,,0.305236,,0.36326,,,,,,0.2938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18239,,0.324405,
299,,,,,,,,,,,0.283525,,0.34116,,,,,,0.2707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171069,,0.296131,
300,0.132,,0.151,,,,,,,,0.257982,,0.316298,,,,,,0.2491,,,,,,,,,,,,0.03321,,,,,,0.059,,0.096,,,,,,0.03405,,,,,,,,,,,,,,0.024246566,,0.152201,,0.261905,
301,0.118,,0.139,,,,,,,,0.233716,,0.292818,,,,,,0.2265,,,,,,,,,,,,0.04201,,,,,,0.052,,0.087,,,,,,0.03261,,,,,,,,,,,,,,0.024246566,,0.137107,,0.230655,
302,0.106,,0.13,,,,,,,,0.213282,,0.272099,,,,,0.21611699461937,0.206,,,,,,,,,,,,0.04835,,,,,,0.05,,0.08,,,,,,0.03147,,,,,,,,,,,,,,0.023153767,,0.124528,,0.206845,
303,0.104,,0.122,,,,,,,,0.196679,,0.255525,,,,,0.19547499716282,0.1863,,,,,,,,,,,,0.05158,,,,,,0.046,,0.074,,,,,,0.03044,,,,,,,,,,,,,,0.023153767,,0.113208,,0.1875,
304,0.13,,0.115,,,,,,,,0.181354,,0.23895,,,,,0.17657800018787,0.1683,,,,,,,,,,,,0.0519,,,,,,0.044,,0.067,,,,,,0.02823,,,,,,,,,,,,,,0.022409778,,0.104403,,0.168155,
