wl,ex,wl,em,Data copyright Molecular Probes
480,99.3875607,628,63.4006603,
481,99.1725174,629,62.0944491,
482,98.8037257,630,60.8308897,
483,98.2454303,631,59.4643919,
484,97.5259801,632,58.0314557,
485,96.726591,633,56.6825927,
486,95.7343781,634,55.2681116,
487,94.7723018,635,54.0135747,
488,93.7622111,636,52.6823467,
489,92.7133002,637,51.3699838,
490,91.3826877,638,50.1293908,
491,90.0152982,639,48.7989829,
492,88.4308222,640,47.5235303,
493,86.7286087,641,46.2903193,
494,84.9137656,642,44.9914902,
495,83.2616097,643,43.7357229,
496,81.3854715,644,42.5176861,
497,79.5381932,645,41.2467447,
498,77.6773788,646,40.130006,
499,75.8211616,647,38.9410872,
500,73.8380126,648,37.8862756,
501,71.7910146,649,36.9081551,
502,69.85256,650,35.7754219,
503,67.8454038,651,34.7128181,
504,65.9146109,652,33.6834335,
505,64.0446023,653,32.763139,
506,62.0004137,654,31.8457153,
507,60.1247864,655,30.9713536,
508,58.07881,656,29.9653454,
509,56.1648734,657,29.1697254,
510,54.1817244,658,28.3060266,
511,52.2200287,659,27.5752045,
512,50.3300992,660,26.6992023,
513,48.4606014,661,25.963869,
514,46.63401,662,25.2334571,
515,44.7251812,663,24.6174667,
516,42.9772519,664,23.8829536,
517,41.1498944,665,23.2173396,
518,39.3097671,666,22.4459163,
519,37.6113845,667,21.8557631,
520,35.8897609,668,21.2159862,
521,34.252418,669,20.586052,
522,32.6490426,670,19.9335616,
523,31.143484,671,19.363504,
524,29.6315404,672,18.8299465,
525,28.1882983,673,18.3415014,
526,26.7808116,674,17.8022023,
527,25.2918536,675,17.3383641,
528,23.9303382,676,16.8072672,
529,22.6806862,677,16.2663276,
530,21.4509551,678,15.7836242,
531,20.243188,679,15.2824656,
532,19.063259,680,14.8424139,
533,17.9487114,681,14.3793959,
534,16.8522969,682,13.8786474,
535,15.8128357,683,13.540714,
536,14.7866551,684,13.2179548,
537,13.8416903,685,12.8164537,
538,12.8770601,686,12.4719585,
539,12.0079479,687,12.1442779,
540,11.2657675,688,11.7485185,
541,10.4949827,689,11.410585,
542,9.7423311,690,11.045174,
543,9.0468881,691,10.6572067,
544,8.4209128,692,10.3213238,
545,7.8309484,693,10.0129186,
546,7.2338328,694,9.7016425,
547,6.6747712,695,9.4969959,
548,6.1627025,696,9.2517481,
549,5.6925187,697,8.9470339,
550,5.2414896,698,8.7259827,
551,4.8213634,699,8.5184654,
552,4.4109422,700,8.2801895,
553,4.0436829,701,8.0164866,
554,3.7162654,702,7.7326881,
555,3.4225601,703,7.4570919,
556,3.1485204,704,7.2319396,
557,2.8765238,705,7.0166301,
558,2.6390056,706,6.7771239,
559,2.4122141,707,6.5856009,
560,2.2201564,708,6.3883364,
561,2.0561922,709,6.2792462,
562,1.8983575,710,6.0901839,
563,1.7440984,711,5.9400824,
564,1.6008214,712,5.7633236,
565,1.4966198,713,5.6185535,
566,1.3701989,714,5.4590194,
567,1.2545045,715,5.3228618,
568,1.1413642,716,5.1424119,
569,1.0297562,717,4.9960014,
570,0.9375583,718,4.8688662,
571,0.8481697,719,4.7446019,
572,0.7868747,720,4.6162364,
573,0.7253243,721,4.4891012,
574,0.6527919,722,4.3660672,
575,0.5858781,723,4.2491849,
576,0.5353098,724,4.1913589,
577,0.4839752,725,4.0552013,
578,0.4221694,726,3.9616954,
579,0.370324,727,3.8550659,
580,0.3340578,728,3.7472061,
581,0.2921729,729,3.6692846,
582,0.258716,730,3.5692169,
583,0.2270469,731,3.4888347,
584,0.2017627,732,3.3990198,
585,0.1795433,733,3.2952611,
586,0.1514498,734,3.229643,
587,0.1356152,735,3.1586934,
588,0.1187591,736,3.048783,
589,0.1049677,737,2.9704513,
590,0.0939857,738,2.8630016,
591,0.0881116,739,2.7879509,
592,0.0809605,740,2.7280743,
593,0.0697231,741,2.6468719,
594,0.0661475,742,2.553366,
595,0.0639128,743,2.5021018,
596,0.0615736,744,2.4278713,
597,0.0590986,745,2.3786577,
598,0.0560736,746,2.3355958,
599,0.0576875,747,2.2728484,
600,0.052648,748,2.2310852,
,,749,2.2288843,
,,750,2.2011811,
