wl,ex,wl,em,Data copyright Molecular Probes
362,10.4577133,522,0.7397252,
363,10.6366243,523,0.7745415,
364,10.8286858,524,0.8143378,
365,10.9369279,525,0.8549757,
366,11.0693532,526,0.9007124,
367,11.2914391,527,0.9786095,
368,11.5128698,528,1.0602901,
369,11.7722976,529,1.1517635,
370,12.0633895,530,1.2521394,
371,12.3699859,531,1.3489543,
372,12.6558368,532,1.466245,
373,12.9521696,533,1.5888772,
374,13.2024257,534,1.7210796,
375,13.4467857,535,1.8543948,
376,13.6907089,536,2.0017315,
377,13.9315748,537,2.1501811,
378,14.2720191,538,2.3175484,
379,14.6109348,539,2.4935957,
380,15.0040072,540,2.6680851,
381,15.4106186,541,2.8659436,
382,15.8792482,542,3.0758205,
383,16.3522452,543,3.2877005,
384,16.8230585,544,3.529849,
385,17.3838417,545,3.7731104,
386,17.8895947,546,4.0181522,
387,18.3977499,547,4.2865632,
388,18.9115827,548,4.5685505,
389,19.4227951,549,4.868788,
390,19.9043087,550,5.1848274,
391,20.3676973,551,5.4948577,
392,20.8345799,552,5.8322632,
393,21.2820272,553,6.2030531,
394,21.7443239,554,6.5820779,
395,22.1234203,555,6.9611027,
396,22.57458,556,7.3463592,
397,23.014821,557,7.7416311,
398,23.4952427,558,8.1638331,
399,24.0754612,559,8.6189744,
400,24.6696555,560,9.0812377,
401,25.2581721,561,9.5759952,
402,25.9392791,562,10.0636308,
403,26.6743243,563,10.5735226,
404,27.4379765,564,11.1328234,
405,28.2402807,565,11.684557,
406,29.1056949,566,12.2474188,
407,29.9746032,567,12.7964817,
408,30.9487674,568,13.3724747,
409,31.8842795,569,13.9949834,
410,32.8879242,570,14.6339618,
411,33.8911321,571,15.2696017,
412,34.9251306,572,15.9190405,
413,36.021584,573,16.5615798,
414,37.1492648,574,17.2323847,
415,38.2996565,575,17.9325679,
416,39.5105376,576,18.6558976,
417,40.7353946,577,19.3645381,
418,41.9602517,578,20.1003314,
419,43.1748451,579,20.8387954,
420,44.4182639,580,21.6104213,
421,45.5629778,581,22.4383556,
422,46.7994086,582,23.2471495,
423,47.9853952,583,24.0630654,
424,49.1384073,584,24.899012,
425,50.245561,585,25.7216049,
426,51.3546801,586,26.5793626,
427,52.4426169,587,27.4685018,
428,53.5709528,588,28.3507415,
429,54.6141231,589,29.2812773,
430,55.6647181,590,30.2155968,
431,56.7321278,591,31.1788494,
432,57.8526022,592,32.1178427,
433,58.974387,593,33.1142571,
434,60.1282726,594,34.0881928,
435,61.2922034,595,34.9748838,
436,62.4797186,596,35.9203314,
437,63.6408105,597,36.9080659,
438,64.9143648,598,37.9467674,
439,66.1588755,599,38.9514167,
440,67.3780548,600,39.9304713,
441,68.5478817,601,40.9620508,
442,69.8026558,602,41.9172911,
443,71.0607057,603,42.9268369,
444,72.3078368,604,43.9334893,
445,73.5178444,605,44.9991209,
446,74.7084168,606,46.0404931,
447,75.887197,607,47.1041216,
448,76.9377919,608,48.2736902,
449,77.9661128,609,49.3784929,
450,79.1136656,610,50.4668259,
451,80.1673178,611,51.5329026,
452,81.1831914,612,52.664858,
453,82.3508345,613,53.7407275,
454,83.4110379,614,54.7910022,
455,84.4046374,615,55.8655363,
456,85.3997655,616,56.954537,
457,86.3507821,617,58.0459859,
458,87.1854057,618,59.1721547,
459,87.9818139,619,60.2253228,
460,88.7655564,620,61.2297495,
461,89.542311,621,62.3225338,
462,90.2732071,622,63.4081961,
463,90.8348638,623,64.4433366,
464,91.372281,624,65.4815929,
465,91.9590506,625,66.5552368,
466,92.4628383,626,67.6346673,
467,92.8838624,627,68.7621714,
468,93.2422133,628,69.8422696,
469,93.6368143,629,70.9332734,
470,94.0622059,630,71.9141085,
471,94.6537797,631,72.8798093,
472,95.3095554,632,73.9334225,
473,95.9729741,633,74.9607733,
474,96.409066,634,75.9126752,
475,96.8289983,635,76.851891,
476,97.2128989,636,77.8565403,
477,97.6682076,637,78.814674,
478,97.9909637,638,79.6853404,
479,98.3995405,639,80.6025225,
480,98.9649095,640,81.4571644,
481,99.3824397,641,82.3171478,
482,99.7104367,642,83.151759,
483,99.905881,643,83.9992789,
484,100,644,84.8325547,
485,99.978381,645,85.5799213,
486,99.804119,646,86.4000659,
487,99.7403539,647,87.1443165,
488,99.6628313,648,87.8947989,
489,99.5147741,649,88.6110066,
490,99.179134,650,89.2956104,
491,98.8299547,651,90.0049186,
492,98.2434035,652,90.6049485,
493,97.653795,653,91.2448171,
494,97.0571986,654,91.8519689,
495,96.3352557,655,92.373434,
496,95.5923491,656,93.0333332,
497,94.6882827,657,93.5832864,
498,93.8158805,658,94.1434774,
499,92.8991486,659,94.6555949,
500,92.0942238,660,95.1663769,
501,91.165918,661,95.6789395,
502,90.3751875,662,96.1412029,
503,89.5748486,663,96.6054693,
504,88.823207,664,97.0125369,
505,87.9781015,665,97.4732423,
506,86.9860306,666,97.8144314,
507,86.0016029,667,98.178767,
508,85.06216,668,98.5183981,
509,84.1096148,669,98.7253817,
510,83.1125213,670,99.0091496,
