wl,ex,wl,em,Data copyright Molecular Probes
362,10.6496396,512,0.277424,
363,10.8104049,513,0.2947872,
364,11.004868,514,0.3119036,
365,11.1511392,515,0.3271372,
366,11.2777536,516,0.3429372,
367,11.554536,517,0.3771862,
368,11.8236161,518,0.4132259,
369,12.0856636,519,0.4539665,
370,12.3331436,520,0.4951548,
371,12.62014,521,0.5376862,
372,12.9151736,522,0.5817845,
373,13.1370349,523,0.6303598,
374,13.3399752,524,0.6887845,
375,13.5645156,525,0.7516861,
376,13.8089816,526,0.8121255,
377,14.0544523,527,0.8759225,
378,14.3576906,528,0.9574037,
379,14.7101571,529,1.0361987,
380,15.1051539,530,1.1239476,
381,15.566123,531,1.215502,
382,16.0515388,532,1.3128765,
383,16.5265731,533,1.4268158,
384,17.0322494,534,1.5443367,
385,17.5560095,535,1.6748409,
386,18.1375373,536,1.802435,
387,18.7150464,537,1.9345062,
388,19.2612438,538,2.077322,
389,19.8156458,539,2.2346881,
390,20.3437594,540,2.3985459,
391,20.874887,541,2.5641944,
392,21.3447306,542,2.7573764,
393,21.8038579,543,2.9442906,
394,22.2587991,544,3.1464266,
395,22.7457219,545,3.364232,
396,23.2641238,546,3.5775604,
397,23.7994374,547,3.8161839,
398,24.3540069,548,4.0579412,
399,24.8980275,549,4.3243219,
400,25.5172298,550,4.612416,
401,26.1288972,551,4.8967047,
402,26.8108905,552,5.2013637,
403,27.5824654,553,5.5310938,
404,28.404608,554,5.8588093,
405,29.3247045,555,6.1957025,
406,30.2362613,556,6.55319,
407,31.165902,557,6.9344054,
408,32.1327149,558,7.3256941,
409,33.157128,559,7.73892,
410,34.1537457,560,8.1474451,
411,35.1893774,561,8.5707442,
412,36.313084,562,8.988671,
413,37.4480091,563,9.4175664,
414,38.6880881,564,9.8979471,
415,39.9569673,565,10.3834763,
416,41.1632229,566,10.8602755,
417,42.3924182,567,11.382516,
418,43.6194367,568,11.9063235,
419,44.9065671,569,12.4556498,
420,46.1727672,570,13.009677,
421,47.4786511,571,13.5688527,
422,48.7319581,572,14.1356393,
423,49.9861023,573,14.7449572,
424,51.1871672,574,15.3587522,
425,52.3502227,575,16.0052291,
426,53.4960316,576,16.6521538,
427,54.611366,577,17.2914675,
428,55.6647467,578,17.9618964,
429,56.7564717,579,18.6426223,
430,57.8572385,580,19.3327498,
431,58.9216704,581,20.0654088,
432,60.0154047,582,20.7698627,
433,61.146981,583,21.5061033,
434,62.2768829,584,22.2504024,
435,63.3471753,585,23.0625278,
436,64.5676635,586,23.8316742,
437,65.7333981,587,24.6171616,
438,66.9331235,588,25.4501051,
439,68.1194535,589,26.3025235,
440,69.2776531,590,27.1538226,
441,70.5172298,591,27.9881091,
442,71.7646763,592,28.9314103,
443,72.9312481,593,29.8449395,
444,74.1130572,594,30.7528725,
445,75.234252,595,31.5893976,
446,76.2916513,596,32.4561423,
447,77.3048458,597,33.3390042,
448,78.4270453,598,34.2386548,
449,79.3826396,599,35.1548702,
450,80.4227923,600,36.1241379,
451,81.3937912,601,37.0374433,
452,82.3760088,602,38.0217089,
453,83.4020964,603,38.9961252,
454,84.4367235,604,39.9967318,
455,85.4502528,605,40.9384661,
456,86.4244332,606,41.926761,
457,87.2405479,607,42.9150559,
458,88.0385788,608,44.0387797,
459,88.874954,609,45.1564595,
460,89.6393289,610,46.2609322,
461,90.263387,611,47.3318276,
462,90.8653428,612,48.3926497,
463,91.3718563,613,49.4695889,
464,91.8941094,614,50.5581684,
465,92.4346137,615,51.6086934,
466,92.8636013,616,52.7021975,
467,93.1855933,617,53.7413062,
468,93.4692408,618,54.8030238,
469,93.7907304,619,55.8775007,
470,94.3674023,620,56.9434713,
471,94.9686882,621,57.9872809,
472,95.4154248,622,59.0355674,
473,95.9329895,623,60.0981803,
474,96.537122,624,61.1471384,
475,97.0489937,625,62.2683999,
476,97.5104652,626,63.3050462,
477,97.9267272,627,64.3875817,
478,98.3346171,628,65.4640733,
479,98.7733164,629,66.4940042,
480,99.2501926,630,67.6096694,
481,99.5668263,631,68.61632,
482,99.8300459,632,69.6502802,
483,99.9172834,633,70.707073,
484,99.9028834,634,71.7000687,
485,100,635,72.6742611,
486,99.8037574,636,73.7214284,
487,99.5673286,637,74.6945016,
488,99.3874954,638,75.6346689,
489,99.1093734,639,76.6829555,
490,98.7741536,640,77.6067817,
491,98.2783564,641,78.4580809,
492,97.7571079,642,79.3022168,
493,97.0916915,643,80.1380703,
494,96.3988145,644,81.0724175,
495,95.7405981,645,81.9255074,
496,94.9199625,646,82.7340513,
497,94.1026757,647,83.6287772,
498,93.2164027,648,84.4653022,
499,92.4255718,649,85.2203461,
500,91.5783128,650,85.9919548,
501,90.7484679,651,86.7425218,
502,89.9800743,652,87.442051,
503,89.1452061,653,88.2004526,
504,88.3604032,654,89.0217559,
505,87.5456281,655,89.8394776,
506,86.6799504,656,90.5553479,
507,85.9155755,657,91.157055,
508,84.9571347,658,91.8200967,
509,84.1010013,659,92.4462034,
510,83.1415559,660,93.0313456,
511,82.2075617,661,93.6646155,
512,81.2846187,662,94.1819313,
513,80.3509594,663,94.7628204,
514,79.2640903,664,95.3096844,
515,78.2713238,665,95.8164794,
516,77.1385754,666,96.3109626,
517,75.9683199,667,96.7347094,
518,74.6162218,668,97.1015985,
519,73.3945615,669,97.5067658,
520,72.1501289,670,97.9338704,
521,70.9686548,671,98.2163683,
522,69.7595526,672,98.5145357,
523,68.5690365,673,98.8315064,
524,67.3477111,674,99.0479687,
525,66.1444694,675,99.3215126,
526,64.8158133,676,99.4793264,
527,63.436757,677,99.653705,
528,61.985533,678,99.7730168,
529,60.7062724,679,99.8802406,
530,59.3282208,680,99.8569602,
531,58.036402,681,99.9894791,
532,56.6642108,682,100,
533,55.2114799,683,99.9252343,
534,53.7147115,684,99.9729142,
535,52.2462409,685,99.9451569,
536,50.7710726,686,99.7318285,
537,49.2689461,687,99.5852071,
538,47.7589498,688,99.4540314,
539,46.2775862,689,99.3374059,
540,44.9052276,690,99.1028118,
541,43.4630455,691,98.8693369,
542,42.0352634,692,98.5747511,
543,40.6140116,693,98.3813453,
544,39.2063226,694,98.0637031,
545,37.73668,695,97.7507616,
546,36.3693446,696,97.3883495,
547,34.9966512,697,96.9308014,
548,33.6865811,698,96.5433182,
549,32.4113392,699,96.2402262,
550,31.1432973,700,95.7945421,
551,29.7845015,701,95.3329647,
552,28.5511202,702,94.7558811,
553,27.2993202,703,94.2446091,
554,26.138274,704,93.6375297,
555,25.027628,705,93.0741009,
556,23.9991963,706,92.5252222,
557,23.0214996,707,91.9284398,
558,22.1246777,708,91.3000947,
559,21.2464418,709,90.8098646,
560,20.4008573,710,90.2383772,
561,19.5849101,711,89.6366701,
562,18.7681256,712,88.991984,
563,17.9461505,713,88.396097,
564,17.2407153,714,87.7120133,
565,16.4955963,715,87.1203795,
566,15.8492683,716,86.5215824,
567,15.170289,717,85.9279339,
568,14.4874586,718,85.3539842,
569,13.8161816,719,84.6786307,
570,13.1273233,720,83.9356747,
571,12.5049396,721,83.2833776,
572,11.8753558,722,82.5661643,
573,11.3226282,723,81.9264028,
574,10.6925421,724,81.162405,
575,10.1210609,725,80.4270598,
576,9.6053381,726,79.7082795,
577,9.0594756,727,78.9642042,
578,8.5869529,728,78.1840892,
579,8.1073976,729,77.4001688,
580,7.6725495,730,76.6507211,
581,7.2382037,731,75.7788279,
582,6.8195975,732,74.9541668,
583,6.4545729,733,74.1364451,
584,6.0846924,734,73.280669,
585,5.711798,735,72.3454264,
586,5.3449315,736,71.4616692,
587,5.0396839,737,70.5962675,
588,4.7374502,738,69.6943785,
589,4.4407421,739,68.8126358,
590,4.2193831,740,67.9434288,
591,3.9963498,741,67.1044414,
592,3.7691303,742,66.186659,
593,3.5348783,743,65.2903662,
594,3.3031379,744,64.42877,
595,3.1972863,745,63.5374019,
596,3.0840622,746,62.6818496,
597,2.956465,747,61.8115233,
598,2.8544478,748,61.0502117,
