wl,ex,wl,em
400,0.19373274,500,0.62384028
401,0.202900679,501,0.677922989
402,0.194525503,502,0.714385752
403,0.192789544,503,0.715087905
404,0.223678975,504,0.779116334
405,0.212012503,505,0.830749519
406,0.249250005,506,0.859716969
407,0.21039116,507,0.90864374
408,0.196643175,508,0.921126675
409,0.243129632,509,0.941894136
410,0.240668452,510,1.028098748
411,0.296409832,511,1.025323571
412,0.244589113,512,1.048937496
413,0.266541544,513,1.053668357
414,0.268153677,514,1.052259634
415,0.308691002,515,1.079870092
416,0.310246679,516,1.095819002
417,0.311879108,517,1.079283387
418,0.331135157,518,1.114949367
419,0.353239556,519,1.136831566
420,0.367383411,520,1.136169158
421,0.370102648,521,1.127914283
422,0.399830225,522,1.174207822
423,0.435276335,523,1.206379438
424,0.452383328,524,1.196662848
425,0.505490751,525,1.255592622
426,0.49524982,526,1.296069582
427,0.530797073,527,1.362669419
428,0.570313938,528,1.436401821
429,0.57694258,529,1.55181235
430,0.578068275,530,1.631131066
431,0.602542776,531,1.805693435
432,0.600089612,532,1.962589047
433,0.734690411,533,2.186861722
434,0.787289054,534,2.483398775
435,0.782365499,535,2.831621375
436,0.87738462,536,3.250994875
437,0.868845195,537,3.84521211
438,0.949961121,538,4.467893994
439,0.965214127,539,5.16303898
440,1.04454122,540,6.113149508
441,1.079946396,541,7.317566323
442,1.180904926,542,8.707937045
443,1.215060239,543,10.37740896
444,1.293037009,544,12.25607587
445,1.358159358,545,14.63616096
446,1.487117863,546,17.51280657
447,1.503498782,547,20.61612845
448,1.625257951,548,24.63418004
449,1.7467096,549,28.82661546
450,1.827739223,550,33.51286713
451,1.863770013,551,38.29568538
452,2.069565947,552,44.07806582
453,2.176152273,553,50.08823915
454,2.425672957,554,56.24651447
455,2.522155312,555,62.17790532
456,2.60691508,556,68.40341828
457,2.74317031,557,73.83662098
458,2.912290738,558,79.57137738
459,3.067469595,559,84.67526831
460,3.249487766,560,88.716214
461,3.409455946,561,92.85431297
462,3.573207146,562,95.41222012
463,3.74072431,563,97.64781809
464,4.129664111,564,99.09943954
465,4.323519143,565,99.95577633
466,4.677558966,566,100
467,4.881993832,567,99.01395727
468,5.06283514,568,97.93107669
469,5.432387391,569,95.92038225
470,5.944097952,570,93.35212892
471,6.152498337,571,90.84500645
472,6.691022628,572,88.11058315
473,6.998726429,573,84.41194506
474,7.65212626,574,81.16601603
475,8.125617747,575,77.55582529
476,8.636472097,576,73.85592547
477,9.135707903,577,70.86751573
478,9.828788508,578,67.32072696
479,10.30023157,579,63.87380419
480,10.74717369,580,60.90545598
481,11.48974056,581,58.20496693
482,11.84253359,582,55.44928346
483,12.53419514,583,52.81034796
484,13.21955449,584,50.55261292
485,13.67310241,585,48.35221724
486,14.04477472,586,46.10596395
487,14.68759301,587,44.18215862
488,15.083565,588,42.4655926
489,15.7324177,589,40.94441192
490,16.13739355,590,39.51181737
491,16.74706181,591,38.44641807
492,17.41481937,592,37.0490132
493,17.99467205,593,36.33636233
494,18.6231002,594,35.55309238
495,19.48509315,595,34.79813567
496,19.9926284,596,34.23961154
497,21.02453317,597,33.84409674
498,21.89819242,598,33.3362942
499,22.63941187,599,32.9388174
500,23.78637639,600,32.58599958
501,26.05523311,601,32.35927915
502,27.54715514,602,31.97956122
503,28.60831094,603,31.79130466
504,30.34933578,604,31.65294324
505,32.68083918,605,31.08161885
506,34.56656708,606,30.78885942
507,35.86207226,607,30.4919552
508,37.65399219,608,30.08989833
509,39.57446315,609,29.59643536
510,42.22044499,610,29.11568433
511,44.03076833,611,28.36991932
512,45.78646133,612,27.87892935
513,47.46763668,613,27.22320147
514,48.95229285,614,26.20772886
515,50.39306394,615,25.78195144
516,50.57083858,616,24.8791451
517,51.79131444,617,24.08043787
518,52.48769367,618,23.09657162
519,52.83115025,619,22.24681476
520,52.79412169,620,21.529874
521,53.42797364,621,20.66159493
522,52.91318959,622,19.71857722
523,52.96021297,623,18.96254173
524,52.47507224,624,18.07542501
525,52.10146066,625,17.38414786
526,51.82331149,626,16.54608094
527,51.44664689,627,15.79988064
528,51.35193494,628,15.01400521
529,51.3141218,629,14.33737045
530,51.60809894,630,13.6489322
531,52.58017128,631,12.96248117
532,52.50642116,632,12.44180897
533,53.33495024,633,11.77947593
534,54.67260079,634,11.33715722
535,55.46561929,635,10.81334331
536,56.86566067,636,10.2498795
537,58.08379986,637,9.724690308
538,60.03672838,638,9.272631037
539,61.8442716,639,8.892932036
540,63.77973478,640,8.527496902
541,67.73517361,641,8.156554314
542,70.55454669,642,7.806707866
543,73.1402697,643,7.524193691
544,76.94360316,644,7.201083322
545,80.48981749,645,6.960673108
546,83.91428612,646,6.604423376
547,87.3713317,647,6.331542517
548,89.76338388,648,6.145509752
549,93.06910868,649,5.931062176
550,96.46533258,650,5.658713766
551,97.89201542,651,5.437736101
552,99.67893794,652,5.262974379
553,99.88657763,653,5.155722833
554,100,654,4.897185331
555,99.13227624,655,4.717965282
556,98.51872092,656,4.562445588
557,95.38417009,657,4.468769005
558,93.19788144,658,4.204338588
559,89.51513387,659,4.107645837
560,84.50957447,660,3.978501997
561,77.77034136,661,3.802628059
562,72.70769555,662,3.726851022
563,68.00525529,663,3.53794088
564,61.52911092,664,3.478918999
565,54.56936085,665,3.300807382
566,48.63063383,666,3.220548676
567,45.01851514,667,3.051436355
568,39.55111349,668,3.004751048
569,34.82244112,669,2.871972161
570,30.20935723,670,2.771650041
571,26.31262514,671,2.61075285
572,22.58537848,672,2.573249159
573,19.52157592,673,2.438319652
574,16.930702,674,2.342390879
575,14.93342448,675,2.220827519
576,13.19594047,676,2.140456519
577,11.72029157,677,2.080610728
578,10.02467491,678,1.939957379
579,8.782742607,679,1.866049596
580,7.170691796,680,1.810997121
581,6.197497169,681,1.721968124
582,4.982622499,682,1.692084026
583,4.280589203,683,1.532907205
584,3.555049334,684,1.487351147
585,3.106449366,685,1.423221149
586,2.661113917,686,1.359594581
587,2.418204137,687,1.310531542
588,2.016830515,688,1.282286433
589,1.554035525,689,1.240002675
590,1.426461115,690,1.152961535
591,1.185874702,691,1.108243898
592,1.037538711,692,1.054125103
593,1.011749534,693,1.058420035
594,0.839052976,694,1.000713509
595,0.706633639,695,0.926894047
596,0.648802217,696,0.926432254
597,0.658670475,697,0.850846369
598,0.59404258,698,0.830583601
599,0.455706689,699,0.820451902
600,0.378929296,700,0.788563545
601,0.320027269,701,0.772538931
602,0.311067414,702,0.731641184
603,0.278661364,703,0.713670981
604,0.251909035,704,0.667061378
605,0.197646239,705,0.640922729
606,0.158761435,706,0.603635299
607,0.135664956,707,0.548711773
608,0.093759109,708,0.537621978
609,0.042987897,709,0.534362674
610,0.022867246,710,0.484618301
611,0.014103451,711,0.504211469
612,0.008164869,712,0.431456025
613,0.00953459,713,0.45327987
614,0.006931539,714,0.417232721
615,0.009260162,715,0.393046916
616,0.005698507,716,0.40062216
617,0.008301083,717,0.366002344
618,0.0069312,718,0.356133148
619,0.005561331,719,0.321652186
620,0.00432847,720,0.293389224
621,0.005972112,721,0.302081604
622,0.006245967,722,0.29204548
623,0.002821652,723,0.294390849
624,0.005150172,724,0.274847709
625,0.002547635,725,0.254284334
626,0.004191289,726,0.250609984
627,0.007204599,727,0.259051595
628,0.003917228,728,0.234831723
629,0.004328124,729,0.210544033
630,0.004602004,730,0.214530724
631,0.003506273,731,0.201313399
632,0.002547552,732,0.205661891
633,0.001862719,733,0.198743001
634,0.002410531,734,0.181313512
635,0.002273585,735,0.180768003
636,0.000903943,736,0.18214657
637,0.003780117,737,0.163316939
638,0.002958339,738,0.157667665
639,-0.002109173,739,0.148523018
640,0.00323222,740,0.142584555
641,0.001314793,741,0.145305288
642,0.001999572,742,0.135806347
643,0.002136489,743,0.14106133
644,0.001862593,744,0.119972696
