wl,ex,wl,em
260,70.16643,480,1.8749
261,63.5502,481,2.27571
262,63.46692,482,2.79933
263,65.49622,483,3.1382
264,67.68963,484,3.45251
265,68.80494,485,3.77173
266,68.00976,486,4.27266
267,66.55363,487,4.6852
268,66.95595,488,5.09282
269,68.87502,489,5.69198
270,67.06175,490,6.394259
271,67.15565,491,7.07691
272,64.74471,492,7.83813
273,60.73633,493,8.59444
274,55.70687,494,9.89097
275,54.32559,495,10.9911
276,57.40005,496,12.3367
277,56.91445,497,14.0409
278,56.73591,498,15.7155
279,53.89598,499,17.8421
280,54.30749,500,20.2338
281,49.22815,501,22.5764
282,45.08015,502,25.5132
283,39.74199,503,28.509
284,38.25273,504,31.9271
285,37.93961,505,35.6694
286,35.24427,506,40.109
287,31.84212,507,44.6911
288,30.32503,508,49.1356
289,30.76253,509,53.9878
290,29.23292,510,59.5865
291,27.96955,511,65.0476
292,24.85868,512,70.0619
293,22.97853,513,75.3413
294,22.02392,514,80.002
295,21.30835,515,85.0408
296,20.60896,516,88.842
297,20.48689,517,92.5548
298,19.82867,518,94.588
299,18.53802,519,97.0337
300,17.55763,520,98.9687
301,17.70643,521,99.2584
302,17.55627,522,100
303,16.68855,523,99.63171
304,15.51785,524,98.8213
305,15.55602,525,97.27921
306,15.38415,526,95.9582
307,14.51576,527,94.3915
308,13.64267,528,92.8985
309,13.27675,529,90.2662
310,13.32186,530,87.9481
311,12.64452,531,85.4975
312,12.03685,532,83.1893
313,11.6363,533,81.2445
314,11.48355,534,78.509
315,11.07789,535,76.1271
316,10.69408,536,73.7207
317,10.47785,537,72.0116
318,9.581213,538,69.2859
319,9.420638,539,67.5769
320,9.184743,540,65.5486
321,9.160453,541,63.7757
322,8.914283,542,61.7916
323,8.882032,543,59.9057
324,8.190063,544,58.7025
325,7.745012,545,57.1407
326,8.156996,546,55.7902
327,8.302806,547,54.4495
328,7.989481,548,52.8092
329,7.541368,549,51.8908
330,7.765153,550,50.7465
331,7.811896,551,49.5285
332,7.460469,552,48.3597
333,6.839466,553,47.0877
334,6.635631,554,46.3707
335,6.94173,555,45.0742
336,6.742659,556,44.0084
337,6.505681,557,43.1834
338,6.451079,558,41.8083
339,6.72741,559,41.0176
340,6.781462,560,39.7161
341,6.907642,561,38.8862
342,6.846951,562,37.8254
343,6.785537,563,36.5485
344,6.844977,564,35.5417
345,6.929755,565,34.3581
346,7.077266,566,33.3317
347,7.208448,567,32.3691
348,7.462646,568,30.9695
349,7.553956,569,30.0363
350,7.5677,570,28.7938
351,8.274637,571,27.846
352,8.787661,572,27.0013
353,8.926327,573,25.8914
354,8.465286,574,24.8355
355,8.980622,575,24.0301
356,9.262308,576,22.8858
357,9.245434,577,22.375
358,9.03628,578,21.4272
359,9.539777,579,20.4597
360,10.00184,580,19.6739
361,10.24086,581,18.9569
362,9.86113,582,18.1318
363,9.670209,583,17.5425
364,9.70872,584,16.7125
365,10.01776,585,16.1232
366,10.1009,586,15.5535
367,10.33986,587,15.0034
368,10.16479,588,14.4436
369,9.854053,589,13.9574
370,9.84099,590,13.3926
371,10.0724,591,12.7983
372,9.606524,592,12.4693
373,9.112484,593,11.8947
374,9.367498,594,11.4773
375,9.411384,595,11.05
376,8.859783,596,10.7259
377,8.138625,597,10.2593
378,7.730044,598,9.93026
379,7.306697,599,9.67488
380,6.843344,600,9.12484
381,6.424264,601,8.75651
382,5.875126,602,8.45202
383,5.711775,603,8.25066
384,5.330152,604,7.99037
385,4.939315,605,7.6466
386,4.66329,606,7.26353
387,4.456026,607,7.12602
388,3.915045,608,6.87555
389,3.446398,609,6.57106
390,3.287626,610,6.30095
391,3.100788,611,6.13398
392,2.750463,612,5.81475
393,2.3702,613,5.58393
394,1.981915,614,5.42186
395,1.740726,615,5.29909
396,1.578913,616,5.05353
397,1.407289,617,4.80798
398,1.244387,618,4.57224
399,1.193629,619,4.43964
400,1.179347,620,4.32669
401,1.087697,621,4.18918
402,1.067367,622,3.9338
403,1.122438,623,3.73244
404,0.9693955,624,3.67351
405,0.887897,625,3.536
406,0.880991,626,3.32482
407,0.9485956,627,3.1824
408,0.9484256,628,3.04489
409,1.00596,629,2.91229
410,1.107633,630,2.79442
411,1.05712,631,2.68147
412,1.11379,632,2.52431
413,1.128317,633,2.49484
414,1.380664,634,2.3426
415,1.561672,635,2.25911
416,1.670992,636,2.13142
417,1.619832,637,2.09213
418,1.673673,638,2.00864
419,1.76603,639,1.94971
420,1.921033,640,1.79255
421,2.144477,641,1.76309
422,2.442424,642,1.6796
423,2.552758,643,1.60593
424,2.749639,644,1.56664
425,3.075804,645,1.46842
426,3.226152,646,1.38493
427,3.271916,647,1.37511
428,3.454917,648,1.30635
429,3.807596,649,1.28671
430,4.114845,650,1.19831
431,4.548982,651,1.15411
432,4.769296,652,1.05098
433,4.939036,653,1.02151
434,5.236909,654,0.942933
435,5.825035,655,0.923289
436,6.327062,656,0.879089
437,6.885461,657,0.859444
438,7.341807,658,0.834888
439,7.710789,659,0.8398
440,8.055072,660,0.717022
441,8.438206,661,0.702289
442,8.9564,662,0.663
443,9.594549,663,0.633533
444,10.52405,664,0.608977
445,11.24064,665,0.569689
446,11.727,666,0.520578
447,12.00242,667,0.535311
448,13.13243,668,0.496022
449,14.47133,669,0.496022
450,15.68231,670,0.432178
451,16.51947,671,0.387978
452,17.27091,672,0.417444
453,18.48379,673,0.348689
454,19.65449,674,0.348689
455,20.70653,675,0.333955
456,21.50178,676,0.329044
457,22.54246,677,0.314311
458,23.69655,678,0.284844
459,24.8961,679,0.299578
460,26.48702,680,0.250467
461,27.81448,681,0.225911
462,29.05077,682,0.206267
463,30.37776,683,0.225911
464,31.77041,684,0.225911
465,33.51815,685,0.196444
466,35.19786,686,0.157155
467,37.51,687,0.171889
468,39.35226,688,0.142422
469,40.94746,689,0.147333
470,42.13292,690,0.1326
471,44.3013,691,0.108044
472,46.24452,692,0.103133
473,47.91892,693,0.1326
474,48.94211,694,0.0834889
475,50.15758,695,0.0834889
476,51.15199,696,0.0638444
477,52.77536,697,0.0933111
478,54.6004,698,0.0442
479,55.91807,699,0.0638444
480,56.77775,700,0.0196444
481,57.55402,,
482,58.94443,,
483,60.59039
484,62.38324
485,63.75391
486,65.41437
487,67.17477
488,69.369
489,71.29861
490,74.18216
491,76.86226
492,78.72044
493,80.61332
494,83.83025
495,87.20164
496,88.9632
497,91.03367
498,93.91721
499,95.73116
500,97.11169
501,98.93857
502,100
503,99.29306
504,98.37724
505,97.15115
506,94.76567
507,91.32896
508,87.78883
509,83.83842
510,79.35252
511,74.34818
512,68.50829
