wl,abs
300,27.91136
301,27.08508
302,26.22424
303,25.33617
304,24.446
305,23.61449
306,22.82381
307,22.13891
308,21.55035
309,21.0194
310,20.60992
311,20.35858
312,20.19311
313,20.12714
314,20.18683
315,20.35963
316,20.58583
317,20.95656
318,21.35452
319,21.81531
320,22.3337
321,22.90759
322,23.44483
323,24.06062
324,24.6743
325,25.29532
326,25.9132
327,26.5447
328,27.0767
329,27.54482
330,27.95116
331,28.21402
332,28.29256
333,28.17422
334,27.80873
335,27.18143
336,26.32373
337,25.21678
338,23.89829
339,22.40491
340,20.81728
341,19.15529
342,17.47235
343,15.78104
344,14.20912
345,12.67699
346,11.26738
347,10.0044
348,8.859648
349,7.826115
350,6.933856
351,6.189259
352,5.514829
353,4.966069
354,4.492711
355,4.129315
356,3.831895
357,3.565893
358,3.39938
359,3.323978
360,3.244387
361,3.217158
362,3.237056
363,3.314553
364,3.362726
365,3.482113
366,3.597311
367,3.724028
368,3.839226
369,3.961754
370,4.075905
371,4.189008
372,4.283261
373,4.370183
374,4.437207
375,4.503184
376,4.584869
377,4.646657
378,4.727295
379,4.851919
380,4.934651
381,5.070794
382,5.261394
383,5.405915
384,5.615365
385,5.820627
386,5.988187
387,6.155747
388,6.281418
389,6.350536
390,6.425939
391,6.39871
392,6.366245
393,6.243717
394,6.085581
395,5.874037
396,5.62898
397,5.334702
398,5.030999
399,4.705303
400,4.367041
401,4.074858
402,3.771155
403,3.512483
404,3.264284
405,3.021322
406,2.845384
407,2.679918
408,2.547964
409,2.464184
410,2.396112
411,2.338514
412,2.309191
413,2.308143
414,2.330136
415,2.358412
416,2.392971
417,2.443239
418,2.507121
419,2.586713
420,2.674682
421,2.754273
422,2.858998
423,2.959534
424,3.079968
425,3.200402
426,3.307222
427,3.403569
428,3.54809
429,3.660146
430,3.788958
431,3.890541
432,3.980605
433,4.094755
434,4.201575
435,4.324103
436,4.430923
437,4.549263
438,4.65713
439,4.770233
440,4.891714
441,5.028904
442,5.151433
443,5.286528
444,5.433143
445,5.559861
446,5.735799
447,5.88032
448,6.022746
449,6.201827
450,6.367292
451,6.540089
452,6.700318
453,6.86149
454,7.03858
455,7.181007
456,7.377891
457,7.516128
458,7.659602
459,7.768516
460,7.892091
461,7.987391
462,8.078503
463,8.169613
464,8.210456
465,8.273292
466,8.33089
467,8.351835
468,8.385346
469,8.41467
470,8.423048
471,8.443888
472,8.423048
473,8.425037
474,8.419906
475,8.461796
476,8.441898
477,8.478552
478,8.516253
479,8.534057
480,8.546624
481,8.585372
482,8.608412
483,8.660774
484,8.715231
485,8.74979
486,8.818805
487,8.860799
488,8.916199
489,8.945626
490,8.997989
491,9.043021
492,9.048258
493,9.07025
494,9.082817
495,9.068155
496,9.074438
497,9.03569
498,8.986469
499,8.947721
500,8.853469
501,8.810531
502,8.7079
503,8.617837
504,8.484731
505,8.336126
506,8.194747
507,8.055463
508,7.918272
509,7.766421
510,7.61038
511,7.455387
512,7.280496
513,7.154826
514,6.989255
515,6.842744
516,6.71498
517,6.586168
518,6.474112
519,6.371481
520,6.284559
521,6.209157
522,6.14318
523,6.091865
524,6.044739
525,6.023793
526,6.011227
527,6.019605
528,6.036361
529,6.095007
530,6.156795
531,6.232197
532,6.326449
533,6.434316
534,6.576638
535,6.729641
536,6.862643
537,7.064762
538,7.253268
539,7.481568
540,7.711964
541,7.955974
542,8.209409
543,8.507875
544,8.808436
545,9.103657
546,9.442024
547,9.766672
548,10.14054
549,10.49661
550,10.87152
551,11.25377
552,11.66325
553,12.07901
554,12.47487
555,12.92414
556,13.37027
557,13.8342
558,14.29813
559,14.77044
560,15.32025
561,15.80408
562,16.31095
563,16.81992
564,17.34982
565,17.91534
566,18.45782
567,19.02333
568,19.59723
569,20.20568
570,20.81099
571,21.4383
572,22.08445
573,22.76307
574,23.44064
575,24.16534
576,24.8869
577,25.64406
578,26.4295
579,27.23274
580,28.04541
581,28.89054
582,29.77966
583,30.66982
584,31.58722
585,32.54336
586,33.53091
587,34.50381
588,35.54478
589,36.59203
590,37.63824
591,38.70958
592,39.80814
593,40.91195
594,42.0168
595,43.10699
596,44.21184
597,45.33973
598,46.42678
599,47.56095
600,48.63753
601,49.7319
602,50.8022
603,51.87249
604,52.9344
605,53.93766
606,54.96083
607,55.93583
608,56.91605
609,57.84811
610,58.77806
611,59.67546
612,60.57306
613,61.43809
614,62.29265
615,63.14616
616,63.96196
617,64.75368
618,65.55589
619,66.35808
620,67.14561
621,67.94466
622,68.73115
623,69.52915
624,70.3125
625,71.1126
626,71.93156
627,72.74527
628,73.57364
629,74.44286
630,75.33198
631,76.23157
632,77.13734
633,78.07159
634,79.04449
635,80.01843
636,81.02055
637,82.03858
638,83.05756
639,84.09643
640,85.12483
641,86.19827
642,87.23505
643,88.27811
644,89.32536
645,90.36423
646,91.36739
647,92.35087
648,93.30283
649,94.21288
650,95.09258
651,95.89477
652,96.66974
653,97.37978
654,97.99556
655,98.54222
656,99.01663
657,99.39259
658,99.68896
659,99.8869
660,100
661,99.97067
662,99.87643
663,99.64917
664,99.33604
665,98.8941
666,98.37048
667,97.71384
668,96.97868
669,96.0927
670,95.13656
671,94.05894
672,92.87135
673,91.59161
674,90.20296
675,88.77974
676,87.23086
677,85.62646
678,83.91316
679,82.17368
680,80.3148
681,78.42451
682,76.507
683,74.5235
684,72.52849
685,70.37428
686,68.37708
687,66.29629
688,64.21645
689,62.12403
690,60.06514
691,57.93398
692,55.88032
693,53.80885
694,51.79185
695,49.7717
696,47.77564
697,45.85498
698,43.93013
699,42.04403
700,40.18725
701,38.42786
702,36.66534
703,34.97089
704,33.32251
705,31.72441
706,30.17343
707,28.64967
708,27.23065
709,25.82838
710,24.47952
711,23.16312
712,21.94098
713,20.75758
714,19.63493
715,18.54264
716,17.50587
717,16.51726
718,15.55902
719,14.67828
720,13.81535
721,12.99535
722,12.2141
723,11.49673
724,10.79298
725,10.13531
726,9.534183
727,8.935049
728,8.389536
729,7.863815
730,7.375796
731,6.923383
732,6.485632
733,6.076156
734,5.699146
735,5.327371
736,4.994345
737,4.678075
738,4.372277
739,4.094755
740,3.83399
741,3.584744
742,3.358537
743,3.150134
744,2.951156
745,2.76684
746,2.583571
747,2.430672
748,2.265206
749,2.14163
750,2.002346
751,1.87877
752,1.758336
753,1.641044
754,1.542602
755,1.452538
756,1.367711
757,1.281837
758,1.205387
759,1.141505
760,1.075528
761,1.00222
762,0.9488103
763,0.905873
764,0.8587466
765,0.8189511
766,0.7592577
767,0.7257457
768,0.7006116
769,0.656627
770,0.6325402
771,0.5906501
772,0.5676106
773,0.5466655
774,0.515248
775,0.5058227
776,0.4974447
777,0.4744052
778,0.4408931
779,0.4251843
780,0.4178536
781,0.3927195
782,0.3885305
783,0.3707272
784,0.3550184
785,0.3508294
786,0.3445459
787,0.3372152
788,0.3162701
789,0.3225536
790,0.3225536
791,0.3057976
792,0.2995141
