Cytometer Configuration,,,,,,,,,,,,
Software Version,Not Available,,,,,,,,,,,
Export Time, Not Available,,,,,,,,,,,
User,,,,,,,,,,,,
Cytometer, Custom,,,,,,,,,,,
Serial Number,Not Available,,,,,,,,,,,
Configuration Name, Custom,,,,,,,,,,,
Folder Name,None,,,,,,,,,,,
Comments,,,,,,,,,,,,
Sheath Pressure, Unknown,,,,,,,,,,,
Nozzle Size,Unknown,,,,,,,,,,,
Window Extension,Unknown,,,,,,,,,,,
Laser Name,Type,Wavelength,Power,Detector Array,Detector,Channel,Mirror,Filter,Parameter,Fsc Channel,Reference,Position
