FLUOROPHORE,TYPE,SUBTYPE,OLIGOMERIZATION,BRIGHTNESS (Extinction Coefficient * Quntum Yield @ pH 7.4 under ideal condition (mM*cm)^_1),BRIGHTNESS (%EGFP),SOURCE,COST,QUANTUM_YIELD (%),MOLAR_ABS_COEF ((M*cm)^-1),SPECTRA
(CS)2Ir(µ-Cl)2Ir(CS)2.csv,Fluorescent Dye,,NA,0,0,,,,,
1-anilinonaphthalene-8-sulfonicacid.csv,Fluorescent Dye,,NA,0,0,,,,,
"1,1-Diethyl-4,4-carbocyanineiodide.csv",Fluorescent Dye,,NA,0,0,,,,,
"1,2-Diphenylacetylene.csv",Fluorescent Dye,,NA,0,0,,,,,
"1,4-Diphenylbutadiene.csv",Fluorescent Dye,,NA,0,0,,,,,
"1,4-Diphenylbutadiyne.csv",Fluorescent Dye,,NA,0,0,,,,,
"1,6-Diphenylhexatriene.csv",Fluorescent Dye,,NA,0,0,,,,,
2-Di-1-ASP.csv,Fluorescent Dye,,NA,0,0,,,,,
2-dodecylresorufin.csv,Fluorescent Dye,,NA,0,0,,,,,
2-Methylbenzoxazole.csv,Fluorescent Dye,,NA,0,0,,,,,
"2,5-DIPHENYLOXAZOLE.csv",Fluorescent Dye,,NA,0,0,,,,,
"2,7-Dichlorofluorescein.csv",Fluorescent Dye,,NA,0,0,,,,,
"3,3-Diethylthiadicarbocyanineiodide.csv",Fluorescent Dye,,NA,0,0,,,,,
4-Dimethylamino-4-Nitrostilbene.csv,Fluorescent Dye,,NA,0,0,,,,,
"5-(and-6)-carboxy-2,7-dichlorofluorescein.csv",Fluorescent Dye,,NA,0,0,,,,,
"5-(and-6)-carboxy-2',7'-dichlorofluorescein.csv",Fluorescent Dye,,NA,0,0,,,,,
5-(N-hexadecanoyl)aminoeosin.csv,Fluorescent Dye,,NA,0,0,,,,,
5-Chloromethylfluorescein.csv,Fluorescent Dye,,NA,0,0,,,,,
5-FAM.csv,Fluorescent Dye,,NA,0,0,,,,,
5-ROX.csv,Fluorescent Dye,,NA,0,0,,,,,
5-TAMRA.csv,Fluorescent Dye,,NA,0,0,,,,,
5(6)-Carboxyfluorescein.csv,Fluorescent Dye,,NA,0,0,,,,,
5(6)-Carboxynaphtofluorescein.csv,Fluorescent Dye,,NA,0,0,,,,,
5(6)-CarboxytetramethylrhodamineB.csv,Fluorescent Dye,,NA,0,0,,,,,
6-carboxyrhodamine6G.csv,Fluorescent Dye,,NA,0,0,,,,,
6-HEX.csv,Fluorescent Dye,,NA,0,0,,,,,
6-JOE.csv,Fluorescent Dye,,NA,0,0,,,,,
6-TET.csv,Fluorescent Dye,,NA,0,0,,,,,
"6,8-difluoro-7-hydroxy-4-methylcoumarin.csv",Fluorescent Dye,,NA,0,0,,,,,
7-aminoactinomycinD.csv,Fluorescent Dye,,NA,0,0,,,,,
"7-Benzylamino-4-Nitrobenz-2-Oxa-1,3-Diazole.csv",Fluorescent Dye,,NA,0,0,,,,,
7-Methoxycoumarin-4-AceticAcid.csv,Fluorescent Dye,,NA,0,0,,,,,
"8-Benzyloxy-5,7-diphenylquinoline.csv",Fluorescent Dye,,NA,0,0,,,,,
"8-Benzyloxy-5,7-diphenylquinoline(protonated).csv",Fluorescent Dye,,NA,0,0,,,,,
