FLUOROPHORE,TYPE,SUBTYPE,OLIGOMERIZATION,BRIGHTNESS (Extinction Coefficient * Quntum Yield @ pH 7.4 under ideal condition (mM*cm)^_1),BRIGHTNESS (%EGFP),SOURCE,COST,QUANTUM_YIELD (%),MOLAR_ABS_COEF ((M*cm)^-1),SPECTRA
9-METHYLCARBAZOLE.csv,Fluorescent Dye,,NA,0,0,,,,,
"9,10-Bis(Phenylethynyl)Anthracene",Fluorescent Dye,,NA,0,0,,,,,
"9,10-Diphenylanthracene",Fluorescent Dye,,NA,0,0,,,,,
AAA,Fluorescent Dye,,NA,0,0,,,,,
AcridineOrange,Fluorescent Dye,DNA Intercalation,NA,5,16,Sigma Aldrich,$75/g,20,27000,
AcridineYellow,Fluorescent Dye,,NA,19,54,Sigma Aldrich,$5/g,47,39400,
AdamsAppleRed680,Fluorescent Dye,,NA,0,0,,,,,
AdirondackGreen520,Fluorescent Dye,,NA,0,0,,,,,
AlexaFluor350,Fluorescent Dye,,NA,0,0,Thermo Fisher,,,19000,
AlexaFluor405,Fluorescent Dye,,NA,0,0,Thermo Fisher,,,34000,
AlexaFluor430,Fluorescent Dye,,NA,0,0,Thermo Fisher,,,16000,
AlexaFluor480,Fluorescent Dye,,NA,0,0,,,,,
AlexaFluor488,Fluorescent Dye,,NA,0,0,Thermo Fisher,,,71000,
AlexaFluor488hydrazide,Fluorescent Dye,,NA,0,0,,,,,
AlexaFluor500,Fluorescent Dye,,NA,0,0,,,,,
AlexaFluor514,Fluorescent Dye,,NA,0,0,,,,,
AlexaFluor532,Fluorescent Dye,,NA,0,0,Thermo Fisher,,,81000,
AlexaFluor546,Fluorescent Dye,,NA,0,0,Thermo Fisher,,,104000,
AlexaFluor555,Fluorescent Dye,,NA,0,0,Thermo Fisher,,,150000,
AlexaFluor568,Fluorescent Dye,,NA,0,0,Thermo Fisher,,,91000,
AlexaFluor594,Fluorescent Dye,,NA,0,0,Thermo Fisher,,,73000,
AlexaFluor610-R-PE,Fluorescent Dye,,NA,0,0,,,,,
AlexaFluor610,Fluorescent Dye,,NA,0,0,Thermo Fisher,,,138000,
AlexaFluor633,Fluorescent Dye,,NA,0,0,Thermo Fisher,,,239000,
AlexaFluor635,Fluorescent Dye,,NA,0,0,Thermo Fisher,,,140000,
AlexaFluor647-R-PE,Fluorescent Dye,,NA,0,0,,,,,
AlexaFluor647,Fluorescent Dye,,NA,0,0,Thermo Fisher,,,239000,
AlexaFluor660,Fluorescent Dye,,NA,0,0,Thermo Fisher,,,132000,
AlexaFluor680-APC,Fluorescent Dye,,NA,0,0,,,,,
AlexaFluor680-R-PE,Fluorescent Dye,,NA,0,0,,,,,
AlexaFluor680,Fluorescent Dye,,NA,0,0,Thermo Fisher,,,184000,
AlexaFluor700,Fluorescent Dye,,NA,0,0,Thermo Fisher,,,192000,
AlexaFluor750,Fluorescent Dye,,NA,0,0,Thermo Fisher,,,240000,
AlexaFluor790,Fluorescent Dye,,NA,0,0,Thermo Fisher,,,270000,
Allophycocyanin,Fluorescent Dye,,NA,0,0,Invitrogen,,68,,
Aminomethylcoumarin,Fluorescent Dye,,NA,0,0,,,,,
AmplexGold(product),Fluorescent Dye,,NA,0,0,,,,,
AmplexRedReagent,Fluorescent Dye,,NA,0,0,,,,,
AmplexUltraRed,Fluorescent Dye,,NA,0,0,,,,,
Anthracene,Fluorescent Dye,,NA,0,0,,,,,
APC-Seta-750,Fluorescent Dye,,NA,0,0,,,,,
ATTO390,Fluorescent Dye,,NA,0,0,,,,,
ATTO425,Fluorescent Dye,,NA,0,0,,,,,
ATTO430LS,Fluorescent Dye,,NA,0,0,,,,,
ATTO465,Fluorescent Dye,,NA,0,0,,,,,
ATTO488,Fluorescent Dye,,NA,0,0,,,,,
ATTO490LS,Fluorescent Dye,,NA,0,0,,,,,
ATTO495,Fluorescent Dye,,NA,0,0,,,,,
ATTO514,Fluorescent Dye,,NA,0,0,,,,,
ATTO520,Fluorescent Dye,,NA,0,0,,,,,
ATTO532,Fluorescent Dye,,NA,0,0,,,,,
ATTO550,Fluorescent Dye,,NA,0,0,,,,,
ATTO565,Fluorescent Dye,,NA,0,0,,,,,
ATTO590,Fluorescent Dye,,NA,0,0,,,,,
ATTO594,Fluorescent Dye,,NA,0,0,,,,,
ATTO610,Fluorescent Dye,,NA,0,0,,,,,
ATTO620,Fluorescent Dye,,NA,0,0,,,,,
ATTO633,Fluorescent Dye,,NA,0,0,,,,,
ATTO635,Fluorescent Dye,,NA,0,0,,,,,
ATTO647,Fluorescent Dye,,NA,0,0,,,,,
ATTO647N,Fluorescent Dye,,NA,0,0,,,,,
ATTO655,Fluorescent Dye,,NA,0,0,,,,,
ATTO665,Fluorescent Dye,,NA,0,0,,,,,
ATTO680,Fluorescent Dye,,NA,0,0,,,,,
ATTO700,Fluorescent Dye,,NA,0,0,,,,,
ATTO725,Fluorescent Dye,,NA,0,0,,,,,
ATTO740,Fluorescent Dye,,NA,0,0,,,,,
ATTOOxa12,Fluorescent Dye,,NA,0,0,,,,,
ATTORho3B,Fluorescent Dye,,NA,0,0,,,,,
ATTORho6G,Fluorescent Dye,,NA,0,0,,,,,
ATTORho11,Fluorescent Dye,,NA,0,0,,,,,
ATTORho12,Fluorescent Dye,,NA,0,0,,,,,
ATTORho13,Fluorescent Dye,,NA,0,0,,,,,
ATTORho14,Fluorescent Dye,,NA,0,0,,,,,
ATTORho101,Fluorescent Dye,,NA,0,0,,,,,
ATTOThio12,Fluorescent Dye,,NA,0,0,,,,,
AuramineO,Fluorescent Dye,,NA,0,0,,,,,
B-phycoerythrin,Fluorescent Dye,,NA,0,0,,,,,
BCECF,Fluorescent Dye,,NA,0,0,,,,,
Benzene,Fluorescent Dye,,NA,0,0,,,,,
Bex1,Fluorescent Dye,,NA,0,0,,,,,
Biphenyl,Fluorescent Dye,,NA,0,0,,,,,
BirchYellow580,Fluorescent Dye,,NA,0,0,,,,,
BO-PRO-1,Fluorescent Dye,,NA,0,0,,,,,
BO-PRO-3,Fluorescent Dye,,NA,0,0,,,,,
BOBO-1,Fluorescent Dye,,NA,0,0,,,,,
BOBO-3,Fluorescent Dye,,NA,0,0,,,,,
BODIPY-DiMe,Fluorescent Dye,,NA,0,0,,,,,
BODIPY-Phenyl,Fluorescent Dye,,NA,0,0,,,,,
BODIPY-TMSCC,Fluorescent Dye,,NA,0,0,,,,,
BODIPY650-665-X,Fluorescent Dye,,NA,0,0,,,,,
BODIPY630650-X,Fluorescent Dye,,NA,0,0,,,,,
BODIPYFL,Fluorescent Dye,,NA,0,0,,,,,
BODIPYR6G,Fluorescent Dye,,NA,0,0,,,,,
BODIPYTMR-X,Fluorescent Dye,,NA,0,0,,,,,
BODIPYTR-X,Fluorescent Dye,,NA,0,0,,,,,
BODIPYTR-XPh7.0,Fluorescent Dye,,NA,0,0,,,,,
BODIPYTR-Xphallacidin,Fluorescent Dye,,NA,0,0,,,,,
C-Phycocyanin,Fluorescent Dye,,NA,0,0,,,,,
C3-Indocyanine,Fluorescent Dye,,NA,0,0,,,,,
C3-Oxacyanine,Fluorescent Dye,,NA,0,0,,,,,
C3-ThiacyanineDye(EtOH),Fluorescent Dye,,NA,0,0,,,,,
C3-ThiacyanineDye(PrOH),Fluorescent Dye,,NA,0,0,,,,,
C5-Indocyanine,Fluorescent Dye,,NA,0,0,,,,,
C5-Oxacyanine,Fluorescent Dye,,NA,0,0,,,,,
C5-Thiacyanine,Fluorescent Dye,,NA,0,0,,,,,
C7-Indocyanine,Fluorescent Dye,,NA,0,0,,,,,
C7-Oxacyanine,Fluorescent Dye,,NA,0,0,,,,,
C545T,Fluorescent Dye,,NA,0,0,,,,,
Calcein,Fluorescent Dye,,NA,0,0,,,,,
Calceinred-orange,Fluorescent Dye,,NA,0,0,,,,,
CalciumCrimson,Fluorescent Dye,,NA,0,0,,,,,
CalciumGreen-1,Fluorescent Dye,,NA,0,0,,,,,
CalciumOrange,Fluorescent Dye,,NA,0,0,,,,,
Calcofluorwhite2MR,Fluorescent Dye,,NA,0,0,,,,,
Carboxynaphthofluorescein,Fluorescent Dye,,NA,0,0,,,,,
CarboxySNARF-1pH6.0,Fluorescent Dye,,NA,0,0,,,,,
CarboxySNARF-1pH9.0,Fluorescent Dye,,NA,0,0,,,,,
CascadeBlue,Fluorescent Dye,,NA,0,0,,,,,
CascadeYellow,Fluorescent Dye,,NA,0,0,,,,,
CatskillGreen540,Fluorescent Dye,,NA,0,0,,,,,
CBQCA,Fluorescent Dye,,NA,0,0,,,,,
CellMaskOrange,Fluorescent Dye,,NA,0,0,,,,,
CellTraceBODIPYTRmethylester,Fluorescent Dye,,NA,0,0,,,,,
CellTracecalceinviolet,Fluorescent Dye,,NA,0,0,,,,,
CellTrace»FarRed,Fluorescent Dye,,NA,0,0,,,,,
CellTrackerBlue,Fluorescent Dye,,NA,0,0,,,,,
CellTrackerRedCMTPX,Fluorescent Dye,,NA,0,0,,,,,
CellTrackerVioletBMQC,Fluorescent Dye,,NA,0,0,,,,,
CF405M,Fluorescent Dye,,NA,0,0,,,,,
CF405S,Fluorescent Dye,,NA,0,0,,,,,
CF488A,Fluorescent Dye,,NA,0,0,,,,,
CF543,Fluorescent Dye,,NA,0,0,,,,,
CF555,Fluorescent Dye,,NA,0,0,,,,,
CFSE,Fluorescent Dye,,NA,0,0,,,,,
CF»350,Fluorescent Dye,,NA,0,0,,,,,
CF»485,Fluorescent Dye,,NA,0,0,,,,,
ChlorophyllA,Fluorescent Dye,,NA,0,0,,,,,
ChlorophyllB,Fluorescent Dye,,NA,0,0,,,,,
CHOxAsH-CCXXCC,Fluorescent Dye,,NA,0,0,,,,,
Chromeo488,Fluorescent Dye,,NA,0,0,,,,,
Chromeo494,Fluorescent Dye,,NA,0,0,,,,,
Chromeo505,Fluorescent Dye,,NA,0,0,,,,,
Chromeo546,Fluorescent Dye,,NA,0,0,,,,,
Chromeo642,Fluorescent Dye,,NA,0,0,,,,,
ClOHbutoxyaza-BODIPY,Fluorescent Dye,,NA,0,0,,,,,
ClOHC12aza-BODIPY,Fluorescent Dye,,NA,0,0,,,,,
CM-H2DCFDA,Fluorescent Dye,,NA,0,0,,,,,
Coumarin1,Fluorescent Dye,,NA,0,0,,,,,
Coumarin6,Fluorescent Dye,,NA,0,0,,,,,
Coumarin30,Fluorescent Dye,,NA,0,0,,,,,
Coumarin314,Fluorescent Dye,,NA,0,0,,,,,
Coumarin334,Fluorescent Dye,,NA,0,0,,,,,
Coumarin343,Fluorescent Dye,,NA,0,0,,,,,
Coumarine545T,Fluorescent Dye,,NA,0,0,,,,,
CresylVioletPerchlorate,Fluorescent Dye,,NA,0,0,,,,,
CryptoLightCF1,Fluorescent Dye,,NA,0,0,,,,,
CryptoLightCF2,Fluorescent Dye,,NA,0,0,,,,,
CryptoLightCF3,Fluorescent Dye,,NA,0,0,,,,,
CryptoLightCF4,Fluorescent Dye,,NA,0,0,,,,,
CryptoLightCF5,Fluorescent Dye,,NA,0,0,,,,,
CryptoLightCF6,Fluorescent Dye,,NA,0,0,,,,,
CrystalViolet,Fluorescent Dye,,NA,0,0,,,,,
Cumarin153,Fluorescent Dye,,NA,0,0,,,,,
Cy3.5,Fluorescent Dye,,NA,0,0,,,,,
Cy3,Fluorescent Dye,,NA,0,0,,,,,
Cy3B,Fluorescent Dye,,NA,0,0,,,,,
Cy3Cy5ET,Fluorescent Dye,,NA,0,0,,,,,
Cy5.5,Fluorescent Dye,,NA,0,0,,,,,
Cy5,Fluorescent Dye,,NA,0,0,,,,,
Cy7,Fluorescent Dye,,NA,0,0,,,,,
Cyanine3NHSester,Fluorescent Dye,,NA,0,0,,,,,
Cyanine5carboxylicacid,Fluorescent Dye,,NA,0,0,,,,,
Cyanine5NHSester,Fluorescent Dye,,NA,0,0,,,,,
CypHer5,Fluorescent Dye,,NA,0,0,,,,,
CypHer5pH9.15,Fluorescent Dye,,NA,0,0,,,,,
CyQUANTGR,Fluorescent Dye,,NA,0,0,,,,,
CyTrakOrange,Fluorescent Dye,,NA,0,0,,,,,
DabcylSE,Fluorescent Dye,,NA,0,0,,,,,
DAF-FM,Fluorescent Dye,,NA,0,0,,,,,
DAMC(Weiss),Fluorescent Dye,,NA,0,0,,,,,
dansylcadaverine,Fluorescent Dye,,NA,0,0,,,,,
DansylGlycine(Dioxane),Fluorescent Dye,,NA,0,0,,,,,
DAPI,Fluorescent Dye,,NA,0,0,,,,,
DAPI(DMSO),Fluorescent Dye,,NA,0,0,,,,,
DAPI(H2O),Fluorescent Dye,,NA,0,0,,,,,
Dapoxyl(2-aminoethyl)sulfonamide,Fluorescent Dye,,NA,0,0,,,,,
DCI,Fluorescent Dye,,NA,0,0,,,,,
DCM,Fluorescent Dye,,NA,0,0,,,,,
DCM(acetonitrile),Fluorescent Dye,,NA,0,0,,,,,
DCM(MeOH),Fluorescent Dye,,NA,0,0,,,,,
DDAO,Fluorescent Dye,,NA,0,0,,,,,
DeepPurple,Fluorescent Dye,,NA,0,0,,,,,
di-8-ANEPPS,Fluorescent Dye,,NA,0,0,,,,,
DiA,Fluorescent Dye,,NA,0,0,,,,,
"Dichlorotris(1,10-phenanthroline)ruthenium(II)",Fluorescent Dye,,NA,0,0,,,,,
DiClOHbutoxyaza-BODIPY,Fluorescent Dye,,NA,0,0,,,,,
DiClOHC12aza-BODIPY,Fluorescent Dye,,NA,0,0,,,,,
DiD,Fluorescent Dye,,NA,0,0,,,,,
DiI,Fluorescent Dye,,NA,0,0,,,,,
DiIC18(3),Fluorescent Dye,,NA,0,0,,,,,
DiO,Fluorescent Dye,,NA,0,0,,,,,
DiR,Fluorescent Dye,,NA,0,0,,,,,
DiversaCyan-FP,Fluorescent Dye,,NA,0,0,,,,,
DiversaGreen-FP,Fluorescent Dye,,NA,0,0,,,,,
DM-NERFpH4.0,Fluorescent Dye,,NA,0,0,,,,,
DOCI,Fluorescent Dye,,NA,0,0,,,,,
Doxorubicin,Fluorescent Dye,,NA,0,0,,,,,
DPPpH-Probe590-7.5,Fluorescent Dye,,NA,0,0,,,,,
DPPpH-Probe590-9.0,Fluorescent Dye,,NA,0,0,,,,,
DPPpH-Probe590-11.0,Fluorescent Dye,,NA,0,0,,,,,
DragonGreen,Fluorescent Dye,,NA,0,0,,,,,
DRAQ5,Fluorescent Dye,,NA,0,0,,,,,
DY-350XL,Fluorescent Dye,,NA,0,0,,,,,
DY-480,Fluorescent Dye,,NA,0,0,,,,,
DY-480XLMegaStokes,Fluorescent Dye,,NA,0,0,,,,,
DY-485,Fluorescent Dye,,NA,0,0,,,,,
DY-485XLMegaStokes,Fluorescent Dye,,NA,0,0,,,,,
DY-490,Fluorescent Dye,,NA,0,0,,,,,
DY-490XLMegaStokes,Fluorescent Dye,,NA,0,0,,,,,
DY-500,Fluorescent Dye,,NA,0,0,,,,,
DY-500XLMegaStokes,Fluorescent Dye,,NA,0,0,,,,,
DY-520,Fluorescent Dye,,NA,0,0,,,,,
DY-520XLMegaStokes,Fluorescent Dye,,NA,0,0,,,,,
DY-547,Fluorescent Dye,,NA,0,0,,,,,
DY-549P1,Fluorescent Dye,,NA,0,0,,,,,
DY-554,Fluorescent Dye,,NA,0,0,,,,,
DY-555,Fluorescent Dye,,NA,0,0,,,,,
DY-557,Fluorescent Dye,,NA,0,0,,,,,
DY-590,Fluorescent Dye,,NA,0,0,,,,,
DY-615,Fluorescent Dye,,NA,0,0,,,,,
DY-630,Fluorescent Dye,,NA,0,0,,,,,
DY-631,Fluorescent Dye,,NA,0,0,,,,,
DY-633,Fluorescent Dye,,NA,0,0,,,,,
DY-635,Fluorescent Dye,,NA,0,0,,,,,
DY-636,Fluorescent Dye,,NA,0,0,,,,,
DY-647,Fluorescent Dye,,NA,0,0,,,,,
DY-649P1,Fluorescent Dye,,NA,0,0,,,,,
DY-650,Fluorescent Dye,,NA,0,0,,,,,
DY-651,Fluorescent Dye,,NA,0,0,,,,,
DY-656,Fluorescent Dye,,NA,0,0,,,,,
DY-673,Fluorescent Dye,,NA,0,0,,,,,
DY-675,Fluorescent Dye,,NA,0,0,,,,,
DY-676,Fluorescent Dye,,NA,0,0,,,,,
DY-680,Fluorescent Dye,,NA,0,0,,,,,
DY-681,Fluorescent Dye,,NA,0,0,,,,,
DY-700,Fluorescent Dye,,NA,0,0,,,,,
DY-701,Fluorescent Dye,,NA,0,0,,,,,
DY-730,Fluorescent Dye,,NA,0,0,,,,,
DY-731,Fluorescent Dye,,NA,0,0,,,,,
DY-750,Fluorescent Dye,,NA,0,0,,,,,
DY-751,Fluorescent Dye,,NA,0,0,,,,,
DY-776,Fluorescent Dye,,NA,0,0,,,,,
DY-782,Fluorescent Dye,,NA,0,0,,,,,
Dye-28,Fluorescent Dye,,NA,0,0,,,,,
Dye-33,Fluorescent Dye,,NA,0,0,,,,,
Dye-45,Fluorescent Dye,,NA,0,0,,,,,
Dye-304,Fluorescent Dye,,NA,0,0,,,,,
Dye-1041,Fluorescent Dye,,NA,0,0,,,,,
DyLight488,Fluorescent Dye,,NA,0,0,,,,,
DyLight549,Fluorescent Dye,,NA,0,0,,,,,
DyLight633,Fluorescent Dye,,NA,0,0,,,,,
DyLight649,Fluorescent Dye,,NA,0,0,,,,,
DyLight680,Fluorescent Dye,,NA,0,0,,,,,
ECF,Fluorescent Dye,,NA,0,0,,,,,
ECLPlus,Fluorescent Dye,,NA,0,0,,,,,
ELF97,Fluorescent Dye,,NA,0,0,,,,,
EnvyGreen,Fluorescent Dye,,NA,0,0,,,,,
Eosin,Fluorescent Dye,,NA,0,0,,,,,
EosinY,Fluorescent Dye,,NA,0,0,,,,,
epicocconone,Fluorescent Dye,,NA,0,0,,,,,
EqFP611,Fluorescent Dye,,NA,0,0,,,,,
ER-TrackeBlue-WhiteDPX,Fluorescent Dye,,NA,0,0,,,,,
Erythrosin-5-isothiocyanate,Fluorescent Dye,,NA,0,0,,,,,
Ethidiumbromide,Fluorescent Dye,,NA,0,0,,,,,
ethidiumhomodimer-1,Fluorescent Dye,,NA,0,0,,,,,
Ethyl-p-Dimethylaminobenzoate,Fluorescent Dye,,NA,0,0,,,,,
EthylEosin,Fluorescent Dye,,NA,0,0,,,,,
EthylNileBlueA,Fluorescent Dye,,NA,0,0,,,,,
Eu(Soini),Fluorescent Dye,,NA,0,0,,,,,
Eu(tta)3DEADIT,Fluorescent Dye,,NA,0,0,,,,,
Eu2O3nanoparticles,Fluorescent Dye,,NA,0,0,,,,,
EvaGreen,Fluorescent Dye,,NA,0,0,,,,,
EVOblue-30,Fluorescent Dye,,NA,0,0,,,,,
EYFP,Fluorescent Dye,,NA,0,0,,,,,
FAD,Fluorescent Dye,,NA,0,0,,,,,
FITC,Fluorescent Dye,,NA,0,0,,,,,
FlAsH-CCPGCC,Fluorescent Dye,,NA,0,0,,,,,
FlAsH-CCXXCC,Fluorescent Dye,,NA,0,0,,,,,
FlAsH(Adams),Fluorescent Dye,,NA,0,0,,,,,
FlashRedEX,Fluorescent Dye,,NA,0,0,,,,,
Fluo-3,Fluorescent Dye,,NA,0,0,,,,,
Fluo-4,Fluorescent Dye,,NA,0,0,,,,,
Fluo-5F,Fluorescent Dye,,NA,0,0,,,,,
Fluorescein-Dibase,Fluorescent Dye,,NA,0,0,,,,,
fluorescein,Fluorescent Dye,,NA,0,0,,,,,
Fluorescein0.1NaOH,Fluorescent Dye,,NA,0,0,,,,,
fluoro-emerald,Fluorescent Dye,,NA,0,0,,,,,
Fluorol5G,Fluorescent Dye,,NA,0,0,,,,,
FluoSpheresblue,Fluorescent Dye,,NA,0,0,,,,,
FluoSpherescrimson,Fluorescent Dye,,NA,0,0,,,,,
FluoSpheresdarkred,Fluorescent Dye,,NA,0,0,,,,,
FluoSpheresorange,Fluorescent Dye,,NA,0,0,,,,,
FluoSpheresred,Fluorescent Dye,,NA,0,0,,,,,
FluoSpheresyellow-green,Fluorescent Dye,,NA,0,0,,,,,
FM1-43,Fluorescent Dye,,NA,0,0,,,,,
FM4-64,Fluorescent Dye,,NA,0,0,,,,,
FM4-64inCTC,Fluorescent Dye,,NA,0,0,,,,,
FM4-64inSDS,Fluorescent Dye,,NA,0,0,,,,,
FortOrange600,Fluorescent Dye,,NA,0,0,,,,,
fura-2,Fluorescent Dye,,NA,0,0,,,,,
Fura-2Cafree,Fluorescent Dye,,NA,0,0,,,,,
FuraRed,Fluorescent Dye,,NA,0,0,,,,,
FuraRedCafree,Fluorescent Dye,,NA,0,0,,,,,
GelGreen»,Fluorescent Dye,,NA,0,0,,,,,
GelRed»,Fluorescent Dye,,NA,0,0,,,,,
H9-40,Fluorescent Dye,,NA,0,0,,,,,
HcRed1,Fluorescent Dye,,NA,0,0,,,,,
HCSCellMaskDeepRed,Fluorescent Dye,,NA,0,0,,,,,
HCSCellMaskRed,Fluorescent Dye,,NA,0,0,,,,,
HCSLipidTOXDeepRed,Fluorescent Dye,,NA,0,0,,,,,
HCSLipidTOXGreenneutrallipidstain,Fluorescent Dye,,NA,0,0,,,,,
HCSLipidTOXGreenphospholipidosisdetectionreagent,Fluorescent Dye,,NA,0,0,,,,,
HCSLipidTOXRedneutrallipidstain,Fluorescent Dye,,NA,0,0,,,,,
HCSLipidTOXRedphospholipidosisdetectionreagent,Fluorescent Dye,,NA,0,0,,,,,
HemoRed720,Fluorescent Dye,,NA,0,0,,,,,
HeteractismagnificaGFP,Fluorescent Dye,,NA,0,0,,,,,
HiLyteFluor488,Fluorescent Dye,,NA,0,0,,,,,
HiLyteFluor555,Fluorescent Dye,,NA,0,0,,,,,
HiLyteFluor647,Fluorescent Dye,,NA,0,0,,,,,
HiLyteFluor680,Fluorescent Dye,,NA,0,0,,,,,
HiLyteFluor750,Fluorescent Dye,,NA,0,0,,,,,
HiLytePlus555,Fluorescent Dye,,NA,0,0,,,,,
HiLytePlus647,Fluorescent Dye,,NA,0,0,,,,,
HiLytePlus750,Fluorescent Dye,,NA,0,0,,,,,
HmGFP,Fluorescent Dye,,NA,0,0,,,,,
Hoechst-33258,Fluorescent Dye,,NA,0,0,,,,,
Hoechst33258,Fluorescent Dye,,NA,0,0,,,,,
Hoechst33342,Fluorescent Dye,,NA,0,0,,,,,
HopsYellow560,Fluorescent Dye,,NA,0,0,,,,,
HPTS,Fluorescent Dye,,NA,0,0,,,,,
indo-1,Fluorescent Dye,,NA,0,0,,,,,
Indo-1Cafree,Fluorescent Dye,,NA,0,0,,,,,
IR-775chloride,Fluorescent Dye,,NA,0,0,,,,,
IR-806,Fluorescent Dye,,NA,0,0,,,,,
Ir-OEP-CO-Cl,Fluorescent Dye,,NA,0,0,,,,,
Ir(Cn)2(acac),Fluorescent Dye,,NA,0,0,,,,,
Ir(Cs)2(acac),Fluorescent Dye,,NA,0,0,,,,,
IRDye¬650Alkyne,Fluorescent Dye,,NA,0,0,,,,,
IRDye¬650Azide,Fluorescent Dye,,NA,0,0,,,,,
IRDye¬650Carboxylate,Fluorescent Dye,,NA,0,0,,,,,
IRDye¬650DBCO,Fluorescent Dye,,NA,0,0,,,,,
IRDye¬650Maleimide,Fluorescent Dye,,NA,0,0,,,,,
IRDye¬650NHSEster,Fluorescent Dye,,NA,0,0,,,,,
IRDye¬680LTCarboxylate,Fluorescent Dye,,NA,0,0,,,,,
IRDye¬680LTMaleimide,Fluorescent Dye,,NA,0,0,,,,,
IRDye¬680LTNHSEster,Fluorescent Dye,,NA,0,0,,,,,
IRDye¬680RDAlkyne,Fluorescent Dye,,NA,0,0,,,,,
IRDye¬680RDAzide,Fluorescent Dye,,NA,0,0,,,,,
IRDye¬680RDCarboxylate,Fluorescent Dye,,NA,0,0,,,,,
IRDye¬680RDDBCO,Fluorescent Dye,,NA,0,0,,,,,
IRDye¬680RDMaleimide,Fluorescent Dye,,NA,0,0,,,,,
IRDye¬680RDNHSEster,Fluorescent Dye,,NA,0,0,,,,,
IRDye¬700DX,Fluorescent Dye,,NA,0,0,,,,,
IRDye¬700DXCarboxylate,Fluorescent Dye,,NA,0,0,,,,,
IRDye¬700DXNHSEster,Fluorescent Dye,,NA,0,0,,,,,
IRDye¬700phosphoramidite,Fluorescent Dye,,NA,0,0,,,,,
IRDye¬750Carboxylate,Fluorescent Dye,,NA,0,0,,,,,
IRDye¬750Maleimide,Fluorescent Dye,,NA,0,0,,,,,
IRDye¬750NHSEster,Fluorescent Dye,,NA,0,0,,,,,
IRDye¬800CW,Fluorescent Dye,,NA,0,0,,,,,
IRDye¬800CWAlkyne,Fluorescent Dye,,NA,0,0,,,,,
