FP,Laser,Detector,Signal,Noise,FP,Laser,Detector,Signal,Noise,FP,Laser,Detector,Signal,Noise
Cerulean,Violet,D,20.138716120228615,0.0,TagRFP,Yel/Grn,E,83.82011942284383,0.018252368020684494,iRFP713,Red,B,0.5877526554359133,0.0019876638089406
Cerulean,Violet,C,16.186093690794042,0.005362567848132271,TagRFP,Yel/Grn,E,83.82011942284383,0.018252368020684494,iRFP713,Red,B,0.5877526554359133,0.0019876638089406
Cerulean,Violet,D,20.138716120228615,0.0,TagRFP,Yel/Grn,D,64.25170524588364,0.008280436007348438,iRFP713,Red,B,0.5877526554359133,0.0019876638089406
Cerulean,Violet,C,16.186093690794042,0.005362567848132271,TagRFP,Yel/Grn,D,64.25170524588364,0.008280436007348438,iRFP713,Red,B,0.5877526554359133,0.0019876638089406
Cerulean,Violet,D,20.138716120228615,0.0,iRFP720,Red,B,0.3427431030320601,0.0019876638089406,TagRFP,Yel/Grn,E,83.82011942284383,0.018252368020684494
Cerulean,Violet,C,16.186093690794042,0.005362567848132271,iRFP720,Red,B,0.3427431030320601,0.0019876638089406,TagRFP,Yel/Grn,E,83.82011942284383,0.018252368020684494
Cerulean,Violet,D,20.138716120228615,0.0,iRFP720,Red,B,0.3427431030320601,0.0019876638089406,TagRFP,Yel/Grn,D,64.25170524588364,0.008280436007348438
Cerulean,Violet,C,16.186093690794042,0.005362567848132271,iRFP720,Red,B,0.3427431030320601,0.0019876638089406,TagRFP,Yel/Grn,D,64.25170524588364,0.008280436007348438
mOrange,Yel/Grn,E,28.29287228319999,0.018252368020684494,Cerulean,Violet,D,20.138716120228615,0.0,iRFP713,Red,B,0.5877526554359133,0.0019876638089406
Sirius,UV,B,5.996092417881202,0.0,TagRFP,Yel/Grn,E,83.82011942284383,0.0,iRFP713,Red,B,0.5877526554359133,0.0
mOrange,Yel/Grn,E,28.29287228319999,0.018252368020684494,Cerulean,Violet,C,16.186093690794042,0.015013641908000001,iRFP713,Red,B,0.5877526554359133,0.0019876638089406
Cerulean,Violet,D,20.138716120228615,0.0,TagRFP,Yel/Grn,C,19.577586488612372,0.03861503012109911,iRFP713,Red,B,0.5877526554359133,0.0019876638089406
Sirius,UV,B,5.996092417881202,0.0,TagRFP,Yel/Grn,D,64.25170524588364,0.0,iRFP713,Red,B,0.5877526554359133,0.0
mOrange,Yel/Grn,D,17.271912666629998,0.008280436007348438,Cerulean,Violet,D,20.138716120228615,0.0,iRFP713,Red,B,0.5877526554359133,0.0019876638089406
mOrange,Yel/Grn,E,28.29287228319999,0.018252368020684494,Cerulean,Violet,D,20.138716120228615,0.0,iRFP720,Red,B,0.3427431030320601,0.0019876638089406
Cerulean,Violet,C,16.186093690794042,0.005362567848132271,TagRFP,Yel/Grn,C,19.577586488612372,0.03861503012109911,iRFP713,Red,B,0.5877526554359133,0.0019876638089406
Sirius,UV,B,5.996092417881202,0.0,iRFP720,Red,B,0.3427431030320601,0.0,TagRFP,Yel/Grn,E,83.82011942284383,0.0
mOrange,Yel/Grn,D,17.271912666629998,0.008280436007348438,Cerulean,Violet,C,16.186093690794042,0.015013641908000001,iRFP713,Red,B,0.5877526554359133,0.0019876638089406
mOrange,Yel/Grn,E,28.29287228319999,0.018252368020684494,Cerulean,Violet,C,16.186093690794042,0.015013641908000001,iRFP720,Red,B,0.3427431030320601,0.0019876638089406
Cerulean,Violet,D,20.138716120228615,0.0,iRFP720,Red,B,0.3427431030320601,0.0019876638089406,TagRFP,Yel/Grn,C,19.577586488612372,0.01598766188355253
Sirius,UV,B,5.996092417881202,0.0,iRFP720,Red,B,0.3427431030320601,0.0,TagRFP,Yel/Grn,D,64.25170524588364,0.0
mOrange,Yel/Grn,D,17.271912666629998,0.008280436007348438,Cerulean,Violet,D,20.138716120228615,0.0,iRFP720,Red,B,0.3427431030320601,0.0019876638089406
Cerulean,Violet,C,16.186093690794042,0.005362567848132271,iRFP720,Red,B,0.3427431030320601,0.0019876638089406,TagRFP,Yel/Grn,C,19.577586488612372,0.01598766188355253
Cerulean,Blue,C,2.1365239105939993,0.0,TagRFP,Yel/Grn,E,83.82011942284383,0.018252368020684494,iRFP713,Red,B,0.5877526554359133,0.0019876638089406
mOrange,Yel/Grn,E,28.29287228319999,0.0,Sirius,UV,B,5.996092417881202,0.0,iRFP713,Red,B,0.5877526554359133,0.0
mOrange,Yel/Grn,D,17.271912666629998,0.008280436007348438,Cerulean,Violet,C,16.186093690794042,0.015013641908000001,iRFP720,Red,B,0.3427431030320601,0.0019876638089406
Cerulean,UV,A,1.8403504843165268,0.03358332199714228,TagRFP,Yel/Grn,E,83.82011942284383,0.018252368020684494,iRFP713,Red,B,0.5877526554359133,0.0019876638089406
Cerulean,Blue,C,2.1365239105939993,0.0,TagRFP,Yel/Grn,D,64.25170524588364,0.008280436007348438,iRFP713,Red,B,0.5877526554359133,0.0019876638089406
Cerulean,UV,A,1.8403504843165268,0.03358332199714228,TagRFP,Yel/Grn,D,64.25170524588364,0.008280436007348438,iRFP713,Red,B,0.5877526554359133,0.0019876638089406
