FP,Laser,Detector,Signal,Noise,FP,Laser,Detector,Signal,Noise,FP,Laser,Detector,Signal,Noise
Cerulean,Violet,B,16.000147564605022,0.002421874182486222,TagRFP,Yel/Grn,C,76.5829850529379,0.01805890492714743,iRFP713,Red,C,6.431723269075604,6.856827924066137E-5
Cerulean,Violet,B,16.000147564605022,0.002421874182486222,TagRFP,Yel/Grn,A,64.25170524588364,0.008280436007348438,iRFP713,Red,C,6.431723269075604,6.856827924066137E-5
Cerulean,Violet,B,16.000147564605022,0.033470136276791185,Sirius,UV,A,4.6470243527250465,0.0,TagRFP,Yel/Grn,C,76.5829850529379,0.01805890492714743
Cerulean,Violet,B,16.000147564605022,0.002421874182486222,iRFP720,Red,C,4.625106940107193,6.856827924066137E-5,TagRFP,Yel/Grn,C,76.5829850529379,0.01805890492714743
Cerulean,Violet,B,16.000147564605022,0.033470136276791185,Sirius,UV,A,4.6470243527250465,0.0,TagRFP,Yel/Grn,A,64.25170524588364,0.008280436007348438
Cerulean,Violet,B,16.000147564605022,0.002421874182486222,iRFP720,Red,C,4.625106940107193,6.856827924066137E-5,TagRFP,Yel/Grn,A,64.25170524588364,0.008280436007348438
mOrange,Yel/Grn,C,29.086795638371427,0.01805890492714743,Cerulean,Violet,B,16.000147564605022,0.008222811940000001,iRFP713,Red,C,6.431723269075604,6.856827924066137E-5
Cerulean,Violet,B,16.000147564605022,0.002421874182486222,TagRFP,Yel/Grn,C,76.5829850529379,0.01805890492714743,iRFP713,Red,A,1.9485829529233187,0.0
Sirius,UV,A,4.6470243527250465,0.0,TagRFP,Yel/Grn,C,76.5829850529379,0.0,iRFP713,Red,C,6.431723269075604,0.0
mOrange,Yel/Grn,C,29.086795638371427,0.01805890492714743,Cerulean,Violet,B,16.000147564605022,0.039271074034304965,Sirius,UV,A,4.6470243527250465,0.0
Cerulean,Violet,B,16.000147564605022,0.002421874182486222,iRFP720,Red,A,1.7634329050766222,0.0,TagRFP,Yel/Grn,C,76.5829850529379,0.01805890492714743
mOrange,Yel/Grn,C,29.086795638371427,0.01805890492714743,Cerulean,Violet,B,16.000147564605022,0.008222811940000001,iRFP720,Red,C,4.625106940107193,6.856827924066137E-5
Cerulean,Violet,B,16.000147564605022,0.002421874182486222,TagRFP,Yel/Grn,A,64.25170524588364,0.008280436007348438,iRFP713,Red,A,1.9485829529233187,0.0
Sirius,UV,A,4.6470243527250465,0.0,TagRFP,Yel/Grn,A,64.25170524588364,0.0,iRFP713,Red,C,6.431723269075604,0.0
Cerulean,Violet,B,16.000147564605022,0.002421874182486222,iRFP720,Red,A,1.7634329050766222,0.0,TagRFP,Yel/Grn,A,64.25170524588364,0.008280436007348438
mOrange,Yel/Grn,A,17.271912666629998,0.008280436007348438,Cerulean,Violet,B,16.000147564605022,0.008222811940000001,iRFP713,Red,C,6.431723269075604,6.856827924066137E-5
Sirius,UV,A,4.6470243527250465,0.0,iRFP720,Red,C,4.625106940107193,0.0,TagRFP,Yel/Grn,C,76.5829850529379,0.0
Sirius,UV,A,4.6470243527250465,0.0,iRFP720,Red,C,4.625106940107193,0.0,TagRFP,Yel/Grn,A,64.25170524588364,0.0
Cerulean,Violet,B,16.000147564605022,0.002421874182486222,TagRFP,Yel/Grn,D,13.099877962016741,0.12380002640858621,iRFP713,Red,C,6.431723269075604,6.856827924066137E-5
mOrange,Yel/Grn,A,17.271912666629998,0.008280436007348438,Cerulean,Violet,B,16.000147564605022,0.039271074034304965,Sirius,UV,A,4.6470243527250465,0.0
mOrange,Yel/Grn,A,17.271912666629998,0.008280436007348438,Cerulean,Violet,B,16.000147564605022,0.008222811940000001,iRFP720,Red,C,4.625106940107193,6.856827924066137E-5
Cerulean,UV,B,2.1532615091855476,0.025187491497856707,TagRFP,Yel/Grn,C,76.5829850529379,0.01805890492714743,iRFP713,Red,C,6.431723269075604,6.856827924066137E-5
Cerulean,Violet,B,16.000147564605022,0.033470136276791185,Sirius,UV,A,4.6470243527250465,0.0,TagRFP,Yel/Grn,D,13.099877962016741,0.002435661373069334
Cerulean,Violet,B,16.000147564605022,0.002421874182486222,iRFP720,Red,C,4.625106940107193,6.856827924066137E-5,TagRFP,Yel/Grn,D,13.099877962016741,0.04224513861692865
mOrange,Yel/Grn,C,29.086795638371427,0.01805890492714743,Cerulean,Violet,B,16.000147564605022,0.008222811940000001,iRFP713,Red,A,1.9485829529233187,0.0
Cerulean,UV,B,2.1532615091855476,0.025187491497856707,TagRFP,Yel/Grn,A,64.25170524588364,0.008280436007348438,iRFP713,Red,C,6.431723269075604,6.856827924066137E-5
mOrange,Yel/Grn,C,29.086795638371427,0.0,Sirius,UV,A,4.6470243527250465,0.0,iRFP713,Red,C,6.431723269075604,0.0
Cerulean,Blue,A,1.6974616276791177,0.05182810750520515,TagRFP,Yel/Grn,C,76.5829850529379,0.01805890492714743,iRFP713,Red,C,6.431723269075604,6.856827924066137E-5
mOrange,Yel/Grn,C,29.086795638371427,0.01805890492714743,Cerulean,Violet,B,16.000147564605022,0.008222811940000001,iRFP720,Red,A,1.7634329050766222,0.0
Cerulean,Violet,B,16.000147564605022,0.002421874182486222,TagRFP,Blue,B,7.893148635257806,0.13973235762400496,iRFP713,Red,C,6.431723269075604,6.856827924066137E-5
Cerulean,UV,B,2.1532615091855476,0.025187491497856707,iRFP720,Red,C,4.625106940107193,6.856827924066137E-5,TagRFP,Yel/Grn,C,76.5829850529379,0.01805890492714743
mOrange,Blue,B,7.187462595880001,0.13973235762400496,Cerulean,Violet,B,16.000147564605022,0.008222811940000001,iRFP713,Red,C,6.431723269075604,6.856827924066137E-5
Cerulean,Blue,A,1.6974616276791177,0.05182810750520515,TagRFP,Yel/Grn,A,64.25170524588364,0.008280436007348438,iRFP713,Red,C,6.431723269075604,6.856827924066137E-5
Sirius,UV,A,4.6470243527250465,0.0,TagRFP,Yel/Grn,C,76.5829850529379,0.0,iRFP713,Red,A,1.9485829529233187,0.0
Cerulean,UV,B,2.1532615091855476,0.025187491497856707,iRFP720,Red,C,4.625106940107193,6.856827924066137E-5,TagRFP,Yel/Grn,A,64.25170524588364,0.008280436007348438
Sirius,UV,A,4.6470243527250465,0.0,iRFP720,Red,A,1.7634329050766222,0.0,TagRFP,Yel/Grn,C,76.5829850529379,0.0
mOrange,Yel/Grn,C,29.086795638371427,0.0,Sirius,UV,A,4.6470243527250465,0.0,iRFP720,Red,C,4.625106940107193,0.0
Cerulean,Blue,A,1.6974616276791177,0.05182810750520515,Sirius,UV,A,4.6470243527250465,0.0,TagRFP,Yel/Grn,C,76.5829850529379,0.01805890492714743
Cerulean,Blue,A,1.6974616276791177,0.05182810750520515,iRFP720,Red,C,4.625106940107193,6.856827924066137E-5,TagRFP,Yel/Grn,C,76.5829850529379,0.01805890492714743
Cerulean,Violet,B,16.000147564605022,0.033470136276791185,Sirius,UV,A,4.6470243527250465,0.0,TagRFP,Blue,B,7.893148635257806,0.13973235762400496
Cerulean,Violet,B,16.000147564605022,0.002421874182486222,iRFP720,Red,C,4.625106940107193,6.856827924066137E-5,TagRFP,Blue,B,7.893148635257806,0.13973235762400496
Sirius,UV,A,4.6470243527250465,0.0,TagRFP,Yel/Grn,A,64.25170524588364,0.0,iRFP713,Red,A,1.9485829529233187,0.0
mOrange,Yel/Grn,A,17.271912666629998,0.008280436007348438,Cerulean,Violet,B,16.000147564605022,0.008222811940000001,iRFP713,Red,A,1.9485829529233187,0.0
mOrange,Blue,B,7.187462595880001,0.13973235762400496,Cerulean,Violet,B,16.000147564605022,0.039271074034304965,Sirius,UV,A,4.6470243527250465,0.0
mOrange,Blue,B,7.187462595880001,0.13973235762400496,Cerulean,Violet,B,16.000147564605022,0.008222811940000001,iRFP720,Red,C,4.625106940107193,6.856827924066137E-5
Sirius,UV,A,4.6470243527250465,0.0,iRFP720,Red,A,1.7634329050766222,0.0,TagRFP,Yel/Grn,A,64.25170524588364,0.0
mOrange,Yel/Grn,A,17.271912666629998,0.0,Sirius,UV,A,4.6470243527250465,0.0,iRFP713,Red,C,6.431723269075604,0.0
Cerulean,Blue,A,1.6974616276791177,0.05182810750520515,Sirius,UV,A,4.6470243527250465,0.0,TagRFP,Yel/Grn,A,64.25170524588364,0.008280436007348438
