FP,Laser,Detector,Signal,Noise,FP,Laser,Detector,Signal,Noise,FP,Laser,Detector,Signal,Noise
Sirius,Violet,A,0.2731513102265769,6.064785390896102,Cerulean,Violet,B,16.186093690794042,0.03806457985058176,TagRFP,Yel/Grn,A,83.82237745309658,0.016326361243791252
Sirius,Violet,A,0.2731513102265769,6.064785390896102,Cerulean,Violet,B,16.186093690794042,0.03806457985058176,TagRFP,Yel/Grn,B,58.80667759715861,0.0071546101653398655
mOrange,Yel/Grn,A,25.500502568679998,0.016326361243791252,Sirius,Violet,A,0.2731513102265769,6.064785390896102,Cerulean,Violet,B,16.186093690794042,0.04771565391044949
Sirius,Violet,A,0.2731513102265769,6.064785390896102,Cerulean,Violet,B,16.186093690794042,0.03806457985058176,TagRFP,Yel/Grn,C,19.025069468085732,0.0027610160440906307
mOrange,Yel/Grn,B,15.346608071999995,0.0071546101653398655,Sirius,Violet,A,0.2731513102265769,6.064785390896102,Cerulean,Violet,B,16.186093690794042,0.04771565391044949
Cerulean,Violet,B,16.186093690794042,0.005362567848132271,TagRFP,Yel/Grn,A,83.82237745309658,0.016326361243791252,iRFP713,Yel/Grn,C,0.03826711249449043,19.027830484129822
Sirius,Violet,A,0.2731513102265769,6.064785390896102,Cerulean,Blue,A,1.717188721616657,0.11475895195003062,TagRFP,Yel/Grn,A,83.82237745309658,0.016326361243791252
Cerulean,Violet,B,16.186093690794042,0.005362567848132271,TagRFP,Yel/Grn,B,58.80667759715861,0.0071546101653398655,iRFP713,Yel/Grn,C,0.03826711249449043,19.027830484129822
Sirius,Violet,A,0.2731513102265769,6.064785390896102,Cerulean,Violet,B,16.186093690794042,0.03806457985058176,TagRFP,Blue,B,7.32171662840906,0.13581221114513173
mOrange,Blue,B,6.424363477672004,0.13581221114513173,Sirius,Violet,A,0.2731513102265769,6.064785390896102,Cerulean,Violet,B,16.186093690794042,0.04771565391044949
Sirius,Violet,A,0.2731513102265769,6.064785390896102,Cerulean,Blue,A,1.717188721616657,0.11475895195003062,TagRFP,Yel/Grn,B,58.80667759715861,0.0071546101653398655
Cerulean,Violet,B,16.186093690794042,0.005362567848132271,iRFP720,Yel/Grn,C,0.014245476869212334,19.027830484129822,TagRFP,Yel/Grn,A,83.82237745309658,0.016326361243791252
mOrange,Yel/Grn,C,3.602554818494999,0.0027610160440906307,Sirius,Violet,A,0.2731513102265769,6.064785390896102,Cerulean,Violet,B,16.186093690794042,0.04771565391044949
mOrange,Yel/Grn,A,25.500502568679998,0.016326361243791252,Cerulean,Violet,B,16.186093690794042,0.015013641908000001,iRFP713,Yel/Grn,C,0.03826711249449043,3.6053158345390894
Cerulean,Violet,B,16.186093690794042,0.005362567848132271,iRFP720,Yel/Grn,C,0.014245476869212334,19.027830484129822,TagRFP,Yel/Grn,B,58.80667759715861,0.0071546101653398655
mOrange,Yel/Grn,B,15.346608071999995,0.0071546101653398655,Cerulean,Violet,B,16.186093690794042,0.015013641908000001,iRFP713,Yel/Grn,C,0.03826711249449043,3.6053158345390894
Sirius,Violet,A,0.2731513102265769,6.064785390896102,Cerulean,Blue,A,1.717188721616657,0.11475895195003062,TagRFP,Yel/Grn,C,19.025069468085732,0.0027610160440906307
mOrange,Yel/Grn,A,25.500502568679998,0.016326361243791252,Cerulean,Violet,B,16.186093690794042,0.015013641908000001,iRFP720,Yel/Grn,C,0.014245476869212334,3.6053158345390894
Cerulean,Blue,A,1.717188721616657,0.11475895195003062,TagRFP,Yel/Grn,A,83.82237745309658,0.016326361243791252,iRFP713,Yel/Grn,C,0.03826711249449043,19.027830484129822
Sirius,Violet,B,0.03270201200244949,16.191456258642173,Cerulean,Blue,A,1.717188721616657,0.11475895195003062,TagRFP,Yel/Grn,A,83.82237745309658,0.016326361243791252
Cerulean,Violet,B,16.186093690794042,0.005362567848132271,TagRFP,Blue,B,7.32171662840906,0.13581221114513173,iRFP713,Yel/Grn,C,0.03826711249449043,19.027830484129822
mOrange,Blue,B,6.424363477672004,0.13581221114513173,Cerulean,Violet,B,16.186093690794042,0.015013641908000001,iRFP713,Yel/Grn,C,0.03826711249449043,3.6053158345390894
Cerulean,Blue,A,1.717188721616657,0.11475895195003062,TagRFP,Yel/Grn,B,58.80667759715861,0.0071546101653398655,iRFP713,Yel/Grn,C,0.03826711249449043,19.027830484129822
mOrange,Yel/Grn,B,15.346608071999995,0.0071546101653398655,Cerulean,Violet,B,16.186093690794042,0.015013641908000001,iRFP720,Yel/Grn,C,0.014245476869212334,3.6053158345390894
Sirius,Violet,A,0.2731513102265769,6.064785390896102,Cerulean,Blue,A,1.717188721616657,0.11475895195003062,TagRFP,Blue,B,7.32171662840906,0.13581221114513173
Sirius,Violet,B,0.03270201200244949,16.191456258642173,Cerulean,Blue,A,1.717188721616657,0.11475895195003062,TagRFP,Yel/Grn,B,58.80667759715861,0.0071546101653398655
Cerulean,Blue,A,1.717188721616657,0.11475895195003062,iRFP720,Yel/Grn,C,0.014245476869212334,19.027830484129822,TagRFP,Yel/Grn,A,83.82237745309658,0.016326361243791252
Cerulean,Violet,B,16.186093690794042,0.005362567848132271,iRFP720,Yel/Grn,C,0.014245476869212334,19.027830484129822,TagRFP,Blue,B,7.32171662840906,0.13581221114513173
mOrange,Blue,B,6.424363477672004,0.13581221114513173,Cerulean,Violet,B,16.186093690794042,0.015013641908000001,iRFP720,Yel/Grn,C,0.014245476869212334,3.6053158345390894
Cerulean,Blue,A,1.717188721616657,0.11475895195003062,iRFP720,Yel/Grn,C,0.014245476869212334,19.027830484129822,TagRFP,Yel/Grn,B,58.80667759715861,0.0071546101653398655
Sirius,Violet,B,0.03270201200244949,16.191456258642173,Cerulean,Blue,A,1.717188721616657,0.11475895195003062,TagRFP,Yel/Grn,C,19.025069468085732,0.0027610160440906307
Sirius,Violet,A,0.2731513102265769,0.0,TagRFP,Yel/Grn,A,83.82237745309658,0.0,iRFP713,Yel/Grn,C,0.03826711249449043,19.025069468085732
Sirius,Violet,A,0.2731513102265769,0.0,TagRFP,Yel/Grn,B,58.80667759715861,0.0,iRFP713,Yel/Grn,C,0.03826711249449043,19.025069468085732
Cerulean,Blue,A,1.717188721616657,0.11475895195003062,TagRFP,Blue,B,7.32171662840906,0.13581221114513173,iRFP713,Yel/Grn,C,0.03826711249449043,19.027830484129822
Sirius,Violet,B,0.03270201200244949,16.191456258642173,Cerulean,Blue,A,1.717188721616657,0.11475895195003062,TagRFP,Blue,B,7.32171662840906,0.13581221114513173
