wl,ex,wl,em,Data copyright Molecular Probes
316,1.23828897,316,0,
317,1.810589335,317,0,
318,2.364582028,318,0,
319,2.940651904,319,0,
320,3.523094276,320,0,
321,4.158242309,321,0,
322,4.74526401,322,0,
323,5.341579338,323,0,
324,5.959875442,324,0,
325,6.511968918,325,0,
326,6.474987226,326,0,
327,6.488069644,327,0,
328,6.614169888,328,0,
329,6.794797883,329,0,
330,6.918266218,330,0,
331,7.058036962,331,0,
332,7.18210302,332,0,
333,7.379775758,333,0,
334,7.628062125,334,0,
335,7.875124124,335,0,
336,8.278847359,336,0,
337,8.636006054,337,0,
338,9.040702999,338,0,
339,9.50766917,339,0,
340,9.945742189,340,0,
341,10.52600577,341,0,
342,11.25683766,342,0,
343,11.89639149,343,0,
344,12.64177119,344,0,
345,13.471854,345,0,
346,14.41624649,346,0,
347,15.270566,347,0,
348,16.30539782,348,0,
349,17.37011578,349,0,
350,18.35703337,350,0,
351,19.29806126,351,0,
352,20.39507553,352,0,
353,21.30833823,353,0,
354,22.51188215,354,0,
355,23.63367301,355,0,
356,24.67698863,356,0,
357,25.93934077,357,0,
358,27.05312985,358,0,
359,28.30574489,359,0,
360,29.75869349,360,0,
361,31.11118609,361,0,
362,32.84458241,362,0,
363,34.33262314,363,0,
364,35.72820963,364,0,
365,37.39431392,365,0,
366,39.19249569,366,0,
367,40.95577815,367,0,
368,42.5739682,368,0,
369,44.49622567,369,0,
370,46.22875433,370,0,
371,47.79016071,371,0,
372,49.6458974,372,0,
373,51.19226431,373,0,
374,52.88603739,374,0,
375,54.85052108,375,0,
376,56.30009544,376,0,
377,57.88049399,377,0,
378,59.68918411,378,0,
379,61.3245346,379,0,
380,63.11934212,380,0,
381,64.97652492,381,0,
382,66.75031573,382,0,
383,68.218111,383,0,
384,69.81364543,384,0,
385,71.54501721,385,0,
386,72.91920137,386,0,
387,74.7169011,387,0,
388,76.33827258,388,0,
389,77.85841681,389,0,
390,79.4018915,390,0,
391,81.0178642,391,0,
392,82.14640354,392,0,
393,83.41029819,393,0,
394,84.89004791,394,0,
395,86.52491637,395,0,
396,87.81165945,396,0,
397,89.37846462,397,0,
398,90.3541026,398,0,
399,91.54299266,399,0,
400,92.48990138,400,0,
401,93.63511911,401,0,
402,94.21481389,402,0,
403,95.16779623,403,0,
404,95.80147888,404,0,
405,96.60609099,405,0,
406,97.05341907,406,0,
407,97.68257059,407,0,
408,98.25464922,408,0,
409,99.1550898,409,0,
410,99.35359164,410,0,
411,99.82396097,411,0,
412,99.74847436,412,0,
413,99.8688866,413,0,
414,99.61601126,414,0,
415,100,415,0,
416,99.51430197,416,0,
417,99.04692125,417,0,
418,98.23806723,418,0,
419,97.44656647,419,0,
420,96.56058693,420,0,
421,95.83020814,421,0,
422,94.94066154,422,0,
423,94.0114917,423,0,
424,93.13274268,424,0,
425,92.52026955,425,0.02194963,
426,91.14222912,426,0.064997979,
427,90.20563595,427,0.089490672,
428,89.05810445,428,0.115704525,
429,88.00495532,429,0.151578149,
430,86.92857212,430,0.19477154,
431,85.57501904,431,0.257961334,
432,84.31218487,432,0.317186657,
433,82.71819295,433,0.370658663,
434,81.44099415,434,0.440123924,
435,80.21103474,435,0.523271442,
436,78.62417693,436,0.589748846,
437,77.16997503,437,0.650975743,
438,75.45441399,438,0.718323396,
439,73.72487395,439,0.815153174,
440,72.00632429,440,0.931650593,
441,70.03422445,441,1.007159254,
442,68.06723418,442,1.107827799,
443,65.83435364,443,1.295095853,
444,63.84923887,444,1.477268112,
445,61.46037194,445,1.682347276,
446,58.86905049,446,1.933346613,
447,56.20455619,447,2.277636711,
448,53.5750576,448,2.594842707,
449,51.14589258,449,3.034705556,
450,48.78614054,450,3.506757972,
451,46.13051568,451,3.996834225,
452,43.48395307,452,4.60285674,
453,41.03406056,453,5.22121746,
454,38.63748108,454,6.005389746,
455,36.299517,455,6.888306359,
456,33.99153547,456,7.864794147,
457,31.59765538,457,8.757699292,
458,29.5579743,458,9.720282425,
459,27.5543494,459,10.89222828,
460,25.43812122,460,12.06911523,
461,23.33876426,461,13.38769815,
462,21.51387778,462,14.88809557,
463,19.88633625,463,16.52290787,
464,18.03999923,464,18.29941616,
465,16.41355674,465,20.07617585,
466,14.79970499,466,22.02331109,
467,13.53248431,467,24.02469188,
468,12.30113664,468,26.32437492,
469,11.17002323,469,28.73245238,
470,9.948007751,470,31.03890403,
471,8.889806897,471,33.76703997,
472,8.002082389,472,36.54980825,
473,7.192110058,473,39.34978814,
474,6.37465655,474,42.40968259,
475,5.713497932,475,45.43660425,
476,5.101882827,476,48.6605891,
477,4.504574508,477,51.51413769,
478,3.913079526,478,54.86140791,
479,3.445255334,479,58.28332621,
480,2.954389889,480,61.35356696,
481,2.608038409,481,64.57697165,
482,2.333481157,482,67.58861559,
483,2.037280554,483,70.49669982,
484,1.702420778,484,73.5525331,
485,1.394516375,485,76.28811452,
486,1.166658633,486,78.98878925,
487,0.988180512,487,81.40179813,
488,0.778562959,488,84.02908181,
489,0.60164663,489,86.38078643,
490,0.437658469,490,88.2479554,
491,0.286232129,491,90.21500968,
492,0.180396618,492,92.32082043,
493,0.083729405,493,93.91714837,
494,0,494,95.68385184,
495,0,495,96.80299289,
496,0,496,97.62354161,
497,0,497,98.47522593,
498,0,498,99.09996848,
499,0,499,99.77489543,
500,0,500,99.89566674,
501,0,501,99.77634584,
502,0,502,100,
503,0,503,99.53499661,
504,0,504,99.39285583,
505,0,505,98.44099611,
506,0,506,97.81654364,
507,0,507,97.54628278,
508,0,508,96.86197647,
509,0,509,95.75279495,
510,0,510,94.61141419,
511,0,511,93.61739571,
512,0,512,93.02427223,
513,0,513,91.89372125,
514,0,514,90.91643089,
515,0,515,89.56435303,
516,0,516,88.66664217,
517,0,517,87.63152856,
518,0,518,86.28892675,
519,0,519,85.00076389,
520,0,520,83.97145194,
521,0,521,82.96341277,
522,0,522,81.69294498,
523,0,523,80.44781113,
524,0,524,79.17860037,
525,0,525,77.86036554,
526,0,526,76.44804706,
527,0,527,74.73500898,
528,0,528,73.04662798,
529,0,529,71.60278712,
530,0,530,70.06573286,
531,0,531,68.45973548,
532,0,532,67.16702798,
533,0,533,65.79657818,
534,0,534,64.21446432,
535,0,535,62.71570104,
536,0,536,61.16723684,
537,0,537,59.833821,
538,0,538,58.67638897,
539,0,539,57.44430886,
540,0,540,56.12385006,
541,0,541,55.05179919,
542,0,542,53.97868469,
543,0,543,52.25104575,
544,0,544,50.79144371,
545,0,545,49.36993926,
546,0,546,47.88568014,
547,0,547,46.57943542,
548,0,548,45.2076319,
549,0,549,43.78612745,
550,0,550,42.6842947,
551,0,551,41.30427215,
552,0,552,39.74691206,
553,0,553,38.56491966,
554,0,554,37.48890432,
555,0,555,36.31938549,
556,0,556,35.11708726,
557,0,557,34.17857136,
558,0,558,33.21762236,
559,0,559,32.23162951,
560,0,560,31.39290224,
561,0,561,30.20994289,
562,0,562,29.0691423,
563,0,563,28.32063091,
564,0,564,27.42514403,
565,0,565,26.5251125,
566,0,566,25.73424896,
567,0,567,24.97848549,
568,0,568,24.03358777,
569,0,569,23.19050925,
570,0,570,22.49895087,
571,0,571,21.78041474,
572,0,572,21.11177293,
573,0,573,20.70913743,
574,0,574,19.8713771,
575,0,575,19.17363028,
576,0,576,18.57712249,
577,0,577,17.98999406,
578,0,578,17.54471633,
579,0,579,17.1510734,
580,0,580,16.52139944,
581,0,581,16.03947452,
582,0,582,15.60512326,
583,0,583,15.20973983,
584,0,584,14.63595523,
585,0,585,14.25962061,
586,0,586,13.82091809,
587,0,587,13.26331047,
588,0,588,12.83040962,
589,0,589,12.35651034,
590,0,590,11.89265761,
591,0,591,11.66359823,
592,0,592,11.22624944,
593,0,593,10.86982419,
594,0,594,10.50414529,
595,0,595,10.18772252,
596,0,596,9.917964467,
597,0,597,9.618192472,
598,0,598,9.410309171,
599,0,599,9.083830181,
600,0,600,8.762311615,
601,0,601,8.484982392,
602,0,602,8.138526339,
603,0,603,7.883282118,
604,0,604,7.559075447,
605,0,605,7.304981889,
606,0,606,7.074984577,
607,0,607,6.849705952,
608,0,608,6.600833893,
609,0,609,6.387081241,
610,0,610,6.188412916,
611,0,611,6.005476771,
612,0,612,5.748733787,
613,0,613,5.512373983,
614,0,614,5.347442336,
615,0,615,5.139936143,
616,0,616,4.96405869,
617,0,617,4.832467274,
618,0,618,4.672351008,
619,0,619,4.551599035,
620,0,620,4.365771728,
621,0,621,4.197504124,
622,0,622,4.010816236,
623,0,623,3.89945329,
624,0,624,3.806355917,
625,0,625,3.657088764,
626,0,626,3.564929326,
627,0,627,3.453856463,
628,0,628,3.271490815,
629,0,629,3.127019704,
630,0,630,3.004652935,
631,0,631,2.906353403,
632,0,632,2.826938288,
633,0,633,2.706718134,
634,0,634,2.63125782,
635,0,635,2.608341246,
636,0,636,2.497742186,
637,0,637,2.392606359,
638,0,638,2.289617148,
639,0,639,2.234839768,
640,0,640,2.124472774,
641,0,641,2.029122421,
642,0,642,1.945800852,
643,0,643,1.84611859,
644,0,644,1.814219106,
645,0,645,1.713337833,
646,0,646,1.582984105,
647,0,647,1.546965439,
648,0,648,1.478196379,
649,0,649,1.403412926,
650,0,650,1.30914555,
651,0,651,1.279363673,
652,0,652,1.249794524,
653,0,653,1.194069539,
654,0,654,1.069372434,
655,0,655,0.935247625,
656,0,656,0.816390862,
657,0,657,0.694478556,
