wl,abs,wl,em
531,4.895712
532,4.229432
533,3.476246
534,2.983778
535,2.549247
536,2.085747
537,1.79606
538,1.535342
539,1.216686
540,1.071842
541,0.9269988
542,0.7531866
543,0.6373117
544,0.5504056
545,0.4634994
546,0.405562
547,0.3476246
548,0.2896872
549,0.2317497
550,0.202781
551,0.1738123
552,0.1158748
553,8.69E-02
554,5.79E-02
555,2.90E-02
556,0
557,0
558,-2.90E-02
559,-5.79E-02
560,-2.90E-02
561,-2.90E-02
562,-5.79E-02
563,-5.79E-02
564,-5.79E-02
565,-8.69E-02
566,-8.69E-02
567,-8.69E-02
568,-0.1158748
569,-8.69E-02
570,-8.69E-02
571,-0.1158748
572,-0.1158748
573,-0.1158748
574,-0.1158748
575,-8.69E-02
576,-8.69E-02
577,-8.69E-02
578,-5.79E-02
579,-2.90E-02
580,-5.79E-02
581,-2.90E-02
582,-2.90E-02
583,-2.90E-02
584,-2.90E-02
585,0
586,0
587,0
588,2.90E-02
589,0
590,0
591,0
592,-2.90E-02
593,0
594,0
595,-2.90E-02
596,-2.90E-02
597,-2.90E-02
598,-2.90E-02
599,-2.90E-02
600,-8.69E-02
Data Copyright MP Inc.
