wl,ex,wl,em,Data copyright Molecular Probes
352,11.9075795,552,2.293888,
353,11.6362499,553,2.3776404,
354,11.4553961,554,2.4648585,
355,11.3339284,555,2.539009,
356,11.227611,556,2.6324828,
357,10.9327207,557,2.7915616,
358,10.6398783,558,2.9660059,
359,10.38036,559,3.1354791,
360,10.1949366,560,3.2918463,
361,10.1748304,561,3.533628,
362,10.200894,562,3.7107839,
363,10.1910271,563,3.9353923,
364,10.3524348,564,4.1355966,
365,10.4551996,565,4.3620127,
366,10.6914469,566,4.5988232,
367,10.8589982,567,4.8261432,
368,10.9766564,568,5.1230601,
369,11.1026922,569,5.3562551,
370,11.1591011,570,5.653624,
371,11.3664924,571,5.9613872,
372,11.5316234,572,6.3012374,
373,11.6152129,573,6.6184911,
374,11.8414071,574,6.8914558,
375,12.0050489,575,7.2805662,
376,12.236642,576,7.6814266,
377,12.3040348,577,8.070537,
378,12.4937401,578,8.4668782,
379,12.6248024,579,8.890787,
380,12.9163416,580,9.3282537,
381,13.1983863,581,9.7639126,
382,13.4793139,582,10.2253315,
383,13.8572351,583,10.6894619,
384,14.1874973,584,11.1459096,
385,14.5341423,585,11.6538771,
386,14.9440844,586,12.1704312,
387,15.2747189,587,12.739861,
388,15.5818963,588,13.2329148,
389,15.9795513,589,13.7449497,
390,16.312606,590,14.3103121,
391,16.6104749,591,14.8833573,
392,16.9561891,592,15.490749,
393,17.1537134,593,16.0918138,
394,17.4446941,594,16.7100518,
395,17.8064187,595,17.3056934,
396,18.1627444,596,17.9325181,
397,18.4881662,597,18.5552754,
398,18.9012732,598,19.2304564,
399,19.2669073,599,19.9246183,
400,19.6403605,600,20.6007032,
401,20.1387325,601,21.3165578,
402,20.646599,602,22.0306046,
403,21.2948363,603,22.7554977,
404,21.9810518,604,23.5563148,
405,22.5991298,605,24.3078717,
406,23.3052654,606,25.1055253,
407,24.040257,607,25.8593418,
408,24.8203013,608,26.6981209,
409,25.5714895,609,27.524246,
410,26.3237947,610,28.4479876,
411,27.2082793,611,29.1742365,
412,28.1437739,612,30.0880357,
413,28.9874877,613,30.9634209,
414,29.9373172,614,31.8514602,
415,30.785499,615,32.799154,
416,31.6725899,616,33.7694442,
417,32.6084569,617,34.6665221,
418,33.7290026,618,35.5767058,
419,34.7734055,619,36.5555827,
420,35.7822504,620,37.5303922,
