wl,abs
461,2.256103
462,2.311564
463,2.377489
464,2.460157
465,2.532361
466,2.626539
467,2.723858
468,2.834779
469,2.945701
470,3.086969
471,3.228237
472,3.373691
473,3.539026
474,3.711688
475,3.882256
476,4.085263
477,4.293503
478,4.49965
479,4.726725
480,4.950661
481,5.178782
482,5.427833
483,5.713509
484,5.976162
485,6.259745
486,6.56007
487,6.892835
488,7.244435
489,7.5907
490,7.972646
491,8.354593
492,8.781537
493,9.233699
494,9.722382
495,10.21525
496,10.76986
497,11.35272
498,11.95546
499,12.62204
500,13.29489
501,14.03472
502,14.77664
503,15.60541
504,16.41953
505,17.28912
506,18.1744
507,19.09212
508,20.01088
509,20.95476
510,21.92585
511,22.8645
512,23.85233
513,24.81295
514,25.79032
515,26.75513
516,27.74505
517,28.69311
518,29.6778
519,30.62587
520,31.58754
521,32.56281
522,33.50983
523,34.48301
524,35.45933
525,36.49111
526,37.50406
527,38.60595
528,39.73295
529,40.93007
530,42.17636
531,43.51789
532,44.97557
533,46.46673
534,48.06672
535,49.76403
536,51.61831
537,53.48409
538,55.52463
539,57.61016
540,59.81709
541,62.10563
542,64.51556
543,67.01025
544,69.47971
545,72.00904
546,74.58221
547,77.18468
548,79.65739
549,82.14371
550,84.52435
551,86.85161
552,89.02608
553,91.08233
554,92.92823
555,94.58881
556,96.0424
557,97.32114
558,98.37071
559,99.14193
560,99.67352
561,99.955
562,100
563,99.77397
564,99.28843
565,98.53605
566,97.59112
567,96.42425
568,95.02422
569,93.39179
570,91.66833
571,89.70627
572,87.61655
573,85.3594
574,83.03109
575,80.53954
576,77.98415
577,75.38681
578,72.76143
579,70.06686
580,67.3158
581,64.67461
582,61.98424
583,59.3713
584,56.71233
585,54.1695
586,51.59109
587,49.12048
588,46.66764
589,44.31213
590,41.98382
591,39.70051
592,37.60974
593,35.51898
594,33.5475
595,31.62835
596,29.83268
597,28.05165
598,26.37527
599,24.80458
600,23.29772
601,21.85155
602,20.45457
603,19.20409
604,17.97976
605,16.82974
606,15.71424
607,14.72327
608,13.71242
609,12.79889
