T-Sapphire,Violet,B,mKelly2,Yel/Grn,A,Sirius,UV,A,miRFP670,Red,B,mEmerald,Blue,A,mKeima,Violet,C,iFP1.4,Violet,E,mKalama1,Violet,A,miRFP720,Red,C,TagRFP-T,Yel/Grn,C,
mRuby2,Yel/Grn,B,LSSmCherry1,Blue,B,Sirius,UV,A,mKeima,Violet,C,mGinger2,Red,B,DsRed-Max,Yel/Grn,A,AdRed,Yel/Grn,D,miRFP720,Red,C,TagBFP,Violet,A,moxGFP,Blue,A,
mKO,Yel/Grn,E,T-Sapphire,Violet,B,Sirius,UV,A,iRFP670,Red,B,mScarlet-H,Yel/Grn,A,iFP1.4,Violet,E,EGFP,Blue,A,iRFP702,Red,A,tKeima,Violet,C,mTagBFP2,Violet,A,
miRFP670,Red,B,LSSmCherry1,Blue,B,Sirius,UV,A,mEmerald,Blue,A,mRuby3,Yel/Grn,C,mGarnet,Yel/Grn,D,mGarnet2,UV,C,miRFP709,Red,C,tKeima,Violet,C,secBFP2,Violet,A,
HcRed,Yel/Grn,D,Sirius,UV,A,smURFP,Red,B,AdRed-C148S,Yel/Grn,A,iFP1.4,Violet,E,vsfGFP-9,Blue,A,miRFP709,Red,C,tKeima,Violet,C,TagRFP-T,Yel/Grn,C,mTagBFP2,Violet,A,
LSSmCherry1,Blue,B,Sirius,UV,A,mScarlet-H,Yel/Grn,A,iFP1.4,Violet,E,dKeima,Violet,C,miRFP709,Red,C,vsfGFP-9,Blue,A,mKalama1,Violet,A,TagRFP,Yel/Grn,C,TDsmURFP,Red,B,
miRFP703,Red,C,Sirius,UV,A,miRFP670,Red,B,Sapphire,Violet,B,mGarnet,Yel/Grn,D,dKeima,Violet,C,mGarnet2,UV,C,dTomato,Yel/Grn,C,vsfGFP-9,Blue,A,mKalama1,Violet,A,
T-Sapphire,Violet,B,Sirius,UV,A,mKelly2,Yel/Grn,D,mEmerald,Blue,A,iRFP720,Red,C,mKalama1,Violet,A,tKeima,Violet,C,TDsmURFP,Red,B,mRaspberry,Yel/Grn,A,TagRFP-T,Yel/Grn,C,
miRFP703,Red,C,Sirius,UV,A,Sapphire,Violet,B,mScarlet-H,Yel/Grn,C,mGarnet,Yel/Grn,D,mGarnet2,UV,C,vsfGFP-9,Blue,A,miRFP670nano,Red,B,tKeima,Violet,C,secBFP2,Violet,A,
Sirius,UV,A,mKelly2,Yel/Grn,D,TagGFP2,Blue,A,Sapphire,Violet,B,mKeima,Violet,D,mGinger1,Yel/Grn,A,mKalama1,Violet,A,iRFP713,Red,C,TDsmURFP,Red,B,TagRFP-T,Yel/Grn,C,
Sirius,UV,A,vsfGFP-0,Blue,A,Sapphire,Violet,B,AdRed-C148S,Yel/Grn,C,mGarnet,Yel/Grn,D,mGarnet2,UV,C,dKeima,Violet,C,miRFP709,Red,C,mKalama1,Violet,A,miRFP670nano,Red,B,
mRuby2,Yel/Grn,C,Sirius,UV,A,LSSmCherry1,Blue,B,miRFP670,Red,B,BrUSLEE,Blue,A,iFP1.4,Violet,E,DsRed-Max,Yel/Grn,A,tKeima,Violet,C,iRFP702,Red,C,mAmetrine,Violet,B,
mRuby,Yel/Grn,A,mHoneydew,Blue,A,mRuby2,Yel/Grn,C,Sirius,UV,A,mKeima,Violet,D,mPlum,Yel/Grn,D,iFP1.4,Violet,E,mKalama1,Violet,A,CyOFP1,Blue,B,TDsmURFP,Red,B,
miRFP,Violet,E,Sirius,UV,A,LSSmCherry1,Blue,B,UnaG,Blue,A,eqFP611,Yel/Grn,A,dKeima,Violet,C,mGarnet2,Yel/Grn,D,iRFP702,Red,C,TDsmURFP,Red,B,secBFP2,Violet,A,
mRuby,Yel/Grn,A,Sirius,UV,A,miRFP670,Red,B,BrUSLEE,Blue,A,AdRed-C148S,Yel/Grn,D,mRuby3,Yel/Grn,C,iFP1.4,Violet,E,miRFP709,Red,C,tKeima,Violet,C,mAmetrine,Violet,B,
HcRed,Yel/Grn,D,vsfGFP-0,Blue,A,Sirius,UV,A,AdRed-C148S,Yel/Grn,C,mRuby3,Yel/Grn,A,iFP1.4,Violet,E,dKeima,Violet,C,mKalama1,Violet,A,iRFP713,Red,C,TDsmURFP,Red,B,
miRFP703,Red,C,Sirius,UV,A,miRFP670,Red,B,mNeptune,Yel/Grn,D,tdTomato,Yel/Grn,C,mGarnet,Yel/Grn,E,mGarnet2,UV,C,vsfGFP-9,Blue,A,tKeima,Violet,C,secBFP2,Violet,A,
mNeptune681,Yel/Grn,E,vsfGFP-0,Blue,A,miRFP670,Red,B,Sirius,UV,A,mRuby3,Yel/Grn,C,HcRed7,Yel/Grn,D,mGarnet2,UV,C,dKeima,Violet,C,iRFP713,Red,C,secBFP2,Violet,A,
miRFP,Violet,E,miRFP703,Red,C,mRuby2,Yel/Grn,C,Sirius,UV,A,iRFP670,Red,B,mPlum,Yel/Grn,D,vsfGFP-9,Blue,A,tKeima,Violet,C,mAmetrine,Violet,B,TagBFP,Violet,A,
miRFP,Violet,E,miRFP703,Red,C,mNeptune681,Yel/Grn,E,mRuby2,Yel/Grn,C,miRFP670,Red,B,vsfGFP-0,Blue,A,Sirius,UV,A,mKeima,Violet,C,mGarnet,Yel/Grn,D,mKalama1,Violet,A,
Sirius,UV,A,smURFP,Red,B,AdRed-C148S,Yel/Grn,C,mKeima,Violet,C,iFP1.4,Violet,E,mKalama1,Violet,A,AdRed,Yel/Grn,D,cgfTagRFP,Yel/Grn,A,mAmetrine,Violet,B,muGFP,Blue,A,
miRFP,Violet,E,miRFP703,Red,C,mNeptune681,Yel/Grn,E,Sirius,UV,A,mGarnet2,Yel/Grn,D,dTomato,Yel/Grn,C,tKeima,Violet,C,TDsmURFP,Red,B,moxGFP,Blue,A,secBFP2,Violet,A,
mRuby,Yel/Grn,A,Sirius,UV,A,vsfGFP-0,Blue,A,mRuby3,Yel/Grn,C,HcRed7,Yel/Grn,D,iFP1.4,Violet,E,dKeima,Violet,C,DsRed-Express,Blue,B,miRFP670nano,Red,B,secBFP2,Violet,A,
miRFP,Violet,E,mNeptune681,Yel/Grn,E,Sirius,UV,A,smURFP,Red,B,HcRed7,Yel/Grn,D,dTomato,Yel/Grn,C,vsfGFP-9,Blue,A,tKeima,Violet,C,mAmetrine,Violet,B,mTagBFP2,Violet,A,
mNeptune681,Yel/Grn,E,Sirius,UV,A,Sapphire,Violet,B,eqFP611,Yel/Grn,C,dKeima,Violet,D,mGarnet2,UV,C,miRFP709,Red,C,vsfGFP-9,Blue,A,mKalama1,Violet,A,TDsmURFP,Red,B,
miRFP703,Red,C,Sirius,UV,A,mNeptune,Yel/Grn,A,mGarnet,Yel/Grn,D,mGarnet2,UV,C,dKeima,Violet,C,miniSOG2,Violet,B,TDsmURFP,Red,B,TagRFP-T,Yel/Grn,C,muGFP,Blue,A,
mRuby,Yel/Grn,A,mKelly2,Yel/Grn,D,Sirius,UV,A,miRFP670,Red,B,BrUSLEE,Blue,A,mPlum,Yel/Grn,E,tdTomato,Yel/Grn,C,iFP1.4,Violet,E,tKeima,Violet,C,mAmetrine,Violet,B,
mRuby,Yel/Grn,A,DsRed,Blue,B,Sirius,UV,A,miRFP670,Red,B,mEmerald,Blue,A,mRuby3,Yel/Grn,C,mGinger2,Yel/Grn,D,iFP1.4,Violet,E,tKeima,Violet,C,TagBFP,Violet,A,
mKate2,UV,C,Sirius,UV,A,LSSmCherry1,Blue,B,mRuby3,Yel/Grn,C,AdRed-C148S,Yel/Grn,A,mGinger2,Yel/Grn,D,vsfGFP-9,Blue,A,tKeima,Violet,C,TDsmURFP,Red,B,secBFP2,Violet,A,
miRFP703,Red,C,mNeptune681,Yel/Grn,E,Sirius,UV,A,miRFP670,Red,B,vsfGFP-0,Blue,A,HcRed7,Yel/Grn,D,dKeima,Violet,C,TagRFP,Yel/Grn,C,mKalama1,Violet,A,E2-Crimson,UV,C,
mRuby,Yel/Grn,A,miRFP703,Red,C,HcRed,UV,C,mKelly2,Yel/Grn,D,Sirius,UV,A,mRuby3,Yel/Grn,C,UnaG,Blue,A,mPlum,Yel/Grn,E,dKeima,Violet,C,secBFP2,Violet,A,
mNeptune681,Yel/Grn,D,miRFP703,Red,A,miRFP670,Red,B,Sirius,UV,A,UnaG,Blue,A,mGarnet2,UV,C,dKeima,Violet,D,mAmetrine,Violet,B,TagRFP-T,Yel/Grn,C,secBFP2,Violet,A,
