Laser Name,Detector,Parameter
Blue,A,FL1
Blue,B,FL2
Blue,C,FL3
Yel/Grn,C,FL4
Yel/Grn,A,FL5
Yel/Grn,D,FL6
Yel/Grn,E,FL7
Yel/Grn,B,FL8
Red,B,FL9
Red,C,FL10
Red,A,FL11
Violet,A,FL12
Violet,B,FL13
Violet,C,FL14
Violet,D,FL15
Violet,E,FL16
UV,A,FL17
UV,B,FL18
UV,C,FL19
IR,A,FL20
IR,B,FL21
