Laser Name,Detector,Parameter
Blue,A,PerCP
Blue,B,YFP
Blue,C,GFP
Blue,D,SSC
Blue,E,
Blue,F,
Blue,G,
Blue,H,
Red,A,APC-Cy7
Red,B,APC
Red,C,
Violet,A,
Violet,B,Pacific Orange
Violet,C,AmCyan
Violet,D,mCFP
Violet,E,Pacific Blue
Violet,F,
Violet,G,
Violet,H,
UV,A,Indo-1 (Blue)
UV,B,Indo-1 (Violet)
UV,C,
Yel/Grn,A,PE-Cy7
Yel/Grn,B,PE-Cy5-5
Yel/Grn,C,PE-Cy5
Yel/Grn,D,PE-Texas Red
Yel/Grn,E,PE
Yel/Grn,F,
Yel/Grn,G,
Yel/Grn,H,
