Wavelength,EBFP2 (EX),EBFP2 (EM),mCitrine (AB),mCitrine (EM),DsRed (EX),DsRed (EM),mAmetrine (EX),mAmetrine (EM)
250,,,,,,,,
251,,,,,,,,
252,,,,,,,,
253,,,,,,,,
254,,,,,,,,
255,,,,,,,,
256,,,,,,,,
257,,,,,,,,
258,,,,,,,,
259,,,,,,,,
260,,,,,,,,
261,,,,,,,,
262,,,,,,,,
263,,,,,,,,
264,,,,,,,,
265,,,,,,,,
266,,,,,,,,
267,,,,,,,,
268,,,,,,,,
269,,,,,,,,
270,,,,,,,,
271,,,,,,,,
272,,,,,,,,
273,,,,,,,,
274,,,,,,,,
275,,,,,,,,
276,,,,,,,,
277,,,,,,,,
278,,,,,,,,
279,,,,,,,,
280,,,,,,,,
281,,,,,,,,
282,,,,,,,,
283,,,,,,,,
284,,,,,,,,
285,,,,,,,,
286,,,,,,,,
287,,,,,,,,
288,,,,,,,,
289,,,,,,,,
290,,,,,,,,
291,,,,,,,,
292,,,,,,,,
293,,,,,,,,
294,,,,,,,,
295,,,,,,,,
296,,,,,,,,
297,,,,,,,,
298,,,,,,,,
299,,,,,,,,
300,0.03321,,0.059,,,,0.03405,
301,0.04201,,0.052,,,,0.03261,
302,0.04835,,0.05,,,,0.03147,
303,0.05158,,0.046,,,,0.03044,
304,0.0519,,0.044,,,,0.02823,
305,0.05026,,0.039,,,,0.02661,
306,0.04792,,0.036,,,,0.0257,
307,0.04602,,0.034,,,,0.02501,
308,0.0453,,0.033,,,,0.02476,
309,0.04595,,0.03,,,,0.02474,
310,0.04769,,0.03,,,,0.02488,
311,0.05005,,0.029,,,,0.02507,
312,0.05254,,0.027,,,,0.02531,
313,0.05487,,0.027,,,,0.02565,
314,0.0569,,0.027,,,,0.02593,
315,0.05861,,0.026,,,,0.02612,
316,0.06007,,0.026,,,,0.02633,
317,0.06133,,0.025,,,,0.02668,
318,0.06247,,0.025,,,,0.027,
319,0.06364,,0.025,,,,0.02753,
320,0.06499,,0.024,,,,0.02822,
321,0.06677,,0.025,,,,0.0292,
322,0.0691,,0.024,,,,0.03031,
323,0.07203,,0.024,,,,0.03169,
324,0.07544,,0.023,,,,0.03313,
