mPlum,4.1
TagRFP,49
iRFP670,12.5
iRFP720,5.8
iRFP713,6.2
mOrange,49
Sirius,3.6
mApple,36.7
mScarlet,70
mCherry,15.8
mKO,64
ECFP,13
Cerulean,32
DsRed,28.6
tdTomato,95.22
