Wavelength,DsRed2 (EX),DsRed2 (EM),Sirius (EX),Sirius (EM),Cerulean (EX),Cerulean (EM),iRFP713 (EX),iRFP713 (EM),iRFP720 (EX),iRFP720 (EM),mOrange (EX),mOrange (EM),mPlum (EX),mPlum (EM),TagRFP (EX),TagRFP (EM)
328,0,0,0.6198,0,0.0674,0,0,0,0,0,0.184,0,0,0,0.032,0
329,0,0,0.6368,0,0.0649,0,0,0,0,0,0.182,0,0,0,0.032,0
330,0,0,0.6526,0,0.0639,0,0,0,0,0,0.176,0,0,0,0.033,0
331,0,0,0.6684,0,0.0637,0,0,0,0,0,0.169,0,0,0,0.034,0
332,0,0,0.6842,0,0.061,0,0,0,0,0,0.158,0,0,0,0.035,0
333,0,0,0.7003,0,0.0615,0,0,0,0,0,0.146,0,0,0,0.034,0
334,0,0,0.7176,0,0.0618,0,0,0,0,0,0.134,0,0,0,0.035,0
335,0,0,0.735,0,0.0598,0,0,0,0,0,0.122,0,0,0,0.037,0
336,0,0,0.7523,0,0.0603,0,0,0,0,0,0.112,0,0,0,0.038,0
337,0,0,0.7668,0,0.0609,0,0,0,0,0,0.103,0,0,0,0.039,0
338,0,0,0.7806,0,0.0592,0,0,0,0,0,0.094,0,0,0,0.039,0
339,0,0,0.7945,0,0.0596,0,0,0,0,0,0.086,0,0,0,0.04,0
340,0,0,0.8083,0,0.0604,0,0,0,0,0,0.08,0,0,0,0.04,0
341,0,0,0.8229,0,0.0596,0,0,0,0,0,0.074,0,0,0,0.041,0
342,0,0,0.838,0,0.0597,0,0,0,0,0,0.069,0,0,0,0.041,0
343,0,0,0.8532,0,0.06,0,0,0,0,0,0.065,0,0,0,0.042,0
344,0,0,0.8683,0,0.0602,0,0,0,0,0,0.062,0,0,0,0.043,0
345,0,0,0.8855,0,0.0614,0,0,0,0,0,0.058,0,0,0,0.044,0
346,0,0,0.9035,0,0.0618,0,0,0,0,0,0.056,0,0,0,0.044,0
347,0,0,0.9214,0,0.0616,0,0,0,0,0,0.053,0,0,0,0.044,0
