Run,Rank,Fluorophore,Laser,Detector,Fluorophore,Laser,Detector,Fluorophore,Laser,Detector,Fluorophore,Laser,Detector,Fluorophore,Laser,Detector
0,0,DsRed2,Yel/Grn,E,Sirius,UV,B,Cerulean,Violet,D,mPlum,Yel/Grn,C,iRFP713,Red,A,
1,0,DsRed2,Yel/Grn,E,Sirius,UV,B,Cerulean,Violet,D,mPlum,Yel/Grn,C,iRFP713,Red,A,
2,0,DsRed2,Yel/Grn,E,Cerulean,Violet,D,Sirius,UV,B,mPlum,Yel/Grn,C,iRFP713,Red,A,
3,0,Sirius,UV,B,DsRed2,Yel/Grn,E,Cerulean,Violet,D,mPlum,Yel/Grn,C,iRFP713,Red,A,
4,0,Sirius,UV,B,DsRed2,Yel/Grn,E,Cerulean,Violet,D,mPlum,Yel/Grn,C,iRFP713,Red,A,
5,0,DsRed2,Yel/Grn,E,Cerulean,Violet,D,Sirius,UV,B,mPlum,Yel/Grn,C,iRFP713,Red,A,
6,0,Cerulean,Violet,D,DsRed2,Yel/Grn,E,Sirius,UV,B,mPlum,Yel/Grn,C,iRFP713,Red,A,
7,0,Sirius,UV,B,DsRed2,Yel/Grn,E,Cerulean,Violet,D,mPlum,Yel/Grn,C,iRFP713,Red,A,
8,0,Sirius,UV,B,DsRed2,Yel/Grn,E,Cerulean,Violet,D,mPlum,Yel/Grn,C,iRFP713,Red,A,
9,0,DsRed2,Yel/Grn,E,Cerulean,Violet,D,Sirius,UV,B,mPlum,Yel/Grn,C,iRFP713,Red,A,
10,0,Cerulean,Violet,D,DsRed2,Yel/Grn,E,Sirius,UV,B,mPlum,Yel/Grn,C,iRFP713,Red,A,
11,0,Sirius,UV,B,DsRed2,Yel/Grn,E,Cerulean,Violet,D,mPlum,Yel/Grn,C,iRFP713,Red,A,
12,0,DsRed2,Yel/Grn,E,Sirius,UV,B,Cerulean,Violet,D,mPlum,Yel/Grn,C,iRFP713,Red,A,
13,0,DsRed2,Yel/Grn,E,Sirius,UV,B,Cerulean,Violet,D,mPlum,Yel/Grn,C,iRFP713,Red,A,
14,0,Sirius,UV,B,DsRed2,Yel/Grn,E,Cerulean,Violet,D,mPlum,Yel/Grn,C,iRFP713,Red,A,
15,0,Cerulean,Violet,D,DsRed2,Yel/Grn,E,Sirius,UV,B,mPlum,Yel/Grn,C,iRFP713,Red,A,
