Run,Rank,Fluorophore,Laser,Detector,Fluorophore,Laser,Detector
70,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
71,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
72,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
73,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
74,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
75,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
76,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
77,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
78,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
79,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
80,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
81,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
82,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
83,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
84,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
85,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
86,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
87,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
88,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
89,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
90,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
91,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
92,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
93,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
94,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
95,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
96,2,Sirius,UV,B,mPlum,Yel/Grn,C,
97,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
98,2,Sirius,UV,B,mPlum,Yel/Grn,C,
99,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
100,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
101,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
102,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
103,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
104,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
105,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
106,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
107,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
108,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
109,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
110,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
111,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
112,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
113,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
114,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
115,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
116,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
117,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
118,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
119,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
120,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
121,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
122,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
123,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
124,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
125,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
126,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
127,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
128,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
129,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
130,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
131,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
132,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
133,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
134,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
135,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
136,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
137,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
138,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
139,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
140,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
141,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
142,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
143,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
144,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
145,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
146,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
147,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
148,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
149,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
150,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
151,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
152,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
153,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
154,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
155,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
156,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
157,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
158,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
159,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
160,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
161,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
162,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
163,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
164,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
165,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
166,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
167,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
168,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
169,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
170,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
171,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
172,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
173,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
174,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
175,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
176,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
177,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
178,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
179,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
180,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
181,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
182,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
183,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
184,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
185,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
186,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
187,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
188,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
189,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
190,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
191,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
192,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
193,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
194,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
195,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
196,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
197,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
198,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
199,0,Sirius,UV,B,TagRFP,Yel/Grn,E,
