Run,Rank,Fluorophore,Laser,Detector,Fluorophore,Laser,Detector,Fluorophore,Laser,Detector,Fluorophore,Laser,Detector,Fluorophore,Laser,Detector
0,0,mOrange,Blue,A,Sirius,Violet,A,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,B,
1,0,mOrange,Blue,A,DsRed2,Yel/Grn,A,Sirius,Violet,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,B,
2,0,mOrange,Blue,A,DsRed2,Yel/Grn,A,Sirius,Violet,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,B,
3,0,mOrange,Blue,A,DsRed2,Yel/Grn,A,Sirius,Violet,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,B,
4,0,mOrange,Blue,A,DsRed2,Yel/Grn,A,Sirius,Violet,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,B,
5,0,mOrange,Blue,A,DsRed2,Yel/Grn,A,Sirius,Violet,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,B,
6,0,mOrange,Blue,A,Sirius,Violet,A,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,B,
7,0,mOrange,Blue,A,DsRed2,Yel/Grn,A,Sirius,Violet,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,B,
8,0,mOrange,Blue,A,DsRed2,Yel/Grn,A,Sirius,Violet,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,B,
9,0,mOrange,Blue,A,DsRed2,Yel/Grn,A,Sirius,Violet,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,B,
10,0,mOrange,Blue,A,Sirius,Violet,A,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,B,
11,0,mOrange,Blue,A,DsRed2,Yel/Grn,A,Sirius,Violet,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,B,
12,0,mOrange,Blue,A,Sirius,Violet,A,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,B,
13,0,mOrange,Blue,A,DsRed2,Yel/Grn,A,Sirius,Violet,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,B,
14,0,mOrange,Blue,A,Sirius,Violet,A,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,B,
15,0,mOrange,Blue,A,Sirius,Violet,A,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,B,
16,0,mOrange,Blue,A,DsRed2,Yel/Grn,A,Sirius,Violet,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,B,
17,0,mOrange,Blue,A,DsRed2,Yel/Grn,A,Sirius,Violet,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,B,
18,0,mOrange,Blue,A,DsRed2,Yel/Grn,A,Sirius,Violet,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,B,
19,0,mOrange,Blue,A,DsRed2,Yel/Grn,A,Sirius,Violet,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,B,
20,0,mOrange,Blue,A,DsRed2,Yel/Grn,A,Sirius,Violet,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,B,
21,0,mOrange,Blue,A,DsRed2,Yel/Grn,A,Sirius,Violet,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,B,
22,0,mOrange,Blue,A,DsRed2,Yel/Grn,A,Sirius,Violet,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,B,
23,0,mOrange,Blue,A,Sirius,Violet,A,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,B,
24,0,mOrange,Blue,A,DsRed2,Yel/Grn,A,Sirius,Violet,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,B,
25,0,mOrange,Blue,A,Sirius,Violet,A,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,B,
26,0,mOrange,Blue,A,Sirius,Violet,A,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,B,
27,0,mOrange,Blue,A,Sirius,Violet,A,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,B,
28,0,mOrange,Blue,A,Sirius,Violet,A,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,B,
29,0,mOrange,Blue,A,Sirius,Violet,A,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,B,
30,0,mOrange,Blue,A,Sirius,Violet,A,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,B,
31,0,mOrange,Blue,A,Sirius,Violet,A,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,B,
32,0,mOrange,Blue,A,DsRed2,Yel/Grn,A,Sirius,Violet,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,B,
33,0,mOrange,Blue,A,Sirius,Violet,A,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,B,
34,0,mOrange,Blue,A,Sirius,Violet,A,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,B,
35,0,mOrange,Blue,A,Sirius,Violet,A,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,B,
36,0,mOrange,Blue,A,Sirius,Violet,A,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,B,
37,0,mOrange,Blue,A,Sirius,Violet,A,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,B,
38,0,mOrange,Blue,A,Sirius,Violet,A,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,B,
39,0,mOrange,Blue,A,Sirius,Violet,A,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,B,
40,0,mOrange,Blue,A,Sirius,Violet,A,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,B,
41,0,mOrange,Blue,A,DsRed2,Yel/Grn,A,Sirius,Violet,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,B,
42,0,mOrange,Blue,A,Sirius,Violet,A,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,B,
43,0,mOrange,Blue,A,Sirius,Violet,A,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,B,
44,0,mOrange,Blue,A,Sirius,Violet,A,DsRed2,Yel/Grn,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,B,
