Run,Rank,Fluorophore,Laser,Detector,Fluorophore,Laser,Detector,Fluorophore,Laser,Detector,Fluorophore,Laser,Detector,Fluorophore,Laser,Detector
67,0,DsRed2,Yel/Grn,B,Cerulean,Violet,B,Sirius,Violet,A,KO,Yel/Grn,A,mPlum,Yel/Grn,C,
68,0,Cerulean,Violet,B,DsRed2,Yel/Grn,B,KO,Yel/Grn,A,Sirius,Violet,A,mPlum,Yel/Grn,C,
69,0,Sirius,Violet,A,DsRed2,Yel/Grn,B,Cerulean,Violet,B,KO,Yel/Grn,A,mPlum,Yel/Grn,C,
70,0,Sirius,Violet,A,KO,Yel/Grn,A,DsRed2,Yel/Grn,B,Cerulean,Violet,B,mPlum,Yel/Grn,C,
71,0,DsRed2,Yel/Grn,B,KO,Yel/Grn,A,Sirius,Violet,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
72,0,KO,Yel/Grn,A,DsRed2,Yel/Grn,B,Cerulean,Violet,B,Sirius,Violet,A,mPlum,Yel/Grn,C,
73,2,Sirius,Violet,A,KO,Blue,A,mPlum,Yel/Grn,C,TagRFP,Yel/Grn,A,mScarlet,Yel/Grn,B,
74,0,Cerulean,Violet,B,DsRed2,Yel/Grn,B,Sirius,Violet,A,KO,Yel/Grn,A,mPlum,Yel/Grn,C,
75,0,DsRed2,Yel/Grn,B,Sirius,Violet,A,KO,Yel/Grn,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
76,0,Sirius,Violet,A,Cerulean,Violet,B,KO,Yel/Grn,A,DsRed2,Yel/Grn,B,mPlum,Yel/Grn,C,
77,0,Cerulean,Violet,B,DsRed2,Yel/Grn,B,KO,Yel/Grn,A,Sirius,Violet,A,mPlum,Yel/Grn,C,
78,0,KO,Yel/Grn,A,Sirius,Violet,A,Cerulean,Violet,B,DsRed2,Yel/Grn,B,mPlum,Yel/Grn,C,
79,0,Sirius,Violet,A,KO,Yel/Grn,A,DsRed2,Yel/Grn,B,Cerulean,Violet,B,mPlum,Yel/Grn,C,
80,0,Cerulean,Violet,B,KO,Yel/Grn,A,DsRed2,Yel/Grn,B,Sirius,Violet,A,mPlum,Yel/Grn,C,
81,0,Sirius,Violet,A,KO,Yel/Grn,A,Cerulean,Violet,B,DsRed2,Yel/Grn,B,mPlum,Yel/Grn,C,
82,0,Sirius,Violet,A,KO,Yel/Grn,A,Cerulean,Violet,B,DsRed2,Yel/Grn,B,mPlum,Yel/Grn,C,
83,0,Cerulean,Violet,B,KO,Yel/Grn,A,Sirius,Violet,A,DsRed2,Yel/Grn,B,mPlum,Yel/Grn,C,
84,0,DsRed2,Yel/Grn,B,KO,Yel/Grn,A,Sirius,Violet,A,Cerulean,Violet,B,mPlum,Yel/Grn,C,
85,2,Sirius,Violet,A,KO,Blue,A,mPlum,Yel/Grn,C,mScarlet,Yel/Grn,B,TagRFP,Yel/Grn,A,
86,0,Cerulean,Violet,B,DsRed2,Yel/Grn,B,KO,Yel/Grn,A,Sirius,Violet,A,mPlum,Yel/Grn,C,
