Run,Rank,Fluorophore,Laser,Detector,Fluorophore,Laser,Detector,Fluorophore,Laser,Detector,Fluorophore,Laser,Detector,Fluorophore,Laser,Detector
0,0,Sirius,UV,A,Cerulean,Violet,B,mPlum,Yel/Grn,D,TagRFP,Yel/Grn,C,iRFP713,Red,C,
1,0,Sirius,UV,A,Cerulean,Violet,B,mPlum,Yel/Grn,D,TagRFP,Yel/Grn,C,iRFP713,Red,C,
2,0,Cerulean,Violet,B,Sirius,UV,A,mPlum,Yel/Grn,D,TagRFP,Yel/Grn,C,iRFP713,Red,C,
3,0,Sirius,UV,A,Cerulean,Violet,B,mPlum,Yel/Grn,D,TagRFP,Yel/Grn,C,iRFP713,Red,C,
4,0,Sirius,UV,A,Cerulean,Violet,B,mPlum,Yel/Grn,D,TagRFP,Yel/Grn,C,iRFP713,Red,C,
5,0,Sirius,UV,A,Cerulean,Violet,B,mPlum,Yel/Grn,D,TagRFP,Yel/Grn,C,iRFP713,Red,C,
6,0,Cerulean,Violet,B,Sirius,UV,A,mPlum,Yel/Grn,D,TagRFP,Yel/Grn,C,iRFP713,Red,C,
7,0,Sirius,UV,A,Cerulean,Violet,B,mPlum,Yel/Grn,D,TagRFP,Yel/Grn,C,iRFP713,Red,C,
8,0,Cerulean,Violet,B,Sirius,UV,A,mPlum,Yel/Grn,D,TagRFP,Yel/Grn,C,iRFP713,Red,C,
9,0,Cerulean,Violet,B,Sirius,UV,A,mPlum,Yel/Grn,D,TagRFP,Yel/Grn,C,iRFP713,Red,C,
10,0,Cerulean,Violet,B,Sirius,UV,A,mPlum,Yel/Grn,D,TagRFP,Yel/Grn,C,iRFP713,Red,C,
11,0,Sirius,UV,A,Cerulean,Violet,B,mPlum,Yel/Grn,D,TagRFP,Yel/Grn,C,iRFP713,Red,C,
12,0,Cerulean,Violet,B,Sirius,UV,A,mPlum,Yel/Grn,D,TagRFP,Yel/Grn,C,iRFP713,Red,C,
13,0,Cerulean,Violet,B,Sirius,UV,A,mPlum,Yel/Grn,D,TagRFP,Yel/Grn,C,iRFP713,Red,C,
14,0,Sirius,UV,A,Cerulean,Violet,B,mPlum,Yel/Grn,D,TagRFP,Yel/Grn,C,iRFP713,Red,C,
15,0,Sirius,UV,A,Cerulean,Violet,B,mPlum,Yel/Grn,D,TagRFP,Yel/Grn,C,iRFP713,Red,C,
16,0,Cerulean,Violet,B,Sirius,UV,A,mPlum,Yel/Grn,D,TagRFP,Yel/Grn,C,iRFP713,Red,C,
17,0,Sirius,UV,A,Cerulean,Violet,B,mPlum,Yel/Grn,D,TagRFP,Yel/Grn,C,iRFP713,Red,C,
18,0,Cerulean,Violet,B,Sirius,UV,A,mPlum,Yel/Grn,D,TagRFP,Yel/Grn,C,iRFP713,Red,C,
19,0,Sirius,UV,A,Cerulean,Violet,B,mPlum,Yel/Grn,D,TagRFP,Yel/Grn,C,iRFP713,Red,C,
20,0,Cerulean,Violet,B,Sirius,UV,A,mPlum,Yel/Grn,D,TagRFP,Yel/Grn,C,iRFP713,Red,C,
21,0,Sirius,UV,A,Cerulean,Violet,B,mPlum,Yel/Grn,D,TagRFP,Yel/Grn,C,iRFP713,Red,C,
