Run,Rank,Fluorophore,Laser,Detector,Fluorophore,Laser,Detector,Fluorophore,Laser,Detector,Fluorophore,Laser,Detector,Fluorophore,Laser,Detector
0,0,Sirius,UV,A,DsRed2,Violet,C,KO,Blue,A,mPlum,Yel/Grn,D,iRFP713,Red,C,
1,4,DsRed2,UV,C,KO,Blue,A,Sirius,UV,A,mPlum,Yel/Grn,D,iRFP713,Red,C,
2,0,Sirius,UV,A,DsRed2,Violet,C,KO,Blue,A,mPlum,Yel/Grn,D,iRFP713,Red,C,
3,0,KO,Blue,A,DsRed2,Violet,C,Sirius,UV,A,mPlum,Yel/Grn,D,iRFP713,Red,C,
4,4,DsRed2,UV,C,KO,Blue,A,Sirius,UV,A,mPlum,Yel/Grn,D,iRFP713,Red,C,
5,72,Cerulean,Violet,B,Sirius,UV,A,mPlum,Yel/Grn,D,tdTomato,Yel/Grn,C,iRFP713,Red,C,
6,4,DsRed2,UV,C,KO,Blue,A,Sirius,UV,A,mPlum,Yel/Grn,D,iRFP713,Red,C,
7,0,DsRed2,Violet,C,Sirius,UV,A,KO,Blue,A,mPlum,Yel/Grn,D,iRFP713,Red,C,
8,0,DsRed2,Violet,C,KO,Blue,A,Sirius,UV,A,mPlum,Yel/Grn,D,iRFP713,Red,C,
9,39,KO,Blue,A,DsRed2,UV,C,Sirius,UV,A,mPlum,Yel/Grn,D,iRFP720,Red,B,
10,72,Sirius,UV,A,Cerulean,Violet,B,mPlum,Yel/Grn,D,tdTomato,Yel/Grn,C,iRFP713,Red,C,
11,1,DsRed2,Violet,C,KO,Blue,A,Sirius,UV,A,mPlum,Yel/Grn,D,iRFP720,Red,C,
12,72,Cerulean,Violet,B,Sirius,UV,A,tdTomato,Yel/Grn,C,mPlum,Yel/Grn,D,iRFP713,Red,C,
13,9,KO,Blue,A,DsRed2,Violet,D,Sirius,UV,A,mPlum,Yel/Grn,D,iRFP720,Red,C,
14,7,KO,Blue,A,DsRed2,Violet,D,Sirius,UV,A,mPlum,Yel/Grn,D,iRFP713,Red,C,
15,0,KO,Blue,A,DsRed2,Violet,C,Sirius,UV,A,mPlum,Yel/Grn,D,iRFP713,Red,C,
16,7,Sirius,UV,A,KO,Blue,A,DsRed2,Violet,D,mPlum,Yel/Grn,D,iRFP713,Red,C,
17,4,Sirius,UV,A,DsRed2,UV,C,KO,Blue,A,mPlum,Yel/Grn,D,iRFP713,Red,C,
18,0,DsRed2,Violet,C,Sirius,UV,A,KO,Blue,A,mPlum,Yel/Grn,D,iRFP713,Red,C,
19,7,DsRed2,Violet,D,Sirius,UV,A,KO,Blue,A,mPlum,Yel/Grn,D,iRFP713,Red,C,
20,4,DsRed2,UV,C,Sirius,UV,A,KO,Blue,A,mPlum,Yel/Grn,D,iRFP713,Red,C,
