Run,Rank,Fluorophore,Laser,Detector,Fluorophore,Laser,Detector,Fluorophore,Laser,Detector,Fluorophore,Laser,Detector
20,0,Cerulean,Violet,D,DsRed2,Yel/Grn,E,Sirius,UV,B,mPlum,Yel/Grn,C,
21,0,DsRed2,Yel/Grn,E,Sirius,UV,B,Cerulean,Violet,D,mPlum,Yel/Grn,C,
22,0,Sirius,UV,B,Cerulean,Violet,D,DsRed2,Yel/Grn,E,mPlum,Yel/Grn,C,
23,0,Sirius,UV,B,DsRed2,Yel/Grn,E,Cerulean,Violet,D,mPlum,Yel/Grn,C,
24,6,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,iRFP713,Red,A,
25,0,DsRed2,Yel/Grn,E,Sirius,UV,B,Cerulean,Violet,D,mPlum,Yel/Grn,C,
26,0,Cerulean,Violet,D,Sirius,UV,B,DsRed2,Yel/Grn,E,mPlum,Yel/Grn,C,
27,0,Sirius,UV,B,DsRed2,Yel/Grn,E,Cerulean,Violet,D,mPlum,Yel/Grn,C,
28,0,Cerulean,Violet,D,DsRed2,Yel/Grn,E,Sirius,UV,B,mPlum,Yel/Grn,C,
29,0,Cerulean,Violet,D,DsRed2,Yel/Grn,E,Sirius,UV,B,mPlum,Yel/Grn,C,
30,0,Cerulean,Violet,D,Sirius,UV,B,DsRed2,Yel/Grn,E,mPlum,Yel/Grn,C,
31,0,Cerulean,Violet,D,DsRed2,Yel/Grn,E,Sirius,UV,B,mPlum,Yel/Grn,C,
32,0,DsRed2,Yel/Grn,E,Sirius,UV,B,Cerulean,Violet,D,mPlum,Yel/Grn,C,
33,0,DsRed2,Yel/Grn,E,Sirius,UV,B,Cerulean,Violet,D,mPlum,Yel/Grn,C,
34,0,DsRed2,Yel/Grn,E,Cerulean,Violet,D,Sirius,UV,B,mPlum,Yel/Grn,C,
35,6,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,iRFP713,Red,A,
36,0,Cerulean,Violet,D,Sirius,UV,B,DsRed2,Yel/Grn,E,mPlum,Yel/Grn,C,
37,0,Cerulean,Violet,D,Sirius,UV,B,DsRed2,Yel/Grn,E,mPlum,Yel/Grn,C,
38,0,Cerulean,Violet,D,DsRed2,Yel/Grn,E,Sirius,UV,B,mPlum,Yel/Grn,C,
39,0,Cerulean,Violet,D,Sirius,UV,B,DsRed2,Yel/Grn,E,mPlum,Yel/Grn,C,
40,0,Cerulean,Violet,D,Sirius,UV,B,DsRed2,Yel/Grn,E,mPlum,Yel/Grn,C,
41,0,DsRed2,Yel/Grn,E,Sirius,UV,B,Cerulean,Violet,D,mPlum,Yel/Grn,C,
42,0,DsRed2,Yel/Grn,E,Sirius,UV,B,Cerulean,Violet,D,mPlum,Yel/Grn,C,
43,0,DsRed2,Yel/Grn,E,Cerulean,Violet,D,Sirius,UV,B,mPlum,Yel/Grn,C,
44,0,DsRed2,Yel/Grn,E,Sirius,UV,B,Cerulean,Violet,D,mPlum,Yel/Grn,C,
45,0,DsRed2,Yel/Grn,E,Cerulean,Violet,D,Sirius,UV,B,mPlum,Yel/Grn,C,
46,0,Sirius,UV,B,Cerulean,Violet,D,DsRed2,Yel/Grn,E,mPlum,Yel/Grn,C,
47,0,DsRed2,Yel/Grn,E,Sirius,UV,B,Cerulean,Violet,D,mPlum,Yel/Grn,C,
48,0,DsRed2,Yel/Grn,E,Sirius,UV,B,Cerulean,Violet,D,mPlum,Yel/Grn,C,
49,0,DsRed2,Yel/Grn,E,Cerulean,Violet,D,Sirius,UV,B,mPlum,Yel/Grn,C,
50,0,Cerulean,Violet,D,Sirius,UV,B,DsRed2,Yel/Grn,E,mPlum,Yel/Grn,C,
51,6,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,iRFP713,Red,A,
52,0,DsRed2,Yel/Grn,E,Sirius,UV,B,Cerulean,Violet,D,mPlum,Yel/Grn,C,
53,0,DsRed2,Yel/Grn,E,Sirius,UV,B,Cerulean,Violet,D,mPlum,Yel/Grn,C,
54,0,DsRed2,Yel/Grn,E,Sirius,UV,B,Cerulean,Violet,D,mPlum,Yel/Grn,C,
55,0,Cerulean,Violet,D,DsRed2,Yel/Grn,E,Sirius,UV,B,mPlum,Yel/Grn,C,
56,6,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,iRFP713,Red,A,
57,0,Cerulean,Violet,D,DsRed2,Yel/Grn,E,Sirius,UV,B,mPlum,Yel/Grn,C,
58,0,Sirius,UV,B,Cerulean,Violet,D,DsRed2,Yel/Grn,E,mPlum,Yel/Grn,C,
59,0,DsRed2,Yel/Grn,E,Cerulean,Violet,D,Sirius,UV,B,mPlum,Yel/Grn,C,
60,0,Sirius,UV,B,Cerulean,Violet,D,DsRed2,Yel/Grn,E,mPlum,Yel/Grn,C,
61,0,Cerulean,Violet,D,DsRed2,Yel/Grn,E,Sirius,UV,B,mPlum,Yel/Grn,C,
62,0,Cerulean,Violet,D,Sirius,UV,B,DsRed2,Yel/Grn,E,mPlum,Yel/Grn,C,
63,0,DsRed2,Yel/Grn,E,Sirius,UV,B,Cerulean,Violet,D,mPlum,Yel/Grn,C,
64,0,Sirius,UV,B,DsRed2,Yel/Grn,E,Cerulean,Violet,D,mPlum,Yel/Grn,C,
65,0,Cerulean,Violet,D,DsRed2,Yel/Grn,E,Sirius,UV,B,mPlum,Yel/Grn,C,
66,0,Cerulean,Violet,D,Sirius,UV,B,DsRed2,Yel/Grn,E,mPlum,Yel/Grn,C,
67,6,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,iRFP713,Red,A,
68,0,DsRed2,Yel/Grn,E,Sirius,UV,B,Cerulean,Violet,D,mPlum,Yel/Grn,C,
69,0,DsRed2,Yel/Grn,E,Sirius,UV,B,Cerulean,Violet,D,mPlum,Yel/Grn,C,
70,0,DsRed2,Yel/Grn,E,Sirius,UV,B,Cerulean,Violet,D,mPlum,Yel/Grn,C,
71,0,Cerulean,Violet,D,DsRed2,Yel/Grn,E,Sirius,UV,B,mPlum,Yel/Grn,C,
72,0,Sirius,UV,B,Cerulean,Violet,D,DsRed2,Yel/Grn,E,mPlum,Yel/Grn,C,
73,0,DsRed2,Yel/Grn,E,Sirius,UV,B,Cerulean,Violet,D,mPlum,Yel/Grn,C,
74,0,DsRed2,Yel/Grn,E,Sirius,UV,B,Cerulean,Violet,D,mPlum,Yel/Grn,C,
75,0,Cerulean,Violet,D,DsRed2,Yel/Grn,E,Sirius,UV,B,mPlum,Yel/Grn,C,
76,0,Cerulean,Violet,D,DsRed2,Yel/Grn,E,Sirius,UV,B,mPlum,Yel/Grn,C,
77,0,Sirius,UV,B,Cerulean,Violet,D,DsRed2,Yel/Grn,E,mPlum,Yel/Grn,C,
78,0,DsRed2,Yel/Grn,E,Cerulean,Violet,D,Sirius,UV,B,mPlum,Yel/Grn,C,
79,0,DsRed2,Yel/Grn,E,Cerulean,Violet,D,Sirius,UV,B,mPlum,Yel/Grn,C,
80,6,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,iRFP713,Red,A,
81,0,Sirius,UV,B,Cerulean,Violet,D,DsRed2,Yel/Grn,E,mPlum,Yel/Grn,C,
82,0,Sirius,UV,B,Cerulean,Violet,D,DsRed2,Yel/Grn,E,mPlum,Yel/Grn,C,
83,0,Cerulean,Violet,D,Sirius,UV,B,DsRed2,Yel/Grn,E,mPlum,Yel/Grn,C,
84,0,DsRed2,Yel/Grn,E,Sirius,UV,B,Cerulean,Violet,D,mPlum,Yel/Grn,C,
85,0,DsRed2,Yel/Grn,E,Sirius,UV,B,Cerulean,Violet,D,mPlum,Yel/Grn,C,
86,0,DsRed2,Yel/Grn,E,Sirius,UV,B,Cerulean,Violet,D,mPlum,Yel/Grn,C,
87,0,Sirius,UV,B,DsRed2,Yel/Grn,E,Cerulean,Violet,D,mPlum,Yel/Grn,C,
88,0,Cerulean,Violet,D,DsRed2,Yel/Grn,E,Sirius,UV,B,mPlum,Yel/Grn,C,
89,6,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,iRFP713,Red,A,
90,0,Sirius,UV,B,Cerulean,Violet,D,DsRed2,Yel/Grn,E,mPlum,Yel/Grn,C,
91,6,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,iRFP713,Red,A,
