Run,Rank,Fluorophore,Laser,Detector,Fluorophore,Laser,Detector,Fluorophore,Laser,Detector
75,0,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,
76,0,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,
77,0,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,
78,0,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,
79,1,Sirius,UV,B,DsRed2,Yel/Grn,E,mPlum,Yel/Grn,C,
80,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
81,1,Sirius,UV,B,DsRed2,Yel/Grn,E,mPlum,Yel/Grn,C,
82,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
83,0,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,
84,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
85,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
86,0,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,
87,0,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,
88,0,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,
89,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
90,0,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,
91,0,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,
92,1,Sirius,UV,B,DsRed2,Yel/Grn,E,mPlum,Yel/Grn,C,
93,0,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,
94,0,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,
95,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
96,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
97,0,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,
98,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
99,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
100,0,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,
101,0,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,
102,0,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,
103,1,DsRed2,Yel/Grn,E,Sirius,UV,B,mPlum,Yel/Grn,C,
104,1,DsRed2,Yel/Grn,E,Sirius,UV,B,mPlum,Yel/Grn,C,
105,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
106,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
107,0,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,
108,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
109,1,Sirius,UV,B,DsRed2,Yel/Grn,E,mPlum,Yel/Grn,C,
110,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
111,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
112,1,DsRed2,Yel/Grn,E,Sirius,UV,B,mPlum,Yel/Grn,C,
113,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
114,0,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,
115,0,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,
116,0,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,
117,0,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,
118,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
119,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
120,1,Sirius,UV,B,DsRed2,Yel/Grn,E,mPlum,Yel/Grn,C,
121,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
122,0,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,
123,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
124,0,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,
125,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
126,0,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,
127,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
128,0,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,
129,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
130,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
131,0,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,
132,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
133,1,Sirius,UV,B,DsRed2,Yel/Grn,E,mPlum,Yel/Grn,C,
134,0,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,
135,0,Cerulean,Violet,D,Sirius,UV,B,tdTomato,Yel/Grn,E,
136,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
137,0,Sirius,UV,B,Cerulean,Violet,D,tdTomato,Yel/Grn,E,
