wl,ex,wl,em
647,3.105535
648,3.029132
649,2.553086
650,2.21993
651,1.641807
652,1.323347
653,1.030121
654,0.9684647
655,0.7284864
656,0.6513761
657,0.5445721
658,0.4933889
659,0.3557786
660,0.2680004
Data Copyright MP Inc.
