wl,abs,wl,em
579,0
580,-2.85E-02
581,0
582,-2.85E-02
583,-5.71E-02
584,-5.71E-02
585,-5.71E-02
586,-5.71E-02
587,-2.85E-02
588,-2.85E-02
589,-2.85E-02
590,-2.85E-02
591,-2.85E-02
592,-2.85E-02
593,0
594,0
595,0
596,2.85E-02
597,2.85E-02
598,0
599,2.85E-02
600,5.71E-02
Data Copyright MP Inc.
