wl,ex,wl,em
450,1.663572,530,0.7211587
451,1.741319,531,0.7596605
452,1.798576,532,0.860674
453,1.831339,533,0.9779438
454,1.890468,534,1.121149
455,1.926039,535,1.31093
456,1.999938,536,1.592153
457,2.122512,537,1.865088
458,2.205979,538,2.212994
459,2.293659,539,2.586033
460,2.338071,540,3.12003
461,2.463818,541,3.84766
462,2.644482,542,4.53807
463,2.757747,543,5.461149
464,2.891659,544,6.370806
465,3.06733,545,7.488585
466,3.301351,546,8.749144
467,3.560749,547,10.30825
468,3.819576,548,11.81324
469,4.032586,549,13.88688
470,4.345861,550,16.00265
471,4.515292,551,18.45388
472,4.862682,552,20.8558
473,5.090566,553,23.88829
474,5.386055,554,27.34061
475,5.610299,555,30.75791
476,5.819149,556,34.55075
477,6.096489,557,38.14024
478,6.435247,558,42.13014
479,6.750445,559,46.35987
480,7.084523,560,50.63576
481,7.411267,561,55.16003
482,7.85393,562,59.66228
483,8.295343,563,64.06137
484,8.761357,564,68.15003
485,9.059031,565,72.44779
486,9.560718,566,76.33802
487,10.039,567,80.38428
488,10.47101,568,83.61639
489,10.90171,569,86.91134
490,11.50558,570,90.01794
491,12.21087,571,92.5297
492,12.77205,572,94.8143
493,13.45019,573,96.60217
494,14.19401,574,98.15801
495,14.86357,575,98.88377
496,15.58081,576,99.68584
497,16.39952,577,99.7384
498,17.36602,578,100
499,18.37658,579,99.59172
500,19.36924,580,98.77538
501,20.46674,581,97.58225
502,21.37084,582,96.05972
503,22.42299,583,94.88585
504,23.57994,584,93.17027
505,24.61316,585,91.20118
506,25.6052,586,89.16331
507,26.5988,587,86.67909
508,27.7948,588,84.0267
509,28.91222,589,81.37105
510,29.86947,590,79.12329
511,30.70617,591,76.51775
512,31.32825,592,73.89722
513,32.17826,593,71.55631
514,33.18996,594,69.12092
515,33.70735,595,66.86509
516,34.43209,596,64.31564
517,35.29957,597,61.91858
518,35.77775,598,59.56506
519,36.47638,599,57.40318
520,37.04671,600,55.37762
521,37.7455,601,53.53938
522,38.38583,602,51.70504
523,39.23418,603,49.59819
524,40.26257,604,48.00743
525,41.36372,605,46.43089
526,42.48893,606,44.83762
527,43.89394,607,43.24257
528,45.17809,608,41.78646
529,46.86278,609,40.52906
530,48.52489,610,39.37497
531,50.60414,611,38.21371
532,52.59929,612,37.26646
533,55.12884,613,36.40033
534,57.55168,614,35.34651
535,60.2944,615,34.54568
536,63.03452,616,33.61174
537,66.00606,617,32.8201
538,69.12612,618,32.26242
539,72.28019,619,31.40228
540,75.25365,620,30.7216
541,78.39046,621,30.07033
542,81.37828,622,29.58259
543,84.30992,623,29.24901
544,87.37492,624,28.67592
545,89.80046,625,27.99712
546,92.2064,626,27.58681
547,94.3442,627,27.06741
548,96.03044,628,26.42801
549,97.31808,629,26.0369
550,98.39941,630,25.48012
551,99.34635,631,24.99179
552,100,632,24.47624
553,99.36138,633,23.91471
554,98.63348,634,23.45777
555,97.72481,635,22.98468
556,95.85118,636,22.33475
557,93.97522,637,21.95074
558,91.57428,638,21.29611
559,88.52229,639,20.6965
560,84.86097,640,20.22667
561,81.63185,641,19.48749
562,77.56738,642,19.08327
563,73.47125,643,18.3611
564,69.1012,644,17.94988
565,64.53635,645,17.27391
566,60.5019,646,16.81868
567,55.94313,647,16.28602
568,51.77273,648,15.7971
569,47.43628,649,15.30722
570,43.51831,650,14.85434
571,39.74773,651,14.35633
572,35.64748,652,13.88698
573,31.64677,653,13.43031
574,28.47393,654,12.97861
575,25.70827,655,12.56343
576,22.91048,656,12.00142
577,20.50798,657,11.64763
578,18.18873,658,11.21202
579,16.05384,659,10.81439
580,14.26271,660,10.46926
581,12.47354,661,10.17798
582,10.82037,662,9.755696
583,9.494308,663,9.420944
584,8.350157,664,9.078279
585,7.25723,665,8.733047
586,6.22624,666,8.400864
587,5.308985,667,8.03146
588,4.546703,668,7.659812
589,3.906007,669,7.407358
590,3.336505,670,7.138862
591,3.007785,671,6.841008
592,2.580464,672,6.657965
593,2.307544,673,6.500856
594,1.985376,674,6.337759
595,1.748028,675,5.98504
596,1.525761,676,5.878519
597,1.351285,677,5.685796
598,1.17447,678,5.495586
599,1.058292,679,5.430882
600,0.9583392,680,5.285645
,,681,5.143777
,,682,5.056239
,,683,4.898863
,,684,4.744429
,,685,4.665233
,,686,4.51513
,,687,4.434062
,,688,4.312728
,,689,4.32337
,,690,4.164603
,,691,4.068884
,,692,3.957496
,,693,3.82782
,,694,3.814933
,,695,3.828034
,,696,3.694722
,,697,3.549164
,,698,3.472107
,,699,3.417884
,,700,3.303662
Data Copyright MP Inc.
